model,gamma_meV,crossing_nm,direction,nearest_paper_node_nm,distance_from_nearest_paper_node_nm
demo21,1e-06,644.6213926831181,positive_to_negative,605.0,39.621392683118074
demo21,1e-06,645.4192108165539,negative_to_positive,605.0,40.419210816553914
demo21,1e-06,646.6169062800715,positive_to_negative,605.0,41.616906280071476
demo21,1e-06,647.3920789712859,negative_to_positive,605.0,42.392078971285855
demo21,1e-06,648.6655663939981,positive_to_negative,605.0,43.66556639399812
demo21,1e-06,649.3293008978936,negative_to_positive,605.0,44.32930089789363
demo21,1e-06,650.7391446239844,positive_to_negative,605.0,45.73914462398443
demo21,1e-06,651.2468200702866,negative_to_positive,605.0,46.24682007028662
demo21,1e-06,652.8280208746694,positive_to_negative,605.0,47.82802087466939
demo21,1e-06,653.1540968436587,negative_to_positive,605.0,48.15409684365875
demo21,1e-06,654.9165471487355,positive_to_negative,605.0,49.9165471487355
demo21,1e-06,655.0692543469748,negative_to_positive,605.0,50.069254346974844
demo21,1e-06,656.9927530628319,positive_to_negative,605.0,51.992753062831866
demo21,1e-06,657.0052376682697,negative_to_positive,605.0,52.00523766826973
demo21,1e-06,661.0078868082963,positive_to_negative,605.0,56.00788680829635
demo21,1e-06,662.9873574267823,negative_to_positive,605.0,57.987357426782296
demo21,1e-06,663.1211400176078,positive_to_negative,605.0,58.121140017607786
demo21,1e-06,664.830931769521,negative_to_positive,605.0,59.830931769521044
demo21,1e-06,665.3221337244155,positive_to_negative,605.0,60.322133724415494
demo21,1e-06,666.5892659611944,negative_to_positive,605.0,61.58926596119443
demo21,1e-06,667.5877751272316,positive_to_negative,605.0,62.587775127231566
demo21,1e-06,668.3078306744102,negative_to_positive,605.0,63.307830674410184
demo21,1e-06,669.8534453374355,positive_to_negative,605.0,64.85344533743546
demo21,1e-06,670.0763718956857,negative_to_positive,605.0,65.07637189568572
demo21,1e-06,672.0022233598158,positive_to_negative,605.0,67.00222335981584
demo21,1e-06,673.9860079101379,negative_to_positive,605.0,68.98600791013791
demo21,1e-06,674.1542700126939,positive_to_negative,605.0,69.15427001269393
demo21,1e-06,675.7204240040807,negative_to_positive,605.0,70.72042400408066
demo21,1e-06,676.5007422970306,positive_to_negative,605.0,71.50074229703057
demo21,1e-06,677.3203837251131,negative_to_positive,605.0,72.32038372511306
demo21,1e-06,678.8755466874295,positive_to_negative,605.0,73.8755466874295
demo21,1e-06,679.022442541525,negative_to_positive,605.0,74.02244254152504
demo21,1e-06,681.0796499692296,positive_to_negative,605.0,76.07964996922965
demo21,1e-06,682.7478111267656,negative_to_positive,605.0,77.74781112676555
demo21,1e-06,683.5245190879126,positive_to_negative,605.0,78.52451908791261
demo21,1e-06,684.2224032660397,negative_to_positive,605.0,79.22240326603969
demo21,1e-06,686.0481037606579,positive_to_negative,605.0,81.04810376065791
demo21,1e-06,687.9104594561712,negative_to_positive,605.0,82.91045945617122
demo21,1e-06,688.3319449796899,positive_to_negative,605.0,83.33194497968987
demo21,1e-06,689.309938770761,negative_to_positive,605.0,84.30993877076105
demo21,1e-06,690.9338744408166,positive_to_negative,605.0,85.93387444081657
demo21,1e-06,692.8669146980243,negative_to_positive,605.0,87.86691469802429
demo21,1e-06,693.4382783217345,positive_to_negative,605.0,88.43827832173451
demo21,1e-06,694.1371789518236,negative_to_positive,605.0,89.13717895182356
demo21,1e-06,696.0251273791362,positive_to_negative,605.0,91.02512737913617
demo21,1e-06,697.5244904324885,negative_to_positive,605.0,92.5244904324885
demo21,1e-06,698.9279803765747,positive_to_negative,605.0,93.92798037657474
demo21,1e-06,700.778390360607,negative_to_positive,605.0,95.77839036060698
demo21,1e-06,701.655106926097,positive_to_negative,605.0,96.655106926097
demo21,1e-06,703.8478400819306,negative_to_positive,605.0,98.8478400819306
demo21,1e-06,704.5269405009694,positive_to_negative,605.0,99.52694050096943
demo21,1e-06,706.797568439142,negative_to_positive,605.0,101.79756843914197
demo21,1e-06,707.5749865349813,positive_to_negative,605.0,102.57498653498135
demo21,1e-06,709.5074736973912,negative_to_positive,605.0,104.50747369739122
demo21,1e-06,710.9541637418158,positive_to_negative,605.0,105.95416374181582
demo21,1e-06,713.9973253151077,negative_to_positive,605.0,108.99732531510767
demo21,1e-06,715.0848093677455,positive_to_negative,605.0,110.08480936774549
demo21,1e-06,716.1263981602991,negative_to_positive,605.0,111.12639816029912
demo21,1e-06,718.5742743469034,positive_to_negative,605.0,113.5742743469034
demo21,1e-06,721.5950986278266,negative_to_positive,605.0,116.59509862782659
demo21,1e-06,724.0261066558979,positive_to_negative,605.0,119.02610665589793
demo21,1e-06,728.9679616975336,negative_to_positive,605.0,123.96796169753361
demo21,1e-06,737.2459883056887,positive_to_negative,605.0,132.24598830568868
demo21,1e-06,738.5080676299299,negative_to_positive,605.0,133.50806762992988
demo21,1e-06,739.8939362710112,positive_to_negative,605.0,134.89393627101117
demo21,1e-06,741.0505165398455,negative_to_positive,605.0,136.0505165398455
demo21,1e-06,742.8785336686138,positive_to_negative,605.0,137.87853366861384
demo21,1e-06,743.786172780631,negative_to_positive,605.0,138.78617278063098
demo21,1e-06,744.1981396260206,positive_to_negative,605.0,139.19813962602063
demo21,1e-06,745.1579046935499,negative_to_positive,605.0,140.15790469354988
demo21,1e-06,746.6245276083739,positive_to_negative,605.0,141.6245276083739
demo21,1e-06,748.2116421371092,negative_to_positive,605.0,143.21164213710915
demo21,1e-06,749.5128119918073,positive_to_negative,605.0,144.51281199180733
demo21,1e-06,764.3548087628672,negative_to_positive,605.0,159.35480876286715
demo21,1e-06,765.6815978665724,positive_to_negative,605.0,160.68159786657236
demo21,1e-06,785.4142589943511,negative_to_positive,605.0,180.41425899435114
demo21,1e-06,786.5952628173568,positive_to_negative,605.0,181.5952628173568
demo21,1e-06,807.5134597056463,negative_to_positive,605.0,202.51345970564626
demo21,1e-06,808.6030352933954,positive_to_negative,605.0,203.60303529339535
demo21,1e-06,814.6504110861928,negative_to_positive,605.0,209.65041108619278
demo21,1e-06,815.3041873240894,positive_to_negative,605.0,210.3041873240894
demo21,1e-06,1289.8016909912612,negative_to_positive,1330.0,-40.19830900873876
demo21,1e-06,1290.5311865439062,positive_to_negative,1330.0,-39.46881345609381
demo21,1e-06,1293.8394911683465,negative_to_positive,1330.0,-36.16050883165349
demo21,1e-06,1294.521175457938,positive_to_negative,1330.0,-35.47882454206206
demo21,1e-06,1297.898597039213,negative_to_positive,1330.0,-32.10140296078703
demo21,1e-06,1298.4555366607956,positive_to_negative,1330.0,-31.544463339204412
demo21,1e-06,1301.9571200140983,negative_to_positive,1330.0,-28.042879985901664
demo21,1e-06,1302.3500196563064,positive_to_negative,1330.0,-27.64998034369364
demo21,1e-06,1305.9986275969711,negative_to_positive,1330.0,-24.00137240302888
demo21,1e-06,1306.2108180720027,positive_to_negative,1330.0,-23.789181927997333
demo21,1e-06,1308.2138776306585,negative_to_positive,1330.0,-21.786122369341456
demo21,1e-06,1310.030923150525,positive_to_negative,1330.0,-19.96907684947496
demo21,1e-06,1312.4486223521303,negative_to_positive,1330.0,-17.551377647869685
demo21,1e-06,1313.9500982661789,positive_to_negative,1330.0,-16.049901733821116
demo21,1e-06,1316.6811883993705,negative_to_positive,1330.0,-13.318811600629488
demo21,1e-06,1317.8258608758824,positive_to_negative,1330.0,-12.174139124117573
demo21,1e-06,1320.881723982581,negative_to_positive,1330.0,-9.11827601741902
demo21,1e-06,1321.6255252075468,positive_to_negative,1330.0,-8.374474792453157
demo21,1e-06,1323.0382673573788,negative_to_positive,1330.0,-6.9617326426212
demo21,1e-06,1325.3615588046682,positive_to_negative,1330.0,-4.6384411953317795
demo21,1e-06,1327.375450393118,negative_to_positive,1330.0,-2.6245496068820557
demo21,1e-06,1329.069531677473,positive_to_negative,1330.0,-0.9304683225270765
demo21,1e-06,1331.7111995804516,negative_to_positive,1330.0,1.7111995804516482
demo21,1e-06,1332.8746511708687,positive_to_negative,1330.0,2.874651170868674
demo21,1e-06,1335.9647011729644,negative_to_positive,1330.0,5.964701172964396
demo21,1e-06,1336.5696420102063,positive_to_negative,1330.0,6.56964201020628
demo21,1e-06,1338.3193956952196,negative_to_positive,1330.0,8.319395695219555
demo21,1e-06,1340.167427710196,positive_to_negative,1330.0,10.16742771019608
demo21,1e-06,1342.736567998726,negative_to_positive,1330.0,12.73656799872606
demo21,1e-06,1343.8692337142904,positive_to_negative,1330.0,13.86923371429043
demo21,1e-06,1345.0407393215867,negative_to_positive,1330.0,15.04073932158667
