rank,candidate,node1_nm,node1_depth,node2_nm,node2_depth,peak_nm,peak_norm,rmse
1,"Hybrid |Re|, Gamma=10 meV",578.0,0.0007281931509412199,1269.0,0.00010154776229644321,1044.0,1.0,0.10998381018772536
2,Original hybrid |Re|,577.0,0.0007626925786659671,1268.0,0.0001354366996539498,1044.0,1.0,0.11260388788835303
3,"Hybrid |Re|, Gamma=5 meV",577.0,0.0007626925786659671,1268.0,0.0001354366996539498,1044.0,1.0,0.11260388788835303
4,15E +h2 |Re|,577.0,0.0007626925786659671,1268.0,0.0001354366996539498,1044.0,1.0,0.11260388788835303
5,"Hybrid |Re|, kmax=1.2",577.0,0.0007141692191098454,1268.0,0.0002032665243770292,1044.0,1.0,0.1126064042067488
6,"Hybrid |Re|, kmax=1",621.0,0.0007530905332380724,1317.0,0.00013071033661715695,1135.0,1.0,0.11653736247785995
7,"Hybrid |Re|, Gamma=20 meV",578.0,0.0010567370951818768,1271.0,0.0001662034324478505,1044.0,1.0,0.1241039441394958
8,"Hybrid |Re|, Gamma=2 meV",585.0,0.000825939729199785,1275.0,0.0014913114487104565,1045.0,1.0,0.12453612419732137
9,"Hybrid |Re|, Gamma=1 meV",607.0,0.000486808609574877,1333.0,0.0004055230353036317,1045.0,1.0,0.14044288309570013
10,"Hybrid |Re|, Gamma=0.5 meV",611.0,0.0020776831991681744,1344.0,0.0011834445966087273,1047.0,1.0,0.16239936023409662
11,15A parabolic |Re|,550.0,0.059563322248112435,1250.0,0.0005520164951652219,1505.0,1.0,0.17885440996698798
12,15B e1 |Re|,550.0,0.06084501044359828,1249.0,8.800691206324158e-05,1505.0,1.0,0.17936218739940873
13,15C e1+e2 |Re|,551.0,0.04346616330864168,1238.0,0.0003305027703281154,912.0,1.0,0.1825963469751207
14,"Hybrid |Re|, kmax=0.8",650.0,0.051752987355877494,1366.0,1.6144210562106965e-05,1234.0,1.0,0.18616108785905228
15,15D +h1 |Re|,550.0,0.06540792162691794,1233.0,2.584755763624477e-06,912.0,1.0,0.1876854951979338
16,"Hybrid |Re|, kmax=0.556",550.0,0.030015918157149792,1200.0,0.1844321775700933,1355.0,1.0,0.2367213061699688
17,"Hybrid |Re|, kmax=0.4",550.0,0.01679589261784341,1200.0,0.10601553298761553,1505.0,1.0,0.23952454854771402
18,"Hybrid |Re|, kmax=0.2",550.0,0.007033194345940962,1200.0,0.045979412014468125,1505.0,1.0,0.2522679700094478
19,"Hybrid |Re|, Gamma=0.1 meV",610.0,0.00039892928716418833,1379.0,0.0005804387391524821,1099.0,1.0,0.2613157415637351
