parameter,pearson_r,spearman_rho,pearson_error_r,spearman_error_rho,best5_mean,all_mean,worst5_mean,qualitative_importance
r_e_hh_nm,0.3649987252970836,0.27396421477529437,-0.17708900381959522,-0.20452975813802965,0.7763198,0.81999965,0.7461127999999999,weak_exploratory_association
electrostatic_field_kV_per_cm,0.28754080941993554,0.3222664454794785,-0.037197443859186774,-0.05056639776844276,-1.2679054,1.0977614,-1.3007528000000002,weak_exploratory_association
hh_relative_weight,-0.06361429367214506,-0.2391876814505456,-0.06840034497237238,-0.018051900486833628,0.9396372,0.9876722000000002,0.9959874,weak_exploratory_association
kmax_fraction_2pi_over_a,-0.07011108974671292,-0.010030344663669194,0.33418469992385647,0.36957962260750343,0.12000000000000002,0.14750000000000002,0.13999999999999999,little_exploratory_association
well1_nm,0.09590920379393889,0.13962363562928223,0.050940240943876273,0.11698196498669594,7.0833408,7.1039220499999995,7.087491600000002,little_exploratory_association
well2_nm,0.17100918064605947,0.18490697691445487,0.06622258903839005,0.07471751312053483,2.8927516,2.90362965,2.8898256,little_exploratory_association
tunneling_barrier_nm,-0.2804467902160045,-0.30264366425590367,0.3185159099512815,0.3222664454794785,1.780687,1.7943335999999999,1.834029,weak_exploratory_association
electron_mass_scale,nan,nan,nan,nan,1.0,1.0,1.0,fixed_not_estimable
hh_mass_scale,nan,nan,nan,nan,1.0,1.0,1.0,fixed_not_estimable
cb_offset_scale,nan,nan,nan,nan,1.0,1.0,1.0,fixed_not_estimable
hh_offset_scale,nan,nan,nan,nan,1.0,1.0,1.0,fixed_not_estimable
