combo_id,parameter,demo18b_value,demo18c_value,percent_change,effect_classification
Combo_16,r_e_hh_nm,0.751,0.751,0.0,UNCERTAIN
Combo_16,electrostatic_field_kV_per_cm,0.0,0.0,0.0,DIAGNOSTIC PROXY
Combo_16,hh_relative_weight,1.0,0.6,-40.0,DIAGNOSTIC PROXY
Combo_16,wells_per_period_for_Nz,2.0,2.0,0.0,CONVENTION
Combo_16,spin_degeneracy,2.0,2.0,0.0,CONVENTION
Combo_16,kmax_fraction_2pi_over_a,0.1,0.1,0.0,CONVENTION
Combo_16,well1_nm,7.1,7.1,0.0,UNCERTAIN
Combo_16,well2_nm,2.9,2.9,0.0,UNCERTAIN
Combo_16,tunneling_barrier_nm,1.8,1.8,0.0,UNCERTAIN
Combo_16,electron_mass_scale,1.0,1.0,0.0,UNCERTAIN
Combo_16,hh_mass_scale,1.0,1.0,0.0,UNCERTAIN
Combo_16,cb_offset_scale,1.0,1.0,0.0,UNCERTAIN
Combo_16,hh_offset_scale,1.0,1.0,0.0,UNCERTAIN
Combo_16,chi_e_abs,5594.043851176905,5594.043851176905,0.0,CALCULATED EFFECT
Combo_16,chi_hh_raw_abs,5550.484674840328,5550.484674840328,0.0,CALCULATED EFFECT
Combo_16,chi_hh_weighted_abs,5550.484674840328,3330.290804904197,-39.99999999999999,CALCULATED EFFECT
Combo_16,chi_total_abs,84.91053828525659,2264.456953247341,2566.8738639247667,CALCULATED EFFECT
Combo_16,cancellation_factor,131.25023997112393,3.941048489918598,-96.99730187862082,CALCULATED EFFECT
Combo_17,r_e_hh_nm,0.751,0.751,0.0,UNCERTAIN
Combo_17,electrostatic_field_kV_per_cm,0.0,0.0,0.0,DIAGNOSTIC PROXY
Combo_17,hh_relative_weight,1.0,1.4,39.99999999999999,DIAGNOSTIC PROXY
Combo_17,wells_per_period_for_Nz,2.0,2.0,0.0,CONVENTION
Combo_17,spin_degeneracy,2.0,2.0,0.0,CONVENTION
Combo_17,kmax_fraction_2pi_over_a,0.1,0.1,0.0,CONVENTION
Combo_17,well1_nm,7.1,7.1,0.0,UNCERTAIN
Combo_17,well2_nm,2.9,2.9,0.0,UNCERTAIN
Combo_17,tunneling_barrier_nm,1.8,1.8,0.0,UNCERTAIN
Combo_17,electron_mass_scale,1.0,1.0,0.0,UNCERTAIN
Combo_17,hh_mass_scale,1.0,1.0,0.0,UNCERTAIN
Combo_17,cb_offset_scale,1.0,1.0,0.0,UNCERTAIN
Combo_17,hh_offset_scale,1.0,1.0,0.0,UNCERTAIN
Combo_17,chi_e_abs,5594.043851176905,5594.043851176905,0.0,CALCULATED EFFECT
Combo_17,chi_hh_raw_abs,5550.484674840328,5550.484674840328,0.0,CALCULATED EFFECT
Combo_17,chi_hh_weighted_abs,5550.484674840328,7770.678544776459,39.99999999999999,CALCULATED EFFECT
Combo_17,chi_total_abs,84.91053828525659,2178.3424767739116,2465.4559737400077,CALCULATED EFFECT
Combo_17,cancellation_factor,131.25023997112393,6.13527144535431,-95.32551601680566,CALCULATED EFFECT
Combo_08,r_e_hh_nm,0.751,0.941406,25.353661784287613,UNCERTAIN
Combo_08,electrostatic_field_kV_per_cm,0.0,-18.418271,nan,DIAGNOSTIC PROXY
Combo_08,hh_relative_weight,1.0,0.765384,-23.461600000000004,DIAGNOSTIC PROXY
Combo_08,wells_per_period_for_Nz,2.0,2.0,0.0,CONVENTION
Combo_08,spin_degeneracy,2.0,2.0,0.0,CONVENTION
Combo_08,kmax_fraction_2pi_over_a,0.1,0.1,0.0,CONVENTION
Combo_08,well1_nm,7.1,7.096001,-0.05632394366196366,UNCERTAIN
Combo_08,well2_nm,2.9,2.858181,-1.442034482758615,UNCERTAIN
