case_id,design_role,source_18c_combo_id,electrostatic_field_kV_per_cm,tunneling_barrier_nm,well1_nm,well2_nm,hh_relative_weight,spin_degeneracy,wells_per_period_for_Nz,r_e_hh_primary_nm,requires_licensed_solve,period_barrier_nm,chi2_1550_pm_per_V,chi2_at_r_0p65_pm_per_V,chi2_at_r_0p751_pm_per_V,chi2_at_r_1p00_pm_per_V,r_required_nm,r_required_inside_allowed_range,paper_target_pm_per_V,amplitude_relative_error,amplitude_percent_error,peak_wavelength_nm,peak_chi2_pm_per_V,strongest_peak_wavelength_nm,strongest_peak_chi2_pm_per_V,second_peak_wavelength_nm,second_peak_chi2_pm_per_V,spectral_window_pass,spectral_distance_nm,spectral_penalty,combined_score,desired_window_max_chi2_pm_per_V,competing_1665_window_max_chi2_pm_per_V,desired_peak_ratio,classification,chi_e_real,chi_e_imag,chi_e_abs,chi_hh_real,chi_hh_imag,chi_hh_abs,chi_total_real,chi_total_imag,chi_total_abs,phase_difference_e_hh_rad,phase_difference_e_hh_deg,cancellation_factor,E1_eV,E2_eV,HH1_eV,HH2_eV,z_e11_nm,z_e12_nm,z_e21_nm,z_e22_nm,z_hh11_nm,z_hh12_nm,z_hh21_nm,z_hh22_nm,delta_z_e_nm,delta_z_hh_nm,O11,O12,O21,O22,transition_e1_hh1_eV,transition_e1_hh2_eV,transition_e2_hh1_eV,transition_e2_hh2_eV,e1_centroid_nm,e1_left_well_probability,e1_right_well_probability,e1_barrier_probability,e2_centroid_nm,e2_left_well_probability,e2_right_well_probability,e2_barrier_probability,hh1_centroid_nm,hh1_left_well_probability,hh1_right_well_probability,hh1_barrier_probability,hh2_centroid_nm,hh2_left_well_probability,hh2_right_well_probability,hh2_barrier_probability,solver_pass,bound_state_pass,orthonormality_pass,physical_valid,electron_orthonormality_error,hh_orthonormality_error
Case_00,demo18b_baseline,Combo_00,0.0,1.8,7.1,2.9,1.0,2,2,0.751,True,18.2,84.91053828525659,63.60751563476113,84.91053828525659,150.55033286333997,3.9424579391394277,False,2340.0,0.9637134451772407,96.37134451772407,1520.0,146.0814424756297,1520.0,146.0814424756297,nan,nan,True,0.0,0.0,0.9637134451772407,146.0814424756297,45.030713619238504,3.2440401391555835,SPECTRAL_MATCH_ONLY,2918.533250443399,-4772.367365883146,5594.043851176905,-2833.6232818745902,4772.678411757451,5550.484674840328,84.90996856880884,0.3110458743049094,84.91053828525659,3.128512284531051,179.25055005846056,131.25023997112393,2.937529942754,3.045004118842,1.448525453986,1.415482054683,63.61108467764518,1.0299145818605986,1.0299145818605986,69.73630020171771,63.55102288391265,1.4510322677788023,1.451032267778806,63.870414356004545,6.12521552407253,0.319391472091894,0.9816465917796985,0.020461928073581215,-0.08551048643041244,0.45081628193777923,1.4890044887679998,1.5220478880709998,1.5964786648559999,1.6295220641589998,63.611084677645174,0.9561328998187366,0.005024406564765963,0.0205618772043358,69.73630020171771,0.07202537130978019,0.7393671820173672,0.09513564433086742,63.551022883912644,0.9947830554957122,5.805301165928168e-05,0.0025979481384972485,63.87041435600455,0.932004329823016,0.04337468818651518,0.01328186935456198,True,True,True,True,2.0011770018868447e-14,1.0766387781302456e-13
Case_01,demo18c_solver_anchor,Combo_07,0.582619,1.740274,7.034685,2.88371,1.0,2,2,0.751,True,18.341331,104.44864478577355,78.24374854298011,104.44864478577355,185.19230424373993,3.5546468536247655,False,2340.0,0.9553638270146267,95.53638270146267,1518.0,183.39192234460654,1518.0,183.39192234460654,nan,nan,False,2.0,0.05,0.9566713343505353,180.68788721050848,56.24382113733604,3.212581996683781,NEITHER_MATCH,3238.1554256483187,-4778.15903363224,5772.0407406165305,-3133.7078049621505,4778.62155993747,5714.485857886072,104.4476206861682,0.4625263052303126,104.44864478577355,3.126416187141226,179.1304525245752,109.97295964980415,2.941955968222,3.050185058851,1.452033590461,1.418496274589,63.580051820515244,1.0602290629072186,1.0602290629072186,69.57652626885482,63.52375535027884,-1.4157079232023202,-1.4157079232023229,64.08864963144305,5.996474448339576,0.5648942811642073,0.9811749468945188,-0.024829050852895662,-0.08839510325032554,-0.5222717476888379,1.489922377761,1.523459693633,1.59815146839,1.631688784262,63.58005182051522,0.9545548996309507,0.005609686418369799,0.020096277135658782,69.57652626885482,0.07641915764260358,0.7294646304657703,0.09538430579134892,63.52375535027883,0.9946230062048729,7.360808501943719e-05,0.0024626355773373354,64.08864963144303,0.8934703020250131,0.07933770151798676,0.013991160644188105,True,True,True,True,1.4988010832439613e-15,5.856426454897701e-15
Case_02,demo18c_solver_anchor,Combo_18,20.0,1.7,7.2,3.0,1.0,2,2,0.751,True,18.1,69.99644213146804,52.435185044964896,69.99644213146804,124.10694685198794,4.342200598388674,False,2340.0,0.9700869905421077,97.00869905421077,1525.0,102.95545848651551,1525.0,102.95545848651551,1666.0,66.68982287867021,True,0.0,0.0,0.9700869905421077,102.95545848651551,66.68982287867021,1.543795650407168,SPECTRAL_MATCH_ONLY,6269.821660227991,-4973.946079584749,8003.174573485235,-6333.9170055050645,5002.07593249721,8070.890178108861,-64.09534527707365,28.129852912460592,69.99644213146804,3.139387487204751,179.87365327301296,229.64116835258025,3.063569373146,3.178530448315,1.57627394758,1.555749090565,63.57562671369023,1.118611245900592,1.118611245900592,69.49469646332227,63.876602921058414,0.20931577974299542,0.20931577974299542,70.38933289610016,5.919069749632044,6.512729975041744,0.9776534870548291,0.051943127554215276,-0.031470185843504125,0.9187683911099171,1.487295425566,1.507820282581,1.602256500735,1.62278135775,63.57562671369024,0.9578888203714455,0.00458645563556293,0.01814973376880606,69.49469646332224,0.10617965187446585,0.7127681838992985,0.09601097353586888,63.87660292105842,0.9943468593872881,0.0003230133248183093,0.003698316569423605,70.38933289610016,0.003881432037725013,0.9519601496493751,0.01951903227394652,True,True,True,True,2.2620794126737565e-14,6.8833827526759706e-15
Case_03,demo18c_solver_anchor,Combo_01,4.57899,1.705461,7.167789,2.952,1.0,2,2,0.751,True,18.174750000000003,71.63338668057827,53.661440090610334,71.63338668057827,127.00932565824932,4.29230054638893,False,2340.0,0.9693874415894965,96.93874415894965,1522.0,119.82869116122315,1522.0,119.82869116122315,1699.0,25.03865879145357,True,0.0,0.0,0.9693874415894965,119.82869116122315,33.46497198911188,3.580719900205219,SPECTRAL_MATCH_ONLY,6209.106757548776,-4989.557685502085,7965.468763581387,-6137.780200384287,4996.180700705915,7914.175091715853,71.3265571644888,6.623015203829709,71.63338668057827,3.1352948603894353,179.63916302937332,221.67936755672946,2.965738039135,3.073639313307,1.477861053049,1.44645030455,63.63869373314019,1.1092146234858742,1.1092146234858742,69.60848075631561,63.65155833467244,0.8358007374857435,0.8358007374857452,68.52255719744338,5.969787023175428,4.870998862770939,0.9814932965522505,0.055272050830503835,-0.07974167010468358,0.9306111353376917,1.4878769860860002,1.5192877345850002,1.595778260258,1.627189008757,63.63869373314017,0.9550612483587735,0.005752807640784801,0.019955628220222885,69.6084807563156,0.08717922347360307,0.7287140340185414,0.09396161819228656,63.65155833467243,0.9945651933510324,0.0001093351388090135,0.0027808864695503975,68.52255719744336,0.26310156309635213,0.6934686471849806,0.02257418772107309,True,True,True,True,2.220446049250313e-16,1.582067810090848e-15
Case_04,demo18c_solver_anchor,Combo_02,12.932406,1.774727,7.189786,2.908121,1.0,2,2,0.751,True,18.127366000000002,54.810695518141806,41.05935779620056,54.810695518141806,97.18191194366999,4.906990409526724,False,2340.0,0.9765766258469478,97.65766258469478,1518.0,86.45801157782655,1518.0,86.45801157782655,1665.0,51.108134210638944,False,2.0,0.05,0.9778557696054206,85.1685925830953,51.108134210638944,1.6664390883861722,NEITHER_MATCH,6041.023225741754,-4933.847000754595,7799.795371726518,-6092.143118125296,4953.61993543505,7851.914303942763,-51.11989238354181,19.772934680455364,54.810695518141806,3.1394247589759967,179.8757887882003,285.55940638426523,3.018727332664,3.134655403248,1.531156187567,1.503787446159,63.59842147917418,1.0904682958460992,1.0904682958460992,69.5533278635547,63.778310877613876,0.2662949303728954,0.26629493037289587,70.32310044751806,5.9549063843805214,6.544789569904182,0.9806373525172918,0.053092164701168024,-0.048692848994851615,0.9356899909406565,1.4875711450970002,1.514939886505,1.603499215681,1.630867957089,63.59842147917418,0.9575317175581513,0.004094947034453015,0.018609315277210842,69.55332786355468,0.10142495541499372,0.7042939615155195,0.0998691270456372,63.77831087761389,0.9944386167005321,0.00013158203157879014,0.0032221457169718144,70.32310044751804,0.015362398466512966,0.9344995664091247,0.02203204012057333,True,True,True,True,1.1102230246251565e-16,2.220446049250313e-16
Case_05,local_maximin_latin_hypercube,,7.994842,1.816735,7.064874,2.878391,1.0,2,2,0.751,True,18.24,27.22579225021478,20.395171685361806,27.22579225021478,48.272595704998366,6.962378069985614,False,2340.0,0.9883650460469167,98.83650460469167,1514.0,40.566665328982914,1514.0,40.566665328982914,1663.0,29.204839786978955,False,6.0,0.15,0.9996826817782349,37.781738595139394,29.204839786978955,1.293680734793295,NEITHER_MATCH,6142.681783015853,-4930.2666587198855,7876.551835256324,-6166.580133629872,4943.309380889023,7903.354868640534,-23.898350614018455,13.04272216913705,27.22579225021478,3.1409869148862772,179.96529372880082,579.5940319706352,2.988867693648,3.102130778105,1.499235401868,1.468462893,63.549140931668646,1.014632406773753,1.014632406773753,69.64995844618355,63.63177104445691,0.376068655356542,0.376068655356542,70.01577579317099,6.100817514514901,6.3840047487140765,0.9814975557709047,0.055892352401378506,-0.06468810309062056,0.9549527051190407,1.4896322917799998,1.5204048006479998,1.6028953762369997,1.6336678851049997,63.54914093166865,0.9567694255839595,0.004205695069933837,0.018889385974531075,69.64995844618358,0.07828742804242843,0.7298532300635518,0.09794064279201416,63.63177104445691,0.9946199928033461,8.365977070802886e-05,0.0027909926634664324,70.01577579317097,0.04422216515969703,0.907143036971428,0.023020950017925097,True,True,True,True,3.858025010572419e-15,3.816391647148976e-15
Case_06,local_maximin_latin_hypercube,,8.858073,1.714651,7.079821,2.950625,1.0,2,2,0.751,True,18.254903000000002,40.474421221157826,30.31988057811809,40.474421221157826,71.76303095412567,5.71028181481398,False,2340.0,0.982703238794377,98.27032387943771,1520.0,60.60056097299251,1520.0,60.60056097299251,1663.0,36.41388610030813,True,0.0,0.0,0.982703238794377,60.60056097299251,36.41388610030813,1.6642157007372995,SPECTRAL_MATCH_ONLY,6346.614207993479,-4979.527999600401,8066.920788250562,-6384.169011576101,4994.621557864057,8105.791662425636,-37.5548035826223,15.093558263655723,40.474421221157826,3.1401977317815444,179.9200768676366,399.5785971170845,2.994067792156,3.103939845389,1.504782454624,1.476115033497,63.566314383223386,1.0717651642154085,1.0717651642154085,69.56951174894759,63.65241578132009,0.2952886712248515,0.2952886712248519,70.12950911745736,6.003197365724205,6.477093336137273,0.9809103394890517,0.06474953681887173,-0.0694002932898404,0.9476312017037971,1.489285337532,1.5179527586590003,1.599157390765,1.6278248118920002,63.56631438322337,0.9554482100076153,0.005368856812188174,0.01908205730091879,69.5695117489476,0.08250824582777255,0.7332523884308653,0.09387631527882556,63.65241578132006,0.9945670065619421,0.00013596398580146489,0.0028411566949261375,70.12950911745736,0.021057954005654807,0.9326116920940989,0.021660881054926952,True,True,True,True,6.938893903907228e-16,2.220446049250313e-16
Case_07,local_maximin_latin_hypercube,,1.250601,1.793737,7.108329,2.923864,1.0,2,2,0.751,True,18.17407,129.08828326035055,96.70160102109412,129.08828326035055,228.8795290440098,3.197455088749861,False,2340.0,0.9448340669827562,94.48340669827562,1521.0,219.08338846413835,1521.0,219.08338846413835,nan,nan,True,0.0,0.0,0.9448340669827562,219.08338846413835,68.66567241394732,3.1905809811838135,SPECTRAL_MATCH_ONLY,3598.1219139154928,-4813.939041004545,6010.032478939414,-3469.0372314907254,4812.974863426788,5932.869992629785,129.08468242476738,-0.9641775777572548,129.08828326035055,3.12426163914833,179.00700601782387,92.51732357058512,2.945474943617,3.052458556878,1.456475752725,1.4235500798,63.60620208958546,1.0233270176348324,1.0233270176348324,69.76166868434477,63.56776413616695,-1.3866218363558378,-1.386621836355836,64.52083544239363,6.155466594759311,0.9530713062266827,0.9817049675168623,-0.025998476884103033,-0.0830487414631098,-0.5847252199489952,1.488999190892,1.521924863817,1.5959828041529998,1.6289084770779998,63.60620208958547,0.9561816627668163,0.0049250566280886355,0.019521720720119668,69.76166868434476,0.07034753477972536,0.7353775298755812,0.09752345302527254,63.56776413616694,0.9947758083151079,6.21605234794308e-05,0.002425296267088661,64.52083544239362,0.8379652799785514,0.13328838053793196,0.015061261993828214,True,True,True,True,1.609823385706477e-15,8.271161533457416e-15
Case_08,local_maximin_latin_hypercube,,15.036214,1.777436,7.093437,2.941603,1.0,2,2,0.751,True,18.187523999999996,53.375369380811776,39.98413755187132,53.375369380811776,94.63701195709189,4.972530079776086,False,2340.0,0.9771900130851232,97.71900130851232,1521.0,80.78230739202833,1521.0,80.78230739202833,1664.0,51.2386668353123,True,0.0,0.0,0.9771900130851232,80.78230739202833,51.2386668353123,1.576588783070276,SPECTRAL_MATCH_ONLY,6199.658175086038,-4949.853914841567,7933.272670605967,-6248.724517699636,4970.864009535859,7984.738386409379,-49.06634261359795,21.010094694292093,53.375369380811776,3.1398148385743445,179.8981387028598,298.2276514743485,3.033276040113,3.147070448715,1.544168683453,1.519666976162,63.53617691187114,1.0396215550707524,1.0396215550707524,69.60797916520436,63.73805195888981,0.19534441322584706,0.19534441322584684,70.3101416850402,6.071802253333217,6.572089726150381,0.9797506030270294,0.05601933410248498,-0.049017759817688626,0.9322389387027491,1.48910735666,1.5136090639509998,1.6029017652620001,1.627403472553,63.53617691187113,0.956927180920283,0.0042632125642786105,0.018267856262828733,69.60797916520434,0.08460772149034285,0.722526628368957,0.09956161366343295,63.73805195888981,0.9944505379892015,0.00016602629116386404,0.003160589032093202,70.31014168504018,0.005322693046321075,0.9447408636396112,0.02242241613304187,True,True,True,True,0.0,2.220446049250313e-16
Case_09,local_maximin_latin_hypercube,,3.758934,1.753959,7.051295,2.896681,1.0,2,2,0.751,True,18.298065,104.23725472554689,78.08539368111681,104.23725472554689,184.8174998369629,3.558249387274559,False,2340.0,0.9554541646472022,95.54541646472022,1518.0,182.1696868586497,1518.0,182.1696868586497,1681.0,43.54041454030569,False,2.0,0.05,0.956761548527993,180.29811375322743,53.34516365711475,3.379839921611726,NEITHER_MATCH,5722.159949884714,-4923.589072391415,7548.830627708956,-5618.007453879404,4927.791791580532,7472.960570818838,104.15249600530933,4.2027191891165785,104.23725472554689,3.1320758886295597,179.45472953316064,144.1115389893916,2.9619141612,3.071043065881,1.472279717798,1.43959462642,63.57589023251718,1.0593589941525448,1.059358994152543,69.58814064252891,63.57513718640601,0.9445429730692085,0.9445429730692094,67.75911958564319,6.012250410011731,4.1839823992371805,0.9813638693375338,0.05082070096243915,-0.08065179607472298,0.8941795187135491,1.4896344434020001,1.5223195347800003,1.5987633480830001,1.6314484394610003,63.57589023251718,0.9551371686742587,0.005301040457675194,0.019710883394892062,69.58814064252891,0.07840176851364922,0.7252731367918297,0.09907556638350155,63.57513718640599,0.9946340528166341,8.718774501530538e-05,0.002596999267658684,67.75911958564318,0.36106994692212535,0.5937948105240176,0.023445517602604965,True,True,True,True,5.828670879282072e-16,3.885780586188048e-16
