wavelength_nm,photon_energy_eV,chi2_raw_real_pm_per_V,chi2_raw_imag_pm_per_V,chi2_raw_abs_pm_per_V,chi2_scaled_real_pm_per_V,chi2_scaled_imag_pm_per_V,chi2_scaled_abs_pm_per_V
1.400000000000000000e+03,8.856014171428571169e-01,-7.584243088612016015e-01,-3.627972473194260061e+01,3.628765126124586970e+01,-2.994139158651865884e+01,-1.432266123538764077e+03,1.432579050372751681e+03
1.401000000000000000e+03,8.849692962169878330e-01,-6.176357982021484228e-01,-3.623691314159268018e+01,3.624217636967394895e+01,-2.438328396882516458e+01,-1.430575989696623537e+03,1.430783773612762843e+03
1.402000000000000000e+03,8.843380770328101992e-01,-4.018479358959287651e-01,-3.626342570704200341e+01,3.626565214874452892e+01,-1.586432062674841958e+01,-1.431622663827194856e+03,1.431710560222498998e+03
1.403000000000000000e+03,8.837077576621524821e-01,-1.545179769503728651e-01,-3.619307176372273460e+01,3.619340160166193954e+01,-6.100125221427361133e+00,-1.428845201472723375e+03,1.428858222952628921e+03
1.404000000000000000e+03,8.830783361823361099e-01,-1.803137942748044009e-02,-3.611883538115292680e+01,3.611883988199882367e+01,-7.118503270206310019e-01,-1.425914466560195706e+03,1.425914644246469607e+03
1.405000000000000000e+03,8.824498106761564653e-01,1.306638000817186840e-01,-3.614427715343874326e+01,3.614451333153132850e+01,5.158400065398327072e+00,-1.426918867471090152e+03,1.426928191408458133e+03
1.406000000000000000e+03,8.818221792318633456e-01,3.435247342773407597e-01,-3.614011708537942269e+01,3.614174971121340008e+01,1.356181291722688620e+01,-1.426754634566981622e+03,1.426819088051447125e+03
1.407000000000000000e+03,8.811954399431414231e-01,5.066095199199552868e-01,-3.611296300032727657e+01,3.611651630305281913e+01,2.000014218974322944e+01,-1.425682634257628933e+03,1.425822913026502647e+03
1.408000000000000000e+03,8.805695909090908158e-01,6.795804607425742772e-01,-3.614392788061212514e+01,3.615031607388119994e+01,2.682876122495708060e+01,-1.426905078732583206e+03,1.427157274494197281e+03
1.409000000000000000e+03,8.799446302342085469e-01,8.972956120734568719e-01,-3.613779778009035937e+01,3.614893591532328543e+01,3.542381088799350408e+01,-1.426663072064228572e+03,1.427102788018287811e+03
1.410000000000000000e+03,8.793205560283687827e-01,1.051825378319462212e+00,-3.611426265748858810e+01,3.612957658097520408e+01,4.152440153215700747e+01,-1.425733942665785662e+03,1.426338512132351298e+03
1.411000000000000000e+03,8.786973664068036260e-01,1.216017955756590441e+00,-3.617181972690251257e+01,3.619225389533313120e+01,4.800646467175572951e+01,-1.428006204688191701e+03,1.428812913322893337e+03
1.412000000000000000e+03,8.780750594900849082e-01,1.461052924421308408e+00,-3.619710550124337090e+01,3.622658032876002920e+01,5.768005749237210722e+01,-1.429004447047069334e+03,1.430168066596588233e+03
1.413000000000000000e+03,8.774536334041046493e-01,1.653114111253172647e+00,-3.615885971216928851e+01,3.619662859921022857e+01,6.526232923170908862e+01,-1.427494563814394496e+03,1.428985619709448429e+03
1.414000000000000000e+03,8.768330862800565173e-01,1.805601061176253186e+00,-3.618841679387495702e+01,3.623343352815645346e+01,7.128227271998711956e+01,-1.428661430629137612e+03,1.430438620064286852e+03
1.415000000000000000e+03,8.762134162544168436e-01,2.025761377778335870e+00,-3.623342811790912776e+01,3.629001270784272748e+01,7.997385363871171648e+01,-1.430438406476283262e+03,1.432672276547653155e+03
1.416000000000000000e+03,8.755946214689265261e-01,2.237311338367701019e+00,-3.622788361049139638e+01,3.629690224964246426e+01,8.832551132704392671e+01,-1.430219518097035689e+03,1.432944264755926042e+03
1.417000000000000000e+03,8.749767000705716002e-01,2.424303351950027885e+00,-3.625109616617761787e+01,3.633206875463786645e+01,9.570766012792671518e+01,-1.431135913064080569e+03,1.434332582725820203e+03
1.418000000000000000e+03,8.743596502115654756e-01,2.647564531605242522e+00,-3.627177663906351768e+01,3.636827434046229257e+01,1.045216582131967726e+02,-1.431952345408925567e+03,1.435761921962606948e+03
1.419000000000000000e+03,8.737434700493305062e-01,2.842053937329921176e+00,-3.626468551007023677e+01,3.637588054916321312e+01,1.121997921920188759e+02,-1.431672398857243024e+03,1.436062203046088371e+03
1.420000000000000000e+03,8.731281577464787835e-01,3.026681824330880843e+00,-3.630828678798953035e+01,3.643422144556721065e+01,1.194886090164529122e+02,-1.433393708315024014e+03,1.438365409317737658e+03
1.421000000000000000e+03,8.725137114707951502e-01,3.271565293017986154e+00,-3.634218325506573422e+01,3.648914116845256927e+01,1.291562208576860371e+02,-1.434731887197571268e+03,1.440533553072521727e+03
1.422000000000000000e+03,8.719001293952179932e-01,3.487816267599582520e+00,-3.632266618844805350e+01,3.648973747992659611e+01,1.376934671395675309e+02,-1.433961384291226523e+03,1.440557094505915757e+03
1.423000000000000000e+03,8.712874096978214800e-01,3.668140287939035904e+00,-3.634705612276474085e+01,3.653168134596888450e+01,1.448123741186252005e+02,-1.434924260303523170e+03,1.442212971965474026e+03
