case_id,case_name,profile,nominal_grade_width_nm,kspace_convention_raw,chi2_raw_1550_pm_per_V,raw_peak_chi2_pm_per_V,raw_peak_wavelength_nm,kspace_convention_scaled,chi2_scaled_1550_pm_per_V,scaled_peak_chi2_pm_per_V,scaled_peak_wavelength_nm,kspace_scaling_factor,peak_wavelength_shift_nm,spectral_shape_max_difference,paper_target_pm_per_V,raw_ratio_to_paper,scaled_ratio_to_paper,raw_error_percent,scaled_error_percent
00,Abrupt reference,abrupt,0.0,d2k_over_2pi_squared,31.036041396587414,63.63186706362122,1517.0,bare_d2k,1225.2538030406026,2512.0854208825963,1517.0,39.47841760435743,0.0,4.440892098500626e-16,2500.0,0.012414416558634966,0.49010152121624107,98.7585583441365,50.98984787837589
01,Linear 0.2 nm,linear,0.2,d2k_over_2pi_squared,29.37382127665391,61.69603163330606,1515.0,bare_d2k,1159.6319829955028,2435.661701351303,1515.0,39.47841760435743,0.0,3.3306690738754696e-16,2500.0,0.011749528510661564,0.4638527931982011,98.82504714893385,53.614720680179886
02,Linear 0.4 nm,linear,0.4,d2k_over_2pi_squared,26.442974692208626,57.46792652872552,1513.0,bare_d2k,1043.9267976004674,2268.7428023575567,1513.0,39.47841760435743,0.0,4.440892098500626e-16,2500.0,0.01057718987688345,0.41757071904018694,98.94228101231165,58.242928095981306
03,Linear 0.7 nm,linear,0.7,d2k_over_2pi_squared,21.68163242036645,50.27752063149335,1508.0,bare_d2k,855.9565390354019,1984.8769556017912,1508.0,39.47841760435743,0.0,3.3306690738754696e-16,2500.0,0.00867265296814658,0.3423826156141607,99.13273470318533,65.76173843858392
04,Linear 1.0 nm,linear,1.0,d2k_over_2pi_squared,18.04752050786078,45.106579094356526,1502.0,bare_d2k,712.4875513325329,1780.7363661909856,1502.0,39.47841760435743,0.0,3.3306690738754696e-16,2500.0,0.007219008203144313,0.2849950205330132,99.27809917968555,71.50049794669869
05,Linear 1.4 nm,linear,1.4,d2k_over_2pi_squared,15.232022782516704,42.3347511616757,1493.0,bare_d2k,601.3361563672809,1671.308985537189,1493.0,39.47841760435743,0.0,2.220446049250313e-16,2500.0,0.0060928091130066815,0.24053446254691235,99.39071908869933,75.94655374530876
06,Asymmetric inner grading A,linear,,d2k_over_2pi_squared,22.746444471321368,50.17140124731886,1512.0,bare_d2k,897.9936338531522,1980.6875302374333,1512.0,39.47841760435743,0.0,3.3306690738754696e-16,2500.0,0.009098577788528548,0.35919745354126087,99.09014222114715,64.08025464587391
07,Asymmetric inner grading B,linear,,d2k_over_2pi_squared,31.03331049550273,65.8620782896035,1514.0,bare_d2k,1225.1459913871454,2600.13063100785,1514.0,39.47841760435743,0.0,5.551115123125783e-16,2500.0,0.01241332419820109,0.49005839655485817,98.75866758017989,50.994160344514185
08,Inner interfaces graded only,linear,0.7,d2k_over_2pi_squared,24.645998475591906,53.89691194188314,1512.0,bare_d2k,972.985020095774,2127.7647972269415,1512.0,39.47841760435743,0.0,3.3306690738754696e-16,2500.0,0.009858399390236762,0.38919400803830956,99.01416006097632,61.08059919616904
09,Outer interfaces graded only,linear,0.7,d2k_over_2pi_squared,26.149861737952936,57.08950370693697,1513.0,bare_d2k,1032.3551619871137,2253.80326816797,1513.0,39.47841760435743,0.0,5.551115123125783e-16,2500.0,0.010459944695181174,0.41294206479484546,98.95400553048188,58.705793520515456
10,Fermi-like 0.7 nm,fermi,0.7,d2k_over_2pi_squared,26.254153355079062,57.18118927322264,1513.0,bare_d2k,1036.4724300006528,2257.422869242088,1513.0,39.47841760435743,0.0,5.551115123125783e-16,2500.0,0.010501661342031624,0.4145889720002611,98.94983386579685,58.54110279997389
11,erf 0.7 nm,erf,0.7,d2k_over_2pi_squared,24.492140650394724,54.54223670916412,1511.0,bare_d2k,966.9109566209414,2153.2411978800956,1511.0,39.47841760435743,0.0,5.551115123125783e-16,2500.0,0.00979685626015789,0.3867643826483766,99.02031437398422,61.32356173516235
12,Cosine 0.7 nm,cosine,0.7,d2k_over_2pi_squared,24.282017923492333,54.23105984594186,1511.0,bare_d2k,958.6156438601225,2140.956427724993,1511.0,39.47841760435743,0.0,4.440892098500626e-16,2500.0,0.009712807169396933,0.383446257544049,99.02871928306031,61.655374245595105
