x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             2.5310936561716e-16         1.8492524514675e-16
7.260978922993              -4.4075626114525e-15        -6.3516590328572e-15
7.4003918486039             -2.1881333052419e-15        -4.8773243513528e-15
7.532837099151              -2.9522164907377e-15        -5.0414116636155e-15
7.6586629098899             -3.1573176353381e-15        -4.8848589260948e-15
7.7782001117354             -2.0904541289012e-15        -4.6975598246699e-15
7.891763001107              -1.3420876264089e-15        -4.6405323545216e-15
7.9996501663019             -1.2043543644844e-15        -5.390485330268e-15
8.1021452725658             -1.2438398093097e-15        -5.9111669674573e-15
8.1995178079279             -9.0071165325434e-17        -6.3292405569676e-15
8.2920237917592             -2.7384165926615e-16        -6.2825307158196e-15
8.3799064479186             -6.1564211411526e-16        -6.0748854939609e-15
8.4633968442558             -9.1109095357966e-16        -6.5517891481815e-15
8.5427145001525             -8.0038473949115e-16        -6.853521467138e-15
8.6180679636999             -1.0666583376628e-15        -6.896025691619e-15
8.6896553600291             -1.8347351553898e-15        -6.8242691679172e-15
8.7576649122373             -2.279652196733e-15         -6.4465401687473e-15
8.8222754362784             -2.5532922845082e-15        -6.2536707978793e-15
8.8836568111193             -3.1113755351344e-15        -6.292364789234e-15
8.9419704253995             -3.599900935654e-15         -6.4344183236004e-15
8.9973696017656             -3.8149971354116e-15        -6.4887931425691e-15
9.05                        -3.7749663646386e-15        -6.5493063957715e-15
9.1                         -3.4651274932073e-15        -6.8716564509948e-15
9.15                        -3.0959521023928e-15        -6.9815339757947e-15
9.2                         -2.6754391074674e-15        -7.0968502763816e-15
9.25                        -2.2176321598553e-15        -7.4590297432317e-15
9.3                         -1.9986456314631e-15        -7.6245867823303e-15
9.35                        -1.8697344213308e-15        -8.1090486811894e-15
9.4                         -1.7679664555818e-15        -8.2520992234912e-15
9.45                        -1.6923648127693e-15        -8.0659831065315e-15
9.5                         -1.8474942742931e-15        -7.887354548974e-15
9.55                        -2.0463841362884e-15        -7.5364784301789e-15
9.6                         -2.2096601019272e-15        -7.3087823670435e-15
9.65                        -2.7677330123155e-15        -7.1499378300618e-15
