x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             7.5200779837287e-06         -2.3843401380953e-16
7.260978922993              0.00016939362624428         -4.7156473046988e-15
7.4003918486039             0.00033273028724326         -8.874395820926e-15
7.532837099151              0.00050483984456003         -1.2363652879078e-14
7.6586629098899             0.00069153996562055         -1.7407570291154e-14
7.7782001117354             0.00089758221933492         -2.4402019621504e-14
7.891763001107              0.0011269159165182          -3.1366104449868e-14
7.9996501663019             0.0013828490776801          -3.8788419817543e-14
8.1021452725658             0.0016681444870712          -4.6960509875321e-14
8.1995178079279             0.0019850755030401          -5.4565407759761e-14
8.2920237917592             0.0023354578534972          -6.3085306598849e-14
8.3799064479186             0.0027206681638313          -7.3086380678902e-14
8.4633968442558             0.0031416563211493          -8.4269906072583e-14
8.5427145001525             0.0035989562999248          -9.7343490578886e-14
8.6180679636999             0.004092698351935           -1.1158711778768e-13
8.6896553600291             0.0046162523309717          -1.2673231490046e-13
8.7576649122373             0.0051630502257993          -1.4240937596404e-13
8.8222754362784             0.0057275842471142          -1.580770697316e-13
8.8836568111193             0.0063045606539119          -1.7405827011188e-13
8.9419704253995             0.0068889768502975          -1.9030507753151e-13
8.9973696017656             0.0074761870276468          -2.0659760037141e-13
9.05                        0.0080619522928633          -2.2289016350186e-13
9.1                         0.0086424740409676          -2.388051045252e-13
9.15                        0.0092449720945442          -2.5523360020278e-13
9.2                         0.0098677783510029          -2.7198215102743e-13
9.25                        0.0105089005899             -2.8892587543465e-13
9.3                         0.011166007680227           -3.061987553772e-13
9.35                        0.011836417449108           -3.2424081568921e-13
9.4                         0.012517087641513           -3.4241070829739e-13
9.45                        0.013204610405574           -3.6069401308895e-13
9.5                         0.013895210735961           -3.7901470057684e-13
9.55                        0.014584749297824           -3.9750777081659e-13
9.6                         0.01526873003555            -4.1586278862351e-13
9.65                        0.015945936016935           -4.3439681010511e-13
9.7                         0.016617327005936           -4.5258763303478e-13
9.75                        0.017282658166911           -4.7063507901548e-13
9.8                         0.017941686874051           -4.8866420838395e-13
9.85                        0.018594172799856           -5.064722897193e-13
9.9                         0.01923987800278            -5.2391479900451e-13
9.95                        0.019878567013996           -5.4078145172331e-13
10                          0.020510006923268           -5.5768339324412e-13
10.05                       0.021133967463884           -5.7459261742021e-13
10.1                        0.021750221096625           -5.9136266513158e-13
10.15                       0.022358543092749           -6.0763993263523e-13
10.2                        0.022958711615934           -6.2348628428996e-13
10.25                       0.02355050780318            -6.3921299591405e-13
10.3                        0.024133715844621           -6.5485389218412e-13
10.35                       0.024708123062224           -6.7025533174338e-13
10.4                        0.025273519987344           -6.8562005165858e-13
10.45                       0.025829700437113           -7.0051557764257e-13
10.5                        0.02637646158963            -7.1547177966666e-13
10.55                       0.026913604057919           -7.303430185412e-13
10.6                        0.027440931962645           -7.4530575284112e-13
10.65                       0.027958253003541           -7.6004780164459e-13
10.7                        0.028465378529534           -7.7457282684402e-13
10.75                       0.028962123607546           -7.8876644418103e-13
10.8                        0.029448307089925           -8.0282519458049e-13
10.85                       0.02992375168051            -8.1665372687245e-13
10.9                        0.030388283999282           -8.3011423911874e-13
10.95                       0.030841734645595           -8.4319924390787e-13
11                          0.031283938259943           -8.560159178211e-13
11.05                       0.031714733584273           -8.6871560786439e-13
11.1                        0.032133963520778           -8.8099642191017e-13
11.15                       0.032541475189196           -8.929720501406e-13
11.2                        0.032937119982557           -9.0440173477132e-13
11.25                       0.033320753621375           -9.1568100187049e-13
11.3                        0.03369223620626            -9.2668511724194e-13
11.35                       0.034051432268942           -9.374925974714e-13
11.4                        0.034398210821665           -9.4779296786878e-13
11.45                       0.034732445404956           -9.5786208146e-13
11.5                        0.035054014133745           -9.6770626693361e-13
11.55                       0.035362799741807           -9.7746294649407e-13
11.6                        0.035658689624529           -9.8708181183853e-13
11.65                       0.035941575879971           -9.9642755204221e-13
11.7                        0.036211355348218           -1.0053957366932e-12
11.75                       0.036467929648996           -1.0142122946678e-12
11.8                        0.03671120521755            -1.0225355855601e-12
11.85                       0.036941093338762           -1.0308863127817e-12
11.9                        0.037157510179505           -1.0388062799227e-12
11.95                       0.037360376819215           -1.0464741025093e-12
12                          0.037549619278668           -1.053553505752e-12
12.05                       0.037725168546959           -1.0600529170473e-12
12.1                        0.037886960606671           -1.0658473284833e-12
12.15                       0.038034936457216           -1.0711475527501e-12
12.2                        0.038169042136353           -1.0759960709988e-12
12.25                       0.038289228739866           -1.0803588949416e-12
12.3                        0.038395452439396           -1.0840869203539e-12
12.35                       0.038487674498428           -1.0871649614083e-12
12.4                        0.038565861286415           -1.0896399053163e-12
12.45                       0.038629984291039           -1.0916921380117e-12
12.5                        0.038680020128614           -1.0933706796027e-12
12.55                       0.038715950552607           -1.0947271028819e-12
12.6                        0.0387377624603             -1.0955765596619e-12
12.65                       0.038745447897559           -1.0959774047127e-12
12.7                        0.038739004061743           -1.0959317735635e-12
12.75                       0.038718433302719           -1.0955662188598e-12
12.8                        0.038683743122012           -1.094898037722e-12
12.85                       0.038634946170063           -1.0939725175272e-12
12.9                        0.038572060241619           -1.0927695796295e-12
12.95                       0.038495108269244           -1.0913165406774e-12
13                          0.038404118314955           -1.0896795788288e-12
13.05                       0.03829912355999            -1.0878474139474e-12
13.1                        0.038180162292706           -1.0857828421074e-12
13.15                       0.038047277894619           -1.0835041480438e-12
13.2                        0.037900518824581           -1.0808568930432e-12
13.25                       0.037739938601111           -1.0779306464473e-12
13.3                        0.037565595782876           -1.0746515152845e-12
13.35                       0.037377553947341           -1.0710017294081e-12
13.4                        0.037175881667579           -1.0670637505331e-12
13.45                       0.036960652487266           -1.0626072448864e-12
13.5                        0.036731944893865           -1.0577376787078e-12
13.55                       0.03648984229               -1.0522643558772e-12
13.6                        0.036234432963045           -1.0463051284777e-12
13.65                       0.035965810052924           -1.0400423915501e-12
13.7                        0.03568407151815            -1.0334674068254e-12
13.75                       0.035389320100102           -1.0265915035007e-12
13.8                        0.035081663285554           -1.0192950265942e-12
13.85                       0.034761213267484           -1.0114372333161e-12
13.9                        0.034428086904157           -1.0031039718842e-12
13.95                       0.034082405676511           -9.9420158425466e-13
14                          0.033724295643856           -9.8490619607134e-13
14.05                       0.033353887397906           -9.751467863285e-13
14.1                        0.032971316015156           -9.6501467727003e-13
14.15                       0.032576721007621           -9.5447923347471e-13
14.2                        0.032170246271963           -9.4348210921184e-13
14.25                       0.031752040037015           -9.319464740133e-13
14.3                        0.031322254809727           -9.1993910448316e-13
14.35                       0.030881047319552           -9.073484173097e-13
14.4                        0.030428578461291           -8.9442612781371e-13
14.45                       0.029965013236419           -8.8110865607045e-13
14.5                        0.029490520692914           -8.6748883173539e-13
14.55                       0.029005273863612           -8.5363363778637e-13
14.6                        0.028509449703107           -8.3947540212722e-13
14.65                       0.028003229023218           -8.2509562457703e-13
14.7                        0.027486796427056           -8.1032613495289e-13
14.75                       0.026960340241705           -7.9522330991211e-13
14.8                        0.026424052449541           -7.7971439739925e-13
14.85                       0.025878128618228           -7.6373540287569e-13
14.9                        0.025322767829393           -7.4722884745063e-13
14.95                       0.024758172606035           -7.3024615843291e-13
15                          0.024184548838665           -7.1288283295818e-13
15.05                       0.023602105710226           -6.951520888249e-13
15.1                        0.023011055619813           -6.7714190962978e-13
15.15                       0.022411614105213           -6.5882288722657e-13
15.2                        0.021803999764309           -6.4029575373261e-13
15.25                       0.02118843417536            -6.2152889049614e-13
15.3                        0.020565141816204           -6.0249059026654e-13
15.35                       0.019934349982391           -5.8321857385018e-13
15.4                        0.019296288704301           -5.6359432569712e-13
15.45                       0.018651190663256           -5.4375966082173e-13
15.5                        0.017999291106668           -5.2375003909593e-13
15.55                       0.017340827762255           -5.0356225146813e-13
15.6                        0.016676040751344           -4.8330050193808e-13
15.65                       0.01600517250131            -4.6289257585281e-13
15.7                        0.015328467657168           -4.4246207617067e-13
15.75                       0.014644972800081           -4.2199827597192e-13
15.8                        0.013955920976739           -4.0158656445399e-13
15.85                       0.013265828096626           -3.8136945794489e-13
15.9                        0.012578854116642           -3.6140950601982e-13
15.95                       0.011898795495182           -3.4184222572224e-13
16                          0.011229082462005           -3.2264144753986e-13
16.05                       0.010572780702616           -3.0394351311726e-13
16.1                        0.0099325970379753          -2.8587358904708e-13
16.15                       0.0093108886709839          -2.684380590529e-13
16.2                        0.0087096755696918          -2.5178051313146e-13
16.25                       0.0081306555629725          -2.357691095045e-13
16.3                        0.0075752217367672          -2.2043892247671e-13
16.35                       0.0070444817372097          -2.0559720028121e-13
16.4                        0.0065392786104522          -1.9132302191843e-13
16.45                       0.006060212837002           -1.7758453523396e-13
16.5                        0.0056076652503826          -1.6449005267223e-13
16.55                       0.0051818205653467          -1.5200103087034e-13
16.6                        0.0047826912792629          -1.4025193621346e-13
16.65                       0.0044101417513107          -1.2919731334191e-13
16.7                        0.0040639123075136          -1.1893750195514e-13
16.75                       0.0037445910743279          -1.094568431136e-13
16.8                        0.0034517378024246          -1.0085806797972e-13
16.85                       0.0031832825116888          -9.2986473717378e-14
16.9                        0.0029373276747001          -8.5782865166432e-14
16.95                       0.0027121348044051          -7.9102083396707e-14
17                          0.002506112165938           -7.2907154574666e-14
17.05                       0.0023178035257312          -6.7095760085985e-14
17.1                        0.0021458778583942          -6.1640037263834e-14
17.15                       0.0019891199386013          -5.6476894506603e-14
17.2                        0.0018464217514934          -5.1643221485066e-14
17.25                       0.0017167746608761          -4.7060561109145e-14
17.3                        0.0015992622798578          -4.2856686594793e-14
17.35                       0.0014930539935356          -3.8992291646642e-14
17.4                        0.0013973990879453          -3.550066881583e-14
17.45                       0.0013116214437759          -3.2292676824769e-14
17.5                        0.001235114757343           -2.9384111647246e-14
17.55                       0.0011675030157839          -2.6751201577991e-14
17.6                        0.0011081640814764          -2.4401226296548e-14
17.65                       0.0010561675935268          -2.2276719397285e-14
17.7                        0.0010106913174693          -2.0317839341244e-14
17.75                       0.00097100531554703         -1.8507755236487e-14
17.8                        0.00093645838201835         -1.6754859551793e-14
17.85                       0.00090646641041128         -1.5052939389437e-14
17.9                        0.00088050241465656         -1.3372285980177e-14
17.95                       0.00085808797182829         -1.1692171060866e-14
18                          0.00083878589239115         -9.991707920017e-15
18.05                       0.00082219395566714         -8.2552622501088e-15
18.1                        0.00080793957474676         -6.5269937707737e-15
18.15                       0.00079567527713899         -4.8365595356528e-15
18.2                        0.00078507490579088         -3.2278254246865e-15
18.25                       0.00077583046029117         -1.7235698923204e-15
18.3                        0.0007676495105876          -3.1576652061507e-16
18.35                       0.00076025312579099         9.8378792967708e-16
18.4                        0.0007533742689422          2.1662721491208e-15
18.45                       0.00074675661525938         3.2111897251694e-15
18.5                        0.00074015375659347         4.1161959781841e-15
18.55                       0.00073336394069144         4.9147289831105e-15
18.6                        0.00072630668951776         5.6193269645342e-15
18.65                       0.00071898457663486         6.2457541900692e-15
18.7                        0.00071140027219209         6.8136815399596e-15
18.75                       0.000703556541952           7.299027813753e-15
18.8                        0.00069545624628171         7.671941336655e-15
18.85                       0.00068710233910993         7.9235965969973e-15
18.9                        0.00067849786684968         8.0574730598512e-15
18.95                       0.00066964596728734         8.090928083517e-15
19                          0.00066054986843844         8.0339798888934e-15
19.05                       0.0006512128873704          7.8793085081317e-15
19.1                        0.00064163842899302         7.6311355064029e-15
19.15                       0.00063182998481675         7.318073097322e-15
19.2                        0.00062179113167946         6.9617607137121e-15
19.25                       0.00061152553044213         6.5817185119728e-15
19.3                        0.00060103692465377         6.2158022858067e-15
19.35                       0.00059032913918628         5.8714013798923e-15
19.4                        0.00057940607883966         5.533075620819e-15
19.45                       0.00056827172691801         5.2115164439512e-15
19.5                        0.00055693014377702         4.9134892705106e-15
19.55                       0.00054538546534323         4.6498845290086e-15
19.6                        0.00053364190160577         4.4433031858612e-15
19.65                       0.00052170373508112         4.2816198290623e-15
19.7                        0.0005095753192514          4.145188311932e-15
19.75                       0.0004972610769768          4.0176154696797e-15
19.8                        0.00048476549888268         3.8631395014225e-15
19.85                       0.00047209314172202         3.6672600385386e-15
19.9                        0.00045924862671364         3.4340897148083e-15
19.95                       0.00044623663785706         3.1584154507913e-15
20                          0.00043306192022437         2.8451298862696e-15
20.05                       0.00041972927822986         2.5169172151352e-15
20.1                        0.00040624357387797         2.2102741460009e-15
20.15                       0.0003926097249903          1.9506596314519e-15
20.2                        0.00037883270341218         1.733435883862e-15
20.25                       0.00036491753319963         1.5510578395457e-15
20.3                        0.0003508692887872          1.3978270488877e-15
20.35                       0.00033669309313754         1.2670649976858e-15
20.4                        0.00032239411587315         1.1678944897418e-15
20.45                       0.00030795209189988         1.1145751553507e-15
20.5                        0.00029339271633321         1.1170109154094e-15
20.55                       0.00027881092188011         1.1820767073963e-15
20.6                        0.00026429410920826         1.3099961768134e-15
20.65                       0.00024992198628968         1.4941376761091e-15
20.7                        0.00023576650877403         1.7099317892009e-15
20.75                       0.00022189191285637         1.9218096923206e-15
20.8                        0.00020835483171777         2.1057697025407e-15
20.85                       0.00019520448640791         2.253850422492e-15
20.9                        0.0001824829419936          2.3813401362147e-15
20.95                       0.00017022541990176         2.5110214130484e-15
21.002630398234             0.00015785718270398         2.6551850362244e-15
21.058029574601             0.00014545843667092         2.8030554299537e-15
21.116343188881             0.00013311868460923         2.9286894158479e-15
21.177724563722             0.00012093602121054         3.0223541045293e-15
21.242335087763             0.00010901607461003         3.0614192226088e-15
21.310344639971             9.7470620374265e-05         3.0081092001794e-15
21.3819320363               8.6415953627875e-05         2.8478636715529e-15
21.457285499847             7.5990755726206e-05         2.6200019224854e-15
21.536603155744             6.6335019983758e-05         2.4054560113549e-15
21.620093552081             5.7445996177873e-05         2.1300394715704e-15
21.707976208241             4.9312409616618e-05         1.8115441584247e-15
21.800482192072             4.1914203752045e-05         1.4583645474201e-15
21.897854727434             3.52223116006e-05           1.1083049835892e-15
22.000349833698             2.9198394676278e-05         8.1579160939025e-16
22.108236998893             2.3794451779759e-05         5.0445603200589e-16
22.221799888265             1.8952147647709e-05         2.4859027383462e-16
22.34133709011              1.460163453601e-05          9.8407809238668e-17
22.467162900849             1.065952407088e-05          4.4425286174558e-17
22.599608151396             7.0254884677011e-06         -1.14806593178e-17
22.739021077007             3.5766896291534e-06         6.2541702915139e-19
22.885768232885             1.5878392552804e-07         0
