x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             3.2837773299155e-17         3.0175644863517e-18
7.260978922993              8.2540311391321e-16         -2.0014964858088e-17
7.4003918486039             1.7271340607694e-15         -3.2779061892596e-16
7.532837099151              2.1011838102769e-16         5.3608395335645e-16
7.6586629098899             -3.137681087173e-16         1.4368004220981e-16
7.7782001117354             -7.0212932690161e-16        -4.4590510476928e-16
7.891763001107              -3.8272336688738e-16        -6.5451383402879e-16
7.9996501663019             4.9439619065339e-17         -3.7685397620834e-16
8.1021452725658             -5.1174342541316e-17        -2.3633511005761e-16
8.1995178079279             -1.5070410197549e-16        -3.612405640917e-16
8.2920237917592             -1.3986208025063e-16        -1.5774141716463e-16
8.3799064479186             -8.1228426762614e-16        -3.0866227126084e-16
8.4633968442558             -6.5247286740178e-16        1.5218646475126e-16
8.5427145001525             -2.6389480878297e-16        5.2401564844012e-16
8.6180679636999             -5.013350845573e-16         8.4164339845646e-16
8.6896553600291             -4.486428589745e-16         5.9961951165715e-16
8.7576649122373             -4.2695881552479e-16        3.548708677676e-16
8.8222754362784             4.2500725161432e-17         4.8185934478194e-16
8.8836568111193             2.0122792321331e-16         4.6079731934841e-16
8.9419704253995             1.3140530330524e-16         5.3285536351274e-16
8.9973696017656             -1.4311468676809e-16        8.1564047016343e-16
9.05                        -2.3245294578089e-16        1.1213816540327e-15
9.1                         -2.7191790485936e-16        1.340969152651e-15
9.15                        -5.8243340705921e-16        1.4825410930124e-15
9.2                         -4.7574791328664e-16        1.2968743954542e-15
9.25                        -6.4922026088432e-16        1.236802390872e-15
9.3                         -6.4661817567035e-16        1.2180051524908e-15
9.35                        -9.8619029609281e-16        1.1908677042717e-15
9.4                         -1.0646865333808e-15        1.427614480448e-15
9.45                        -1.1123914289701e-15        1.4359799350852e-15
9.5                         -9.350159535515e-16         1.700238751329e-15
9.55                        -6.5485811218124e-16        1.698280920021e-15
9.6                         -4.1243050641349e-16        1.7384446458396e-15
9.65                        -4.3064510291124e-16        1.6390415462897e-15
9.7                         -5.611830444785e-16         1.6699812357606e-15
9.75                        -7.7585507463063e-16        1.4909529226941e-15
9.8                         -8.3093254499289e-16        1.2600440185752e-15
9.85                        -1.2368578383715e-15        1.2836154426352e-15
9.9                         -1.6215327691693e-15        1.1098802371415e-15
9.95                        -1.8296995862865e-15        1.0042843764627e-15
10                          -1.796739840243e-15         9.9505972233619e-16
10.05                       -1.4775507206632e-15        8.5134234525739e-16
10.1                        -8.9251522839007e-16        7.6334648797338e-16
10.15                       -2.0252896582029e-16        8.6057457175093e-16
10.2                        4.9222778630842e-16         9.2745751784723e-16
10.25                       1.2476998600963e-15         7.0822666205517e-16
10.3                        1.5998487257196e-15         3.679111936094e-16
