x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             2.8867899281963e-16         -4.7584755700229e-16
7.260978922993              -3.3920349168381e-15        7.4671196029051e-15
7.4003918486039             -1.045604575145e-15         2.9851267776005e-15
7.532837099151              5.1521287236511e-16         1.7584779560653e-16
7.6586629098899             2.2612120509358e-15         -3.4048862286185e-15
7.7782001117354             4.4022945011601e-15         -6.0585021277792e-15
7.891763001107              5.6322134456277e-15         -9.2507389911453e-15
7.9996501663019             6.2042385118311e-15         -1.1815942929624e-14
8.1021452725658             6.7259565972311e-15         -1.414916109926e-14
8.1995178079279             7.2381337035132e-15         -1.5555458347445e-14
8.2920237917592             8.002279394681e-15          -1.7100558685447e-14
8.3799064479186             8.0265655233447e-15         -1.8278989173456e-14
8.4633968442558             8.5010123940243e-15         -1.9145564219332e-14
8.5427145001525             8.748210489351e-15          -2.0604817844357e-14
8.6180679636999             8.9997453933677e-15         -2.253887838304e-14
8.6896553600291             9.9399655173471e-15         -2.4387826943205e-14
8.7576649122373             9.8324126618365e-15         -2.6025027084446e-14
8.8222754362784             1.0045783649382e-14         -2.7308852519596e-14
8.8836568111193             1.0448239495808e-14         -2.854743386679e-14
8.9419704253995             1.0404871408909e-14         -3.0113655540415e-14
8.9973696017656             1.0741407763248e-14         -3.1181953292661e-14
9.05                        1.1239273400854e-14         -3.179045417181e-14
9.1                         1.1577544478669e-14         -3.2369909405027e-14
9.15                        1.1744077932363e-14         -3.3359368007299e-14
9.2                         1.1643463970756e-14         -3.4496486658909e-14
9.25                        1.1789180742738e-14         -3.5815086296991e-14
9.3                         1.2000817006808e-14         -3.7392551123449e-14
9.35                        1.2653073033775e-14         -3.9233394741233e-14
9.4                         1.3204715099135e-14         -4.1407096689157e-14
9.45                        1.3614109839466e-14         -4.3689990788405e-14
9.5                         1.3978401769421e-14         -4.608706455554e-14
9.55                        1.419003803349e-14          -4.8307712688516e-14
9.6                         1.4595963326869e-14         -5.0532090630142e-14
9.65                        1.481106903789e-14          -5.2411955979236e-14
9.7                         1.4613310561629e-14         -5.4189565112481e-14
9.75                        1.422473250301e-14          -5.616283144378e-14
9.8                         1.3912482277334e-14         -5.7987117510581e-14
9.85                        1.3485740302244e-14         -5.9401834205144e-14
9.9                         1.3211653993039e-14         -6.0676060614714e-14
9.95                        1.2788381464901e-14         -6.220558845162e-14
10                          1.2427558981898e-14         -6.3673849567025e-14
10.05                       1.1983469772048e-14         -6.4963948528026e-14
10.1                        1.1990408665952e-14         -6.6095409562242e-14
10.15                       1.2281842209916e-14         -6.7187727309005e-14
10.2                        1.2552459072168e-14         -6.8330941322955e-14
10.25                       1.3031242751538e-14         -6.91659171059e-14
10.3                        1.3530843112619e-14         -7.0192269006562e-14
10.35                       1.4072076837124e-14         -7.1106474892632e-14
10.4                        1.4516166046974e-14         -7.2043515381246e-14
10.45                       1.4620249455533e-14         -7.301037846149e-14
10.5                        1.482841627265e-14          -7.3726487064769e-14
10.55                       1.4835355166554e-14         -7.395412286978e-14
10.6                        1.5057399771479e-14         -7.3983784264538e-14
10.65                       1.4870049636073e-14         -7.3920212989099e-14
10.7                        1.4779844015322e-14         -7.4169896120455e-14
10.75                       1.4613310561629e-14         -7.4225009318688e-14
10.8                        1.4176160245682e-14         -7.4140589780194e-14
10.85                       1.3961054534661e-14         -7.3953885153337e-14
10.9                        1.3732071035832e-14         -7.3616231141893e-14
10.95                       1.342675970406e-14          -7.3479648713398e-14
11                          1.3329615189406e-14         -7.3324807306936e-14
11.05                       1.3440637491868e-14         -7.3252323758481e-14
11.1                        1.3516965324811e-14         -7.2980114511621e-14
11.15                       1.3197776205232e-14         -7.2407279469864e-14
11.2                        1.2996548282018e-14         -7.1831049074513e-14
11.25                       1.2816137040517e-14         -7.1476297699805e-14
11.3                        1.2601031329496e-14         -7.1113328233341e-14
11.35                       1.2424089534946e-14         -7.0615262645871e-14
11.4                        1.2257556081252e-14         -7.0006231820051e-14
11.45                       1.1903672492153e-14         -6.9374000372009e-14
11.5                        1.1528972221342e-14         -6.8725721003293e-14
11.55                       1.1352030426792e-14         -6.7864647516787e-14
11.6                        1.1237538677378e-14         -6.7278513561873e-14
11.65                       1.1386724896312e-14         -6.7183627764509e-14
11.7                        1.1757955720171e-14         -6.7006261180952e-14
11.75                       1.2091022627558e-14         -6.6917854116586e-14
11.8                        1.2368578383715e-14         -6.6753675410546e-14
11.85                       1.2774503677093e-14         -6.6437455350162e-14
11.9                        1.3045120539346e-14         -6.6033518767413e-14
11.95                       1.3298390166838e-14         -6.5613536211656e-14
12                          1.3416351363205e-14         -6.5257914324451e-14
12.05                       1.3919421171238e-14         -6.5706069116338e-14
12.1                        1.4304529782905e-14         -6.598292746086e-14
12.15                       1.4399939574083e-14         -6.6020489073289e-14
12.2                        1.4641066137244e-14         -6.6072344425323e-14
12.25                       1.4937703851636e-14         -6.6180998185814e-14
12.3                        1.5187504032177e-14         -6.6104707656125e-14
12.35                       1.5475468129189e-14         -6.6093645301525e-14
12.4                        1.5567408473416e-14         -6.6059759670154e-14
12.45                       1.5547459153442e-14         -6.6054952603269e-14
12.5                        1.555266332387e-14          -6.6075907929592e-14
12.55                       1.568190022283e-14          -6.6654943468817e-14
12.6                        1.5817208653957e-14         -6.6756846208542e-14
