x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             -3.0502510632556e-16        6.0056892489625e-05
7.260978922993              -6.6440088586557e-15        0.0013524935882905
7.4003918486039             -1.4187105879828e-14        0.0026433118069988
7.532837099151              -2.141322974625e-14         0.0039807011748526
7.6586629098899             -2.813755848636e-14         0.0054022337891179
7.7782001117354             -3.5155485404668e-14        0.0069376520536243
7.891763001107              -4.3065201465808e-14        0.0086106793539771
7.9996501663019             -5.0625651288075e-14        0.010440200513022
8.1021452725658             -5.9024178019697e-14        0.012441037545703
8.1995178079279             -6.8264199364142e-14        0.014624468786956
8.2920237917592             -7.810202470099e-14         0.016998589227081
8.3799064479186             -8.8809331586711e-14        0.019568576738884
8.4633968442558             -1.0011830794161e-13        0.022336906646308
8.5427145001525             -1.1198906741099e-13        0.025303541954413
8.6180679636999             -1.2490511194767e-13        0.028466116152569
8.6896553600291             -1.3861142972885e-13        0.031778738495724
8.7576649122373             -1.5259069793925e-13        0.035196210997346
8.8222754362784             -1.6681502041523e-13        0.038681152182362
8.8836568111193             -1.8151627803005e-13        0.04219884715774
8.9419704253995             -1.9646040398872e-13        0.045717604669695
8.9973696017656             -2.1169740509829e-13        0.049209020773523
9.05                        -2.2678174303455e-13        0.052648132977498
9.1                         -2.4193397325339e-13        0.056013465697607
9.15                        -2.5721004825453e-13        0.059460753038603
9.2                         -2.7275549216447e-13        0.062974989721473
9.25                        -2.8850770923154e-13        0.066539249578645
9.3                         -3.0435095248539e-13        0.070134660514738
9.35                        -3.2047876042263e-13        0.073740402012479
9.4                         -3.3643093784991e-13        0.077333727419081
9.45                        -3.5225957531312e-13        0.08089001313562
9.5                         -3.6807341210311e-13        0.084382836668088
9.55                        -3.8329267795434e-13        0.087784085281531
9.6                         -3.9772849167252e-13        0.091064096726863
9.65                        -4.1126119525797e-13        0.094210276695374
9.7                         -4.2400122027882e-13        0.097222505118521
9.75                        -4.360459969448e-13         0.10009649910206
9.8                         -4.4711475594169e-13        0.10282817229841
9.85                        -4.5741987024649e-13        0.10541364071679
9.9                         -4.669892607363e-13         0.10784922824563
9.95                        -4.7585756254932e-13        0.11013147187933
10                          -4.8389979703378e-13        0.11225712664217
10.05                       -4.9134730739278e-13        0.11422317020207
10.1                        -4.9841423144424e-13        0.11602680716791
10.15                       -5.047963207612e-13         0.11766547306404
10.2                        -5.1061201497423e-13        0.11913683797661
10.25                       -5.1592593898322e-13        0.12043880986629
10.3                        -5.2093664283378e-13        0.12156953754281
10.35                       -5.2508861832238e-13        0.12252741329709
10.4                        -5.2837186927239e-13        0.12331107518706
10.45                       -5.3090560502791e-13        0.12391940897418
10.5                        -5.3270263523025e-13        0.12435154970769
10.55                       -5.3318878411884e-13        0.12460688295442
10.6                        -5.329080918884e-13         0.12468504567241
10.65                       -5.3194345057435e-13        0.12458592672711
10.7                        -5.3014442549536e-13        0.12430966704938
10.75                       -5.274634893339e-13         0.12385665943514
10.8                        -5.2423702472578e-13        0.12322754798683
10.85                       -5.202734054551e-13         0.12242322719764
10.9                        -5.1573651147291e-13        0.12144484067966
10.95                       -5.1045799162302e-13        0.1202937795379
11                          -5.0444533943754e-13        0.11897168039231
11.05                       -4.9756792196748e-13        0.11748042305079
11.1                        -4.8998387052299e-13        0.11582212783645
11.15                       -4.8161133053426e-13        0.11399915257281
11.2                        -4.7260556689236e-13        0.11201408923138
11.25                       -4.6283098211523e-13        0.10986976024631
11.3                        -4.5245961535478e-13        0.10756921450136
11.35                       -4.411529909259e-13         0.10511572299484
11.4                        -4.2922769194561e-13        0.10251277418886
11.45                       -4.1673353669735e-13        0.099764069049238
11.5                        -4.0369663809568e-13        0.096873515783388
11.55                       -3.8978259189718e-13        0.09384522428346
11.6                        -3.7579580876163e-13        0.090683500282762
11.65                       -3.6137465997772e-13        0.087392839233709
11.7                        -3.4639520445545e-13        0.083977919916029
11.75                       -3.3110831404524e-13        0.080443597784307
11.8                        -3.1500741453547e-13        0.076794898064324
11.85                       -2.9834721643666e-13        0.073037008608014
11.9                        -2.8175773152666e-13        0.069175272517186
11.95                       -2.6445942711731e-13        0.065215180546516
12                          -2.4682427672278e-13        0.061162363296589
12.05                       -2.2898545618415e-13        0.057022583208117
12.1                        -2.1065536237124e-13        0.052801726368687
12.15                       -1.9163372533282e-13        0.048505794143714
12.2                        -1.7215053159524e-13        0.044140894643488
12.25                       -1.52493958596e-13          0.039713234038437
12.3                        -1.3260241851195e-13        0.035229107734978
12.35                       -1.1228445195573e-13        0.03069489142448
12.4                        -9.172823398719e-14         0.026117032018077
12.45                       -7.1218794911035e-14        0.02150203848022
12.5                        -5.0746329094563e-14        0.016856472573998
12.55                       -3.0382098632882e-14        0.012186939531389
12.6                        -9.8452197751007e-15        0.0075000786617021
12.65                       1.0780369415715e-14         0.0028025539115735
12.7                        3.1243337883395e-14         -0.0018989556100745
12.75                       5.2078709008561e-14         -0.0065977651286292
12.8                        7.269953837393e-14          -0.011287193708438
12.85                       9.3366316383978e-14         -0.015960573752004
12.9                        1.1370268013914e-13         -0.020611260480212
12.95                       1.3392420196088e-13         -0.025232641380118
13                          1.5347030064924e-13         -0.029818145606851
13.05                       1.7292092310491e-13         -0.034361253326283
13.1                        1.9169820892735e-13         -0.038855504985154
13.15                       2.1016952753711e-13         -0.043294510495502
13.2                        2.2834733603862e-13         -0.04767195832032
13.25                       2.4623231630842e-13         -0.05198162444752
13.3                        2.6429485730416e-13         -0.056217381239459
13.35                       2.8188533756047e-13         -0.060373206145436
13.4                        2.9959151929329e-13         -0.064443190264766
13.45                       3.1673037786289e-13         -0.068421546748271
13.5                        3.3381907726982e-13         -0.072302619026225
13.55                       3.49970540776e-13           -0.07608088885107
13.6                        3.656698903876e-13          -0.079750984143457
13.65                       3.8095094261424e-13         -0.083307686630463
13.7                        3.9585695191897e-13         -0.086745939265116
13.75                       4.0998313963947e-13         -0.090060853416684
13.8                        4.2315821501013e-13         -0.093247715821511
13.85                       4.3562458816658e-13         -0.096301995284497
13.9                        4.4736543933676e-13         -0.09921934912172
13.95                       4.5848409232732e-13         -0.10199562933501
14                          4.6911941075808e-13         -0.10462688850974
14.05                       4.7897263354385e-13         -0.10710938542738
14.1                        4.8819964029356e-13         -0.10943959038491
14.15                       4.9685873123548e-13         -0.11161419021346
14.2                        5.0475774729186e-13         -0.11363009298912
14.25                       5.1188804295611e-13         -0.11548443242913
14.3                        5.1810301768761e-13         -0.11717457196725
14.35                       5.2344735666528e-13         -0.11869810850258
14.4                        5.280911827109e-13          -0.1200528758163
14.45                       5.3204057538834e-13         -0.12123694765172
14.5                        5.3532047795697e-13         -0.1222486404531
14.55                       5.3764766709592e-13         -0.1230865157594
14.6                        5.3918865201162e-13         -0.12374938224948
14.65                       5.3987589867667e-13         -0.12423629743603
14.7                        5.39991161848e-13           -0.12454656900561
14.75                       5.3925247247098e-13         -0.12467975580299
14.8                        5.3795425502519e-13         -0.1246356684584
14.85                       5.3607352995209e-13         -0.12441436965681
14.9                        5.335887827225e-13          -0.12401617404879
14.95                       5.3040125831624e-13         -0.12344164780311
15                          5.2624442927716e-13         -0.12269160780176
