x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             2.4569841259949e-16         3.0189569602749e-16
7.260978922993              -3.8786169364854e-15        -3.3517864593046e-15
7.4003918486039             -2.9942129188383e-15        -1.6756844812112e-15
7.532837099151              -7.3319855394595e-16        -1.3141307883869e-15
7.6586629098899             -1.614385134312e-15         5.0872363605854e-16
7.7782001117354             -8.6922444429459e-16        1.2126232478651e-15
7.891763001107              1.0184664768018e-15         2.6918521064511e-15
7.9996501663019             9.4461597637079e-16         3.9018848570676e-15
8.1021452725658             3.6380912137475e-16         5.3758963292683e-15
8.1995178079279             8.1551489607401e-16         6.5627033343455e-15
8.2920237917592             9.603773084574e-16          8.3503155249582e-15
8.3799064479186             1.532743975089e-15          8.9146240284349e-15
8.4633968442558             1.6576741008214e-15         1.0294168599989e-14
8.5427145001525             2.3502049150961e-15         1.0686200942076e-14
8.6180679636999             2.4550839739184e-15         1.1664038623944e-14
8.6896553600291             2.5818627813444e-15         1.2177991437466e-14
8.7576649122373             3.2116093402808e-15         1.3513862081011e-14
8.8222754362784             3.6142539601367e-15         1.438724566871e-14
8.8836568111193             3.8918210081382e-15         1.5164916801847e-14
8.9419704253995             4.2854428601516e-15         1.5953246565428e-14
8.9973696017656             4.2950170463685e-15         1.6896031820856e-14
9.05                        4.3786922405214e-15         1.7532381870852e-14
9.1                         4.3797032177757e-15         1.7960456821189e-14
9.15                        4.4123926651118e-15         1.820703578086e-14
9.2                         4.3871157517025e-15         1.8728697614492e-14
9.25                        4.4745953286698e-15         1.9327820059955e-14
9.3                         4.5251005536037e-15         2.0110353754567e-14
9.35                        4.610667605095e-15          2.0835607593571e-14
9.4                         4.7874310398522e-15         2.1463360505241e-14
9.45                        5.1025849807302e-15         2.2178479076405e-14
9.5                         5.4823881006481e-15         2.279232098162e-14
9.55                        5.989119030937e-15          2.3770900458833e-14
9.6                         6.4370893965493e-15         2.4713941502024e-14
9.65                        6.8025987667127e-15         2.5689464635142e-14
9.7                         7.0412910049351e-15         2.639874556469e-14
9.75                        7.0862090130348e-15         2.6816372246213e-14
9.8                         7.2435454506175e-15         2.7167655976765e-14
9.85                        7.5045945876931e-15         2.7326091187248e-14
9.9                         7.7942098922672e-15         2.7523724427203e-14
9.95                        8.1285471599732e-15         2.7817036264917e-14
10                          8.4491831922224e-15         2.8056329358903e-14
10.05                       8.7411364498851e-15         2.8533001318781e-14
10.1                        9.0287861123484e-15         2.9048384063916e-14
10.15                       9.3480987912889e-15         2.9782325270782e-14
10.2                        9.6669489557996e-15         3.0483907027272e-14
10.25                       1.0044632940203e-14         3.1137925522629e-14
10.3                        1.0300616713993e-14         3.1613836760231e-14
10.35                       1.0650543793441e-14         3.2215027181853e-14
10.4                        1.1126132179135e-14         3.287968715402e-14
10.45                       1.1583041366521e-14         3.3410838387478e-14
10.5                        1.1973634352429e-14         3.3528775227277e-14
10.55                       1.2365010935265e-14         3.3317092372877e-14
10.6                        1.2599590634291e-14         3.327594516011e-14
10.65                       1.2666764983501e-14         3.3279725295735e-14
10.7                        1.2710322658256e-14         3.339700147949e-14
10.75                       1.2824955314868e-14         3.3320343935907e-14
10.8                        1.2947213838708e-14         3.3362612511519e-14
10.85                       1.2962793834291e-14         3.3569456172642e-14
10.9                        1.3018834095777e-14         3.3729066609271e-14
10.95                       1.3207975480745e-14         3.3844264513785e-14
11                          1.3526501554525e-14         3.4026940560019e-14
11.05                       1.3975714753533e-14         3.4328858759058e-14
11.1                        1.4581404494168e-14         3.4615118831738e-14
11.15                       1.5308195432462e-14         3.4990692677763e-14
11.2                        1.6095420683655e-14         3.5369926780298e-14
11.25                       1.6900375643996e-14         3.5659137586561e-14
11.3                        1.7508262838853e-14         3.5884367732831e-14
11.35                       1.7927302006588e-14         3.6079363422949e-14
11.4                        1.8333309282686e-14         3.6172138824173e-14
11.45                       1.8728112803305e-14         3.6331904744886e-14
11.5                        1.9196792739517e-14         3.6529288374655e-14
11.55                       1.9645634690205e-14         3.6534919620906e-14
11.6                        2.0131231988555e-14         3.6405878991999e-14
11.65                       2.0703651777833e-14         3.6350986121647e-14
11.7                        2.1382349373299e-14         3.6428431060241e-14
11.75                       2.2443886191473e-14         3.6560326814518e-14
11.8                        2.3470103881858e-14         3.6607408219191e-14
11.85                       2.4273172881684e-14         3.6508111839084e-14
11.9                        2.5125416497285e-14         3.6373877704984e-14
11.95                       2.5865700607804e-14         3.636730522447e-14
12                          2.6385728894059e-14         3.636609935724e-14
12.05                       2.6896098199074e-14         3.639257623078e-14
12.1                        2.7595639989666e-14         3.6450222164302e-14
12.15                       2.8429273018783e-14         3.6513186062818e-14
12.2                        2.9311242142599e-14         3.6637069940565e-14
12.25                       3.0192106232424e-14         3.6885452791743e-14
12.3                        3.0950429129544e-14         3.7040324873538e-14
12.35                       3.1686839901442e-14         3.7057491049669e-14
12.4                        3.2666670582592e-14         3.6806307151887e-14
12.45                       3.3470093078379e-14         3.6495920288654e-14
12.5                        3.421943520945e-14          3.6249038846351e-14
12.55                       3.4951186890585e-14         3.6253125662498e-14
12.6                        3.5760898246979e-14         3.6221649771954e-14
12.65                       3.6482526528851e-14         3.6099827981304e-14
12.7                        3.7326019815761e-14         3.5881611655402e-14
12.75                       3.8191633990947e-14         3.5427468718718e-14
12.8                        3.910621586916e-14          3.4977801912062e-14
12.85                       3.9826277438002e-14         3.4601720148543e-14
12.9                        4.0708566829847e-14         3.4191540349495e-14
12.95                       4.1680485840501e-14         3.3886299466004e-14
13                          4.2827810723442e-14         3.361452300143e-14
13.05                       4.4105384139368e-14         3.3134753202924e-14
13.1                        4.5244885583563e-14         3.2632757566884e-14
13.15                       4.6231425029484e-14         3.2013410543864e-14
13.2                        4.7067577224175e-14         3.1634467334377e-14
13.25                       4.7689155406582e-14         3.1346057074875e-14
13.3                        4.8259089257052e-14         3.1020442990193e-14
13.35                       4.8770693347022e-14         3.0460420563387e-14
13.4                        4.9337210090865e-14         2.9874471192646e-14
13.45                       4.9971214458773e-14         2.9226827025739e-14
13.5                        5.0778571570263e-14         2.8593464459724e-14
13.55                       5.1442848923991e-14         2.7895921747606e-14
13.6                        5.1926603827678e-14         2.7161659859847e-14
13.65                       5.2105184989096e-14         2.6504557730787e-14
13.7                        5.2389004262942e-14         2.5925799768734e-14
13.75                       5.270432950922e-14          2.5385624376563e-14
13.8                        5.302257377793e-14          2.4670786970947e-14
13.85                       5.3269383295153e-14         2.4079239473283e-14
13.9                        5.365481653908e-14          2.3494707844361e-14
13.95                       5.410213307314e-14          2.2900324177146e-14
14                          5.4556009653278e-14         2.2317722068004e-14
14.05                       5.4813626438215e-14         2.155237449039e-14
14.1                        5.5135355849217e-14         2.0708095592533e-14
14.15                       5.5292845358989e-14         2.0066970672295e-14
14.2                        5.5267117868079e-14         1.9663845457693e-14
14.25                       5.5230194230009e-14         1.9099019675968e-14
14.3                        5.5162726424755e-14         1.8347809986599e-14
14.35                       5.4918969774073e-14         1.7527045074918e-14
14.4                        5.4761253771739e-14         1.696243965525e-14
14.45                       5.4806229236252e-14         1.6556616339466e-14
14.5                        5.4900393144097e-14         1.6191476279249e-14
14.55                       5.501778438443e-14          1.5874946856151e-14
14.6                        5.5048790199053e-14         1.5658202482237e-14
14.65                       5.4836323639216e-14         1.5132796400665e-14
14.7                        5.4626443559528e-14         1.4669510597884e-14
14.75                       5.4434813910168e-14         1.4425027770173e-14
14.8                        5.421286388654e-14          1.411518174581e-14
14.85                       5.3899050658938e-14         1.3617256350003e-14
14.9                        5.3632985381483e-14         1.3082960459209e-14
14.95                       5.3428180142475e-14         1.2452488775993e-14
15                          5.3180059997127e-14         1.1933085803981e-14
15.05                       5.2733386381715e-14         1.1458995714583e-14
15.1                        5.2146381216405e-14         1.087889931197e-14
15.15                       5.1570533975322e-14         1.0323037880528e-14
15.2                        5.1078535444879e-14         9.729831236801e-15
15.25                       5.0699478734987e-14         9.2365943513634e-15
15.3                        5.0287330193506e-14         8.8098181818364e-15
15.35                       4.9701821064242e-14         8.2389874134221e-15
15.4                        4.8879935654759e-14         7.6797080801254e-15
15.45                       4.8006583078913e-14         7.0799410755437e-15
15.5                        4.7087815532492e-14         6.702816839135e-15
15.55                       4.6122825604894e-14         6.1191359861874e-15
15.6                        4.5115291179605e-14         5.6465898104432e-15
15.65                       4.4389503502543e-14         5.3067584722998e-15
15.7                        4.3895408111048e-14         5.0513417333705e-15
15.75                       4.3370979887056e-14         4.7213576108249e-15
15.8                        4.2731987363139e-14         4.3707306323475e-15
15.85                       4.2144223751085e-14         3.9515556341494e-15
15.9                        4.1532715773886e-14         3.4475972651394e-15
15.95                       4.0755294498835e-14         3.0255877637455e-15
16                          3.9806354670349e-14         2.1621228027846e-15
16.05                       3.8975941041836e-14         1.3906073268734e-15
16.1                        3.8187824723018e-14         9.4019695809321e-16
16.15                       3.737385612852e-14          4.3208988251152e-16
16.2                        3.6559233070548e-14         -2.4992150870835e-16
16.25                       3.5916422615169e-14         -9.6071322022111e-16
16.3                        3.5536549960411e-14         -1.7128275132979e-15
16.35                       3.4941237817343e-14         -2.5355703236773e-15
16.4                        3.4460725806692e-14         -3.1371439428989e-15
16.45                       3.4305014457448e-14         -3.5954980132152e-15
16.5                        3.3989962052018e-14         -3.5418222313823e-15
