no.   s1          s2          x1          y1          z1          x2          y2          z2          
1     0.000000000 0.000000000 0.000000000 0.086905237 0.413094763 0.000000000 0.413094763 0.086905237 
2     0.000000000 0.000000000 0.000000000 0.413094763 0.086905237 0.000000000 0.086905237 0.413094763 
3     0.002084378 0.017488759 0.064168822 0.020119291 0.168808818 0.538401825 0.168808818 0.020119291 
4     0.017488759 0.002084378 0.538401825 0.168808818 0.020119291 0.064168822 0.020119291 0.168808818 
5     0.000000000 0.000000000 0.000000000 0.006200238 0.493799762 0.000000000 0.493799762 0.006200238 
6     0.000000000 0.000000000 0.000000000 0.493799762 0.006200238 0.000000000 0.006200238 0.493799762 
7     0.007567958 0.555524515 0.005839740 0.000016147 0.001185246 0.428665001 0.001185246 0.000016147 
8     0.555524515 0.007567958 0.428665001 0.001185246 0.000016147 0.005839740 0.000016147 0.001185246 
9     0.562252143 0.000667224 0.434161058 0.001200754 0.000001425 0.000515218 0.000001425 0.001200754 
10    0.000667224 0.562252143 0.000515218 0.000001425 0.001200754 0.434161058 0.001200754 0.000001425 
11    0.059459982 0.903143715 0.002293046 0.000008461 0.000128516 0.034829303 0.000128516 0.000008461 
12    0.903143715 0.059459982 0.034829303 0.000128516 0.000008461 0.002293046 0.000008461 0.000128516 
13    0.930145066 0.000835970 0.068568608 0.000194191 0.000000175 0.000061626 0.000000175 0.000194191 
14    0.000835970 0.930145066 0.000061626 0.000000175 0.000194191 0.068568608 0.000194191 0.000000175 
