x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             -2.7731858693106e-16        3.6680463668074e-16
7.260978922993              1.8386984643182e-15         -3.6444012974534e-15
7.4003918486039             -2.3462135012586e-16        -1.486782467471e-15
7.532837099151              1.5671058201105e-15         -5.3003202597261e-16
7.6586629098899             2.3106516700011e-15         1.0420361127912e-15
7.7782001117354             3.441691376338e-15          1.604769718109e-15
7.891763001107              4.558853294867e-15          6.4898557686903e-16
7.9996501663019             4.9691153969356e-15         4.9026750239173e-16
8.1021452725658             5.159934979293e-15          5.5006770222531e-16
8.1995178079279             5.4036636276678e-15         1.3495112557053e-15
8.2920237917592             4.863297264901e-15          2.566566597618e-15
8.3799064479186             3.5631220196564e-15         3.5485766844557e-15
8.4633968442558             2.2724877535296e-15         4.5032777372991e-15
8.5427145001525             1.7312540290249e-15         6.1686136347079e-15
8.6180679636999             8.3266726846887e-16         6.3556875621876e-15
8.6896553600291             1.4918621893401e-16         6.9126517050735e-15
8.7576649122373             2.1857515797308e-16         7.7764929691573e-15
8.8222754362784             3.885780586188e-16          8.5084131468428e-15
8.8836568111193             5.3776427755281e-16         9.2624805019435e-15
8.9419704253995             9.2634233617161e-16         9.8941690062237e-15
8.9973696017656             1.3947176746854e-15         1.0579142252991e-14
9.05                        1.6757428777936e-15         1.113135259926e-14
9.1                         1.8457457784393e-15         1.1756910805457e-14
9.15                        2.6367796834847e-15         1.2010768457822e-14
9.2                         3.0773994463829e-15         1.2202939606851e-14
9.25                        3.441691376338e-15          1.214821113442e-14
9.3                         4.1286418728248e-15         1.1584429759854e-14
9.35                        4.8121229223597e-15         1.08320376921e-14
9.4                         5.6968318951078e-15         1.0028987287835e-14
9.45                        6.2866378769399e-15         9.1382348793036e-15
9.5                         6.7515437685017e-15         7.9800367073913e-15
9.55                        7.2511441295831e-15         6.9125645481276e-15
9.6                         7.7368667028566e-15         5.343006857691e-15
9.65                        7.9103390504542e-15         4.3040156152417e-15
9.7                         7.7646222784722e-15         3.2640393819914e-15
9.75                        7.2788997051987e-15         2.2983714908121e-15
9.8                         7.2095107661596e-15         1.4066232059737e-15
9.85                        6.6266436782314e-15         7.3400343886678e-16
9.9                         5.9674487573602e-15         1.8336562711925e-16
9.95                        5.4678483962789e-15         -5.1342147660578e-16
10                          4.8155923693116e-15         -1.0155008414368e-15
10.05                       4.19109191796e-15           -1.334192762387e-15
10.1                        3.962108419131e-15          -1.6927924842028e-15
10.15                       4.1633363423443e-15         -2.2907164440721e-15
10.2                        4.2257863874795e-15         -3.0824402396116e-15
10.25                       4.413136522885e-15          -3.6834566412046e-15
10.3                        4.6698755973296e-15         -4.6326381029068e-15
10.35                       5.2735593669695e-15         -5.4812825691474e-15
10.4                        5.8980598183211e-15         -6.4173226672985e-15
10.45                       6.3005156647478e-15         -7.4482598543421e-15
10.5                        6.7792993441174e-15         -8.0807314600085e-15
10.55                       6.6682770416548e-15         -8.0789451870219e-15
10.6                        6.7099104050783e-15         -8.1067260759186e-15
10.65                       6.5156213757689e-15         -8.2286457191436e-15
10.7                        6.7099104050783e-15         -8.6358673530907e-15
10.75                       6.2450045135165e-15         -8.7010868778553e-15
10.8                        5.4192761389515e-15         -8.5847079758909e-15
10.85                       4.8225312632155e-15         -8.4457866291186e-15
10.9                        4.19109191796e-15           -8.3048050946285e-15
10.95                       3.6429192995513e-15         -8.3096927117158e-15
11                          3.4347524824341e-15         -8.2988601824359e-15
11.05                       3.3584246494911e-15         -8.2968442664242e-15
11.1                        3.0600522116231e-15         -7.8940884467535e-15
11.15                       2.3245294578089e-15         -7.135333182001e-15
11.2                        1.866562460151e-15          -6.5480030398186e-15
11.25                       1.3114509478385e-15         -6.2583300866195e-15
11.3                        4.9960036108132e-16         -6.0253180177379e-15
11.35                       -2.914335439641e-16         -5.79303950577e-15
11.4                        -9.9226182825873e-16        -5.5638004866832e-15
11.45                       -1.866562460151e-15         -5.5167368901271e-15
11.5                        -2.6437185773887e-15        -5.1644559844705e-15
11.55                       -3.0600522116231e-15        -4.6097430082282e-15
11.6                        -3.4694469519536e-15        -4.4753846619113e-15
11.65                       -3.8719027983802e-15        -4.9387312617265e-15
11.7                        -4.1355807667287e-15        -5.1283035153147e-15
11.75                       -4.489464355828e-15         -5.4185978738279e-15
11.8                        -4.8502868388312e-15        -5.0201429951688e-15
11.85                       -5.1209037010835e-15        -4.6157025983949e-15
11.9                        -5.3325399651527e-15        -4.4256190574332e-15
11.95                       -5.2319260035461e-15        -4.2779032240083e-15
12                          -5.3498871999125e-15        -4.0663148381128e-15
12.05                       -5.0584536559484e-15        -4.563702835579e-15
12.1                        -5.1104953602277e-15        -4.8092570392257e-15
