x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             7.0097887628453e-17         -8.2808278526025e-16
7.260978922993              -1.3017947004388e-15        1.0331029944302e-14
7.4003918486039             -5.8258528899773e-16        4.9075163220785e-15
7.532837099151              -7.7567209514003e-16        2.4317004098237e-15
7.6586629098899             -6.6280450551845e-16        -7.3520072522492e-16
7.7782001117354             -5.4443671813689e-17        -2.8410205673765e-15
7.891763001107              -2.7440742171684e-16        -5.2999339333204e-15
7.9996501663019             -7.455148839625e-16         -7.2708966054797e-15
8.1021452725658             5.8917050947773e-17         -8.8099799190028e-15
8.1995178079279             8.7437988270981e-16         -1.206775424405e-14
8.2920237917592             1.2294188326522e-15         -1.4275573766421e-14
8.3799064479186             1.0109347287783e-15         -1.6029329852822e-14
8.4633968442558             6.8451792555485e-16         -1.7377983252088e-14
8.5427145001525             5.1118184476196e-16         -1.9003007702495e-14
8.6180679636999             1.2367511594752e-15         -2.096483035842e-14
8.6896553600291             1.5188359372804e-15         -2.2537558303218e-14
8.7576649122373             1.527606623495e-15          -2.3545441154759e-14
8.8222754362784             1.5948735219682e-15         -2.4187761202627e-14
8.8836568111193             1.3419509132428e-15         -2.5149869106881e-14
8.9419704253995             1.1544420535566e-15         -2.5757665766566e-14
8.9973696017656             1.6617350003583e-15         -2.6401937429788e-14
9.05                        1.8636458600036e-15         -2.7052573287588e-14
9.1                         2.2861711825433e-15         -2.7863495735676e-14
9.15                        2.5754034139749e-15         -2.8439670761663e-14
9.2                         2.9333610113849e-15         -2.908657484839e-14
9.25                        3.217178370762e-15          -2.9812862110521e-14
9.3                         3.534479103768e-15          -3.0509537773956e-14
9.35                        3.5492188891777e-15         -3.1198260212062e-14
9.4                         3.4908056035112e-15         -3.1838615260083e-14
9.45                        3.4011286505066e-15         -3.2462585592576e-14
9.5                         3.2346945711158e-15         -3.2966047216399e-14
9.55                        2.9504298546081e-15         -3.3407363870295e-14
9.6                         2.7771670460416e-15         -3.3902956263794e-14
9.65                        2.6213033103864e-15         -3.4485028949371e-14
9.7                         2.4951950506557e-15         -3.4915576065223e-14
9.75                        2.5271785922052e-15         -3.5272024053901e-14
9.8                         2.5278955551571e-15         -3.5766843272112e-14
9.85                        2.4761360358323e-15         -3.6272722213393e-14
9.9                         2.5389418456517e-15         -3.6832430301101e-14
9.95                        2.685596536214e-15          -3.7578582901635e-14
10                          2.677026742928e-15          -3.8054082090179e-14
10.05                       2.5235801166924e-15         -3.8567928189612e-14
10.1                        2.4292019756953e-15         -3.9096504784588e-14
10.15                       2.4474414781352e-15         -3.9596898779263e-14
10.2                        2.4904107372668e-15         -4.0099441889616e-14
10.25                       2.6111285415844e-15         -4.0681441045629e-14
10.3                        2.75515917541e-15           -4.1097839480366e-14
10.35                       2.9125868725822e-15         -4.1472888053902e-14
10.4                        3.0986215454431e-15         -4.1972402497686e-14
10.45                       3.1273115182456e-15         -4.2337985140808e-14
10.5                        3.0267368752812e-15         -4.2485742119919e-14
10.55                       3.0085512300606e-15         -4.2594492867844e-14
