x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             -4.7379634937617e-17        -2.3937733155311e-17
7.260978922993              -1.2507356261793e-15        -6.2387022476552e-16
7.4003918486039             -1.346145417358e-15         -7.1185880668349e-16
7.532837099151              -2.5882074261574e-15        -7.5906197785854e-16
7.6586629098899             -2.8969882048813e-15        -2.1554376715525e-16
7.7782001117354             -2.2100377083945e-15        -4.5866675962735e-16
7.891763001107              -1.3860440573055e-15        -2.6797962370866e-16
7.9996501663019             -7.4940054162198e-16        -8.7365356306231e-16
8.1021452725658             1.5612511283791e-16         -1.3760583246577e-15
8.1995178079279             -3.4694469519536e-18        -1.5264655818864e-15
8.2920237917592             -2.9663771439203e-16        -9.1029586727031e-16
8.3799064479186             -3.9378222904674e-16        -4.1825696638486e-16
8.4633968442558             -4.8919202022546e-16        3.0768799569425e-16
8.5427145001525             -5.1521287236511e-16        6.2809205034208e-16
8.6180679636999             -4.1633363423443e-16        4.6194057798704e-16
8.6896553600291             -6.8434841127285e-16        5.8182763913792e-17
8.7576649122373             -9.6537361438109e-16        -2.6752294269638e-16
8.8222754362784             -1.1397133237168e-15        -7.4618667215279e-16
8.8836568111193             -9.046582927219e-16         -1.0422771092222e-15
8.9419704253995             -1.045170894276e-15         -1.39782335171e-15
8.9973696017656             -8.6215756756047e-16        -1.5347146406772e-15
9.05                        -8.526165884426e-16         -1.8928208198273e-15
9.1                         -6.8434841127285e-16        -1.8017562839147e-15
9.15                        -8.4394297106272e-16        -1.8373500347411e-15
9.2                         -8.899131431761e-16         -1.734325771035e-15
9.25                        -1.0698907038087e-15        -1.9353903891378e-15
9.3                         -9.5366423091825e-16        -1.7095368352777e-15
9.35                        -9.2243920835067e-16        -1.431311368405e-15
9.4                         -9.8662397696181e-16        -1.2439033852513e-15
9.45                        -1.044303532538e-15         -1.1991571260207e-15
9.5                         -9.5279686918026e-16        -6.0968246585742e-16
9.55                        -4.48859699409e-16          -9.8199488370928e-17
9.6                         -1.0972125985553e-16        2.4020691353659e-16
9.65                        2.5023386140965e-16         6.1496846129365e-16
9.7                         2.4980018054066e-16         1.0492329837653e-15
9.75                        2.7972416050126e-16         1.198947370604e-15
9.8                         4.0332320816461e-17         1.2014631267589e-15
9.85                        2.1380466841414e-16         1.5185726821437e-15
9.9                         6.3837823915947e-16         1.6368244043176e-15
9.95                        1.1414480471927e-15         1.746734671186e-15
10                          1.4315805485499e-15         1.4940625895936e-15
10.05                       1.5261229779906e-15         1.2542013449584e-15
10.1                        1.647987302178e-15          1.0911917640075e-15
10.15                       1.1774435593193e-15         8.2655632784366e-16
10.2                        6.205973235307e-16          7.1836486589761e-16
10.25                       3.0032400177848e-16         6.2636021299474e-16
10.3                        -3.3198270521506e-16        5.2271527617195e-16
10.35                       -9.8033560436139e-16        4.9985479224507e-16
10.4                        -1.4593361241655e-15        3.6388513872686e-16
10.45                       -1.8292659054175e-15        1.6481056831475e-16
10.5                        -2.019218126037e-15         3.6393555340929e-16
10.55                       -2.0129297534366e-15        1.9186752318382e-16
10.6                        -1.8858612588213e-15        7.9177025178329e-17
10.65                       -1.7737547541863e-15        3.4134690531932e-16
10.7                        -1.6583956430338e-15        5.1542544644555e-16
10.75                       -1.9003895679326e-15        6.3466766868311e-16
10.8                        -1.9595870065503e-15        9.2885199746582e-16
10.85                       -2.016182359954e-15         1.3752390113603e-15
10.9                        -2.3238789365054e-15        1.5579748325776e-15
10.95                       -2.096413320718e-15         1.9098668051877e-15
11                          -1.7360245185838e-15        2.059241565296e-15
11.05                       -1.4597698050345e-15        2.0259627694037e-15
11.1                        -9.8835870043779e-16        1.918500983345e-15
11.15                       -7.2793333860677e-16        2.0835080521344e-15
11.2                        -4.8843307870472e-16        2.3568854831321e-15
11.25                       -2.1369624819689e-16        2.4320975734504e-15
11.3                        1.2587587222557e-16         2.538276233462e-15
11.35                       9.2590865530262e-17         2.5037222642546e-15
11.4                        1.5135462327898e-16         2.3958493779581e-15
11.45                       1.7726705520138e-16         2.3608739741068e-15
11.5                        -4.5612385396465e-16        2.3997872626532e-15
11.55                       -1.1164029770083e-15        2.4156940034151e-15
11.6                        -1.7851388769974e-15        2.3912629464792e-15
11.65                       -2.3445871979999e-15        2.3722885607724e-15
11.7                        -2.6843761588569e-15        2.4489181690904e-15
11.75                       -3.0577753870609e-15        2.4749989633776e-15
11.8                        -3.1755197429928e-15        2.6242054240929e-15
11.85                       -3.4700974732571e-15        2.568602439259e-15
11.9                        -3.7998033539099e-15        2.5896101296868e-15
11.95                       -3.7080798501177e-15        2.7905029278292e-15
12                          -3.8684333514283e-15        2.9794013432266e-15
12.05                       -4.1088551831769e-15        3.0490231116198e-15
12.1                        -4.2565235190695e-15        3.047543319432e-15
12.15                       -4.2619987400405e-15        3.1971868089658e-15
12.2                        -4.3473254510151e-15        3.2295988930761e-15
12.25                       -4.6997995772902e-15        3.0630854369012e-15
12.3                        -5.116946363154e-15         2.9964768759234e-15
12.35                       -5.3121027542014e-15        2.9858215783342e-15
12.4                        -5.6311834535638e-15        2.8541340736497e-15
12.45                       -5.7722923663128e-15        2.5578649594532e-15
12.5                        -5.8846699214909e-15        2.2550585191384e-15
12.55                       -5.7621008658915e-15        2.043444640991e-15
12.6                        -5.7447536311317e-15        1.6286640937812e-15
12.65                       -5.7383026282054e-15        1.2749017989898e-15
12.7                        -5.5260700529414e-15        8.9867031987977e-16
12.75                       -5.1071885436016e-15        7.120181315487e-16
12.8                        -4.7512991804832e-15        4.846699685114e-16
12.85                       -4.4239243345012e-15        4.0546000845702e-16
12.9                        -4.213589113039e-15         2.3022326567046e-16
12.95                       -3.9843074586127e-15        5.0106741005522e-17
13                          -3.854257408023e-15         -3.5780678296001e-16
13.05                       -3.8436322267327e-15        -4.9897866236501e-16
13.1                        -3.3654719636123e-15        -5.6652493721455e-16
13.15                       -2.8845740900063e-15        -5.3099773605638e-16
13.2                        -2.5978026153839e-15        -6.0481474877998e-16
13.25                       -2.2213134109883e-15        -6.4771453664354e-16
13.3                        -1.6414820891431e-15        -6.7049513111211e-16
13.35                       -1.3443293787191e-15        -9.6348729117411e-16
13.4                        -1.1636199816201e-15        -1.2158018572614e-15
13.45                       -1.0674512489206e-15        -1.6182391084309e-15
13.5                        -8.983970251758e-16         -1.9489948617869e-15
13.55                       -7.3164673104753e-16        -2.1951442327006e-15
13.6                        -7.2167207106066e-16        -2.4644711468788e-15
13.65                       -7.1096557460737e-16        -2.5424522338077e-15
13.7                        -4.9686275059579e-16        -2.652796881631e-15
13.75                       -2.755770871915e-16         -2.6877682196653e-15
13.8                        -3.0411870938218e-17        -2.7345669305275e-15
13.85                       4.991124701037e-16          -2.6444363423346e-15
13.9                        9.4557337220608e-16         -2.3110918207031e-15
13.95                       1.5029617090809e-15         -2.0607129841498e-15
14                          2.2022179002254e-15         -1.730468401704e-15
14.05                       2.6356141661493e-15         -1.3528341946436e-15
14.1                        2.8054273314149e-15         -1.0044847158654e-15
14.15                       2.8275586082607e-15         -7.4337052988917e-16
14.2                        2.9449505984866e-15         -5.5206757809345e-16
14.25                       3.0113986391328e-15         -2.5458786284845e-16
14.3                        3.0280682475348e-15         -2.9325653631142e-16
14.35                       2.5412208145073e-15         -2.5566328555554e-16
14.4                        1.9965854056864e-15         -2.8699018463235e-16
14.45                       1.7863857094957e-15         -5.4673459107772e-16
14.5                        1.476222573002e-15          -5.2002389890042e-16
14.55                       1.3680734062965e-15         -4.5878472130429e-16
14.6                        1.0772632785816e-15         -1.7385938830789e-16
14.65                       1.0248963136505e-15         -6.0920400229848e-17
14.7                        9.6881595627873e-16         -5.3662831275162e-17
14.75                       8.5874233071714e-16         1.509903400164e-16
14.8                        8.6944205090686e-16         1.3632563682291e-16
14.85                       8.3713282616679e-16         2.4867914751394e-16
14.9                        9.6993403976911e-16         5.8142832920268e-16
14.95                       9.8139947774314e-16         6.6729174335067e-16
15                          1.0369512865559e-15         3.0173432499499e-16
15.05                       1.3926983481391e-15         4.2361774222267e-17
15.1                        1.451170726554e-15          -1.62147773165e-16
15.15                       1.5048590628827e-15         -3.2233930459739e-16
15.2                        1.6362372611337e-15         -3.8058418328974e-16
15.25                       1.5903822855011e-15         -3.1956817435827e-16
15.3                        1.7204391123543e-15         -3.4174701588445e-16
15.35                       1.6923176185055e-15         -5.48345669805e-16
15.4                        1.6493290023664e-15         -6.4327786798735e-16
15.45                       1.6317378221178e-15         -1.0137971113888e-15
15.5                        1.834381984419e-15          -1.4725464493087e-15
15.55                       1.8750598946779e-15         -1.7153307245085e-15
15.6                        2.1193713017204e-15         -1.8649313487248e-15
15.65                       2.7202564745026e-15         -1.908166732554e-15
15.7                        2.9120281218927e-15         -1.7028227125581e-15
15.75                       2.9511678203194e-15         -1.5924436134601e-15
15.8                        2.9109744129063e-15         -1.4327940787276e-15
15.85                       2.7168852833725e-15         -1.3085340234127e-15
15.9                        2.3713466628696e-15         -1.100925901224e-15
15.95                       1.8955750326604e-15         -1.0504693676178e-15
16                          1.8219306000943e-15         -1.1771416669355e-15
16.05                       1.4841236963339e-15         -9.3892288830262e-16
16.1                        1.515646874499e-15          -8.1588709726974e-16
16.15                       1.5077525274305e-15         -7.0547669836335e-16
16.2                        1.692968139809e-15          -6.4215609010661e-16
16.25                       1.890458953659e-15          -5.5333232093048e-16
16.3                        2.0564824935185e-15         -3.365539632803e-16
16.35                       2.4507238144227e-15         -4.8386471136338e-16
16.4                        2.7195398846292e-15         -5.7656223830225e-16
16.45                       2.8807980171274e-15         -7.8966698608637e-16
16.5                        2.8687277976291e-15         -6.9952847234494e-16
16.55                       3.2290640837205e-15         -8.6505919082013e-16
16.6                        3.2841347778192e-15         -1.0849899110208e-15
16.65                       3.2672398586533e-15         -1.1188557516301e-15
16.7                        3.2152286475601e-15         -1.0799634933727e-15
16.75                       3.2781547252116e-15         -1.1341678050581e-15
16.8                        3.3255030199302e-15         -1.0354991386461e-15
16.85                       3.170875461343e-15          -6.6489909869234e-16
16.9                        2.9706190849202e-15         -5.5076235539365e-16
16.95                       2.6388100214593e-15         -4.3965011234702e-16
17                          2.7128843232461e-15         -4.4591676649171e-16
17.05                       2.5228118239482e-15         -5.7484499693797e-16
17.1                        2.0972971995984e-15         -8.7507813230813e-16
17.15                       1.7129644701113e-15         -1.1366595701992e-15
17.2                        1.5913789256427e-15         -1.611624176584e-15
17.25                       1.4287474880391e-15         -1.8205712521641e-15
17.3                        1.2265805229246e-15         -2.1006414646717e-15
17.35                       1.2740545490963e-15         -2.3719469686351e-15
17.4                        1.3936247904252e-15         -2.3563740690297e-15
17.45                       1.2524500208645e-15         -2.1602926724907e-15
17.5                        1.2888766727612e-15         -2.149790592916e-15
17.55                       1.0123581084488e-15         -1.9115810146649e-15
17.6                        1.9613894926621e-16         -1.5950300793142e-15
17.65                       -4.5381738324928e-16        -1.4661440525767e-15
17.7                        -7.835461337917e-16         -1.3003079822734e-15
17.75                       -9.6041847163966e-16        -1.2117198979917e-15
17.8                        -1.1101535679235e-15        -6.5139612721891e-16
17.85                       -1.1012199114288e-15        -2.2291818852798e-16
17.9                        -1.0750559107211e-15        4.8639199959452e-17
17.95                       -9.8748117430443e-16        3.939210713926e-16
18                          -7.497325785373e-16         6.9080904639708e-16
18.05                       -4.5080279299e-16           7.0247583497504e-16
18.1                        -4.9438602625802e-16        3.5127971948039e-16
18.15                       -4.7787904818193e-16        -3.3793742364136e-17
18.2                        -6.0057007652582e-16        -5.3045952742025e-16
18.25                       -9.664205471039e-16         -9.8202382853232e-16
18.3                        -1.263908682575e-15         -1.4696392255173e-15
18.35                       -1.6016376593042e-15        -1.6229418084191e-15
18.4                        -1.896384796158e-15         -1.9028301250565e-15
18.45                       -1.8620257516856e-15        -2.1198928054364e-15
18.5                        -1.9108182375792e-15        -2.2915685308981e-15
