x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             0.052289577551907           2.4962021426186e-13
7.260978922993              -1.2098352356205            -5.775636789703e-12
7.4003918486039             -0.81514743777766           -3.891092491461e-12
7.532837099151              -0.72149203082536           -3.4439014967028e-12
7.6586629098899             -0.61669120112213           -2.9425842896982e-12
7.7782001117354             -0.53402234484975           -2.5480826481695e-12
7.891763001107              -0.4658285151786            -2.2218974821531e-12
7.9996501663019             -0.40937355423797           -1.9528778553933e-12
8.1021452725658             -0.36233653915241           -1.7288352584152e-12
8.1995178079279             -0.32291927685947           -1.5411196628082e-12
8.2920237917592             -0.28971025035718           -1.3826282677865e-12
8.3799064479186             -0.26159072944775           -1.248588690228e-12
8.4633968442558             -0.23765448125583           -1.135001880375e-12
8.5427145001525             -0.21710091857226           -1.0373073107967e-12
8.6180679636999             -0.19897305204134           -9.50625034234e-13
8.6896553600291             -0.18351232337103           -8.7623851885124e-13
8.7576649122373             -0.17030364371657           -8.1265358117518e-13
8.8222754362784             -0.15888757623289           -7.5771327791273e-13
8.8836568111193             -0.14894824686933           -7.1018352635788e-13
8.9419704253995             -0.14024152354112           -6.689609038826e-13
8.9973696017656             -0.13257214315056           -6.3255064135235e-13
9.05                        -0.12578171214823           -6.0027782682488e-13
9.1                         -0.11974068142723           -5.7148652254514e-13
9.15                        -0.11406465787592           -5.4433185609531e-13
9.2                         -0.10872711517152           -5.1869866457876e-13
9.25                        -0.10370344473386           -4.9455241139808e-13
9.3                         -0.098971617734248          -4.7192200082758e-13
9.35                        -0.094512746006808          -4.5058375156228e-13
9.4                         -0.090311708017626          -4.3048492005226e-13
9.45                        -0.086357953842852          -4.1158558843256e-13
9.5                         -0.082646590082404          -3.9389362432477e-13
9.55                        -0.079179853904792          -3.7738830384683e-13
9.6                         -0.075969108153805          -3.6216948544485e-13
9.65                        -0.072975181519794          -3.4801810144449e-13
9.7                         -0.070142008469863          -3.3468298656681e-13
9.75                        -0.067447986190228          -3.2196895516856e-13
9.8                         -0.064877308246143          -3.0984862770568e-13
9.85                        -0.06241815063468           -2.9810928033267e-13
9.9                         -0.060061437208767          -2.8677915681861e-13
9.95                        -0.057799998950287          -2.7597319004598e-13
10                          -0.055628000997927          -2.6563607837423e-13
10.05                       -0.053540551725649          -2.5579822293537e-13
10.1                        -0.051533435618941          -2.4634141610428e-13
10.15                       -0.049602930353508          -2.3722282383492e-13
10.2                        -0.047745681161856          -2.283764654164e-13
10.25                       -0.045958614191948          -2.198664648684e-13
10.3                        -0.044238876420105          -2.1166701522339e-13
10.35                       -0.042583793661905          -2.0368344458378e-13
10.4                        -0.040990840931139          -1.9600104746403e-13
10.45                       -0.039457621236452          -1.8849596230005e-13
10.5                        -0.037981850155671          -1.8130059211082e-13
10.55                       -0.03656134437788           -1.7436672205702e-13
10.6                        -0.03519401298114           -1.6790752190317e-13
10.65                       -0.033877850606617          -1.6180234401275e-13
10.7                        -0.032610931957053          -1.5588383793263e-13
10.75                       -0.031391407229158          -1.5003522557153e-13
10.8                        -0.030217498213071          -1.4436719719757e-13
10.85                       -0.029087494876136          -1.388459638127e-13
10.9                        -0.02799975230544           -1.3369676167115e-13
10.95                       -0.026952687922531          -1.2874320575839e-13
11                          -0.025944778910293          -1.2392886134405e-13
11.05                       -0.024974559810054          -1.1916513688605e-13
11.1                        -0.024040620259381          -1.1453672954992e-13
11.15                       -0.023141602849444          -1.1018548553973e-13
11.2                        -0.02227620108667           -1.0607472077226e-13
11.25                       -0.021443157447353          -1.021360999843e-13
11.3                        -0.020641261516665          -9.8297621944014e-14
11.35                       -0.019869348205411          -9.4668829265073e-14
11.4                        -0.019126296039194          -9.1238179939979e-14
11.45                       -0.01841102551564           -8.7989320584222e-14
11.5                        -0.01772249752595           -8.4703820101087e-14
11.55                       -0.01705971183758           -8.1481494562686e-14
11.6                        -0.016421705635181          -7.8390787333536e-14
11.65                       -0.015807552117237          -7.5570142986823e-14
