x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             0.00098654394980376         -2.5307830843252e-05
7.260978922993              -0.022825722557705          0.00058554869803843
7.4003918486039             -0.015379084679497          0.00039451995389569
7.532837099151              -0.013611986563486          0.00034918855207388
7.6586629098899             -0.011634604583505          0.00029846273426131
7.7782001117354             -0.010074778218238          0.00025844847863196
7.891763001107              -0.0087880439914601         0.00022543986086283
7.9996501663019             -0.0077227785296584         0.00019811258556421
8.1021452725658             -0.0068351928404646         0.00017534333287607
8.1995178079279             -0.0060913603820622         0.00015626178457128
8.2920237917592             -0.0054646501346043         0.00014018477458753
8.3799064479186             -0.0049339551722815         0.00012657084655275
8.4633968442558             -0.0044821777568274         0.00011498139185956
8.5427145001525             -0.0040942130005422         0.00010502892453445
8.6180679636999             -0.0037520033635077         9.6250214159971e-05
8.6896553600291             -0.0034601134564914         8.876235678356e-05
8.7576649122373             -0.0032107129730738         8.236448140472e-05
8.8222754362784             -0.0029951334094408         7.6834214729033e-05
8.8836568111193             -0.0028074160051869         7.2018696561657e-05
8.9419704253995             -0.0026429556948958         6.7799793071218e-05
8.9973696017656             -0.0024980693739998         6.408302150573e-05
9.05                        -0.0023697694586508         6.0791741319491e-05
9.1                         -0.0022556124622139         5.7863269703027e-05
9.15                        -0.0021483371014734         5.5111332818871e-05
9.2                         -0.002047443185541          5.2523099260627e-05
9.25                        -0.0019524667089512         5.0086665887206e-05
9.3                         -0.0018629923152371         4.7791377551174e-05
9.35                        -0.0017786638409402         4.5628097584528e-05
9.4                         -0.001699196070932          4.3589509358131e-05
9.45                        -0.0016243898498093         4.1670503934596e-05
9.5                         -0.0015541524468547         3.9868702491056e-05
9.55                        -0.0014885252260494         3.8185166138513e-05
9.6                         -0.0014277210989391         3.6625356700928e-05
9.65                        -0.0013709967971165         3.5170207099592e-05
9.7                         -0.0013172918927823         3.3792514159873e-05
9.75                        -0.0012662000633242         3.2481854480007e-05
9.8                         -0.0012174238076786         3.1230596259528e-05
9.85                        -0.0011707403907048         3.0033025669575e-05
9.9                         -0.0011259786644663         2.8884752248863e-05
9.95                        -0.0010830032834979         2.7782303977566e-05
10                          -0.00104170394681           2.6722851302317e-05
10.05                       -0.0010019880576528         2.5704018836874e-05
10.1                        -0.00096377570742008        2.4723756684275e-05
10.15                       -0.00092699624034462        2.3780252310739e-05
10.2                        -0.00089158589369606        2.2871870009739e-05
10.25                       -0.00085748617000224        2.1997109144507e-05
10.3                        -0.00082464270778648        2.1154575179035e-05
10.35                       -0.00079300449206438        2.0342959424956e-05
10.4                        -0.00076252329664982        1.9561024734978e-05
10.45                       -0.00073315328485588        1.880759525973e-05
10.5                        -0.00070485071864994        1.808154898658e-05
10.55                       -0.00067757374228171        1.7381812189177e-05
10.6                        -0.00065128221724992        1.6707355193779e-05
10.65                       -0.00062593759285055        1.6057189058443e-05
10.7                        -0.00060150280156397        1.5430362889369e-05
10.75                       -0.00057794217194888        1.4825961606414e-05
10.8                        -0.0005552213540314         1.4243104029042e-05
10.85                       -0.00053330725375539        1.3680941194747e-05
10.9                        -0.00051216797413497        1.3138654849601e-05
10.95                       -0.00049177276148142        1.2615456068618e-05
11                          -0.00047209195557508        1.2110583977603e-05
11.05                       -0.00045309694299281        1.1623304555883e-05
11.1                        -0.00043476011303401        1.1152909505595e-05
11.15                       -0.00041705481584612        1.0698715177557e-05
11.2                        -0.00039995532246057        1.0260061546054e-05
11.25                       -0.00038343678652313        9.8363112270917e-06
11.3                        -0.00036747520755637        9.4268485359843e-06
11.35                       -0.00035204739562581        9.0310785808682e-06
11.4                        -0.00033713093730735        8.6484263897518e-06
11.45                       -0.00032270416287099        8.278336068628e-06
11.5                        -0.00030874611460838        7.9202699890294e-06
11.55                       -0.00029523651624079        7.5737080031767e-06
11.6                        -0.0002821557433508         7.2381466855435e-06
11.65                       -0.00026948479478602        6.9130985991808e-06
11.7                        -0.00025720526498717        6.5980915858936e-06
11.75                       -0.00024529931719563        6.2926680789951e-06
11.8                        -0.00023374965749867        5.996384437403e-06
11.85                       -0.00022253950967154        5.7088103003031e-06
11.9                        -0.00021165259077859        5.4295279612334e-06
11.95                       -0.00020107308749659        5.1581317607234e-06
12                          -0.00019078563312428        4.894227496473e-06
12.05                       -0.00018077528524441        4.6374318503678e-06
12.1                        -0.00017102750400511        4.3873718313372e-06
12.15                       -0.00016152813098839        4.143684233193e-06
12.2                        -0.0001522633686347         3.9060151068864e-06
12.25                       -0.0001432197601932         3.6740192461043e-06
12.3                        -0.00013438417016862        3.4473596857272e-06
12.35                       -0.00012574376523595        3.2257072122354e-06
12.4                        -0.0001172859955947         3.0087398853663e-06
12.45                       -0.00010899857673622        2.79614257039e-06
12.5                        -0.00010086947159658        2.5876064802694e-06
12.55                       -9.2886873069909e-05        2.3828287270712e-06
12.6                        -8.5039186855646e-05        2.1815118819824e-06
12.65                       -7.7315014615818e-05        1.9833635432379e-06
12.7                        -6.9703137416919e-05        1.7880959112978e-06
12.75                       -6.2192499432502e-05        1.5954253708605e-06
12.8                        -5.4772191883008e-05        1.4050720788095e-06
12.85                       -4.7431437189358e-05        1.2167595576697e-06
12.9                        -4.0159573316948e-05        1.0302142940715e-06
12.95                       -3.2946038287297e-05        8.4516534139132e-07
13                          -2.5780354835546e-05        6.6134392616951e-07
13.05                       -1.8652115190106e-05        4.784830576177e-07
13.1                        -1.1550965953717e-05        2.9631713984231e-07
13.15                       -4.4665930626412e-06        1.1458158597611e-07
13.2                        2.6112931969465e-06         -6.6987566240834e-08
13.25                       9.6929731379236e-06         -2.4865403787391e-07
13.3                        1.6788732607996e-05         -4.3068169196988e-07
13.35                       2.3908877934155e-05         -6.1333491693755e-07
13.4                        3.1063750897719e-05         -7.9687901066671e-07
13.45                       3.8263743761994e-05         -9.8158056608226e-07
13.5                        4.5519314374316e-05         -1.1677078585368e-06
13.55                       5.2841001365129e-05         -1.3555312357331e-06
13.6                        6.0239439465992e-05         -1.5453235106574e-06
13.65                       6.7725374969769e-05         -1.7373603581663e-06
13.7                        7.5309681355647e-05         -1.9319207158325e-06
13.75                       8.3003375102701e-05         -2.1292871895929e-06
13.8                        9.0817631715851e-05         -2.3297464649085e-06
13.85                       9.8763801988975e-05         -2.5335897238937e-06
13.9                        0.0001068534285309          -2.7411130692902e-06
13.95                       0.00011509826258085         -2.9526179559079e-06
14                          0.00012351028114136         -3.1684116300163e-06
14.05                       0.00013210170445909         -3.3888075778294e-06
14.1                        0.00014088501388667         -3.6141259837231e-06
14.15                       0.00014987297016138         -3.8446941991391e-06
14.2                        0.0001590786321437          -4.0808472232885e-06
14.25                       0.00016851537606476         -4.3229281968949e-06
14.3                        0.00017819691534268         -4.5712889105138e-06
14.35                       0.000188137321044           -4.8262903294869e-06
14.4                        0.00019835104308752         -5.0883031378487e-06
14.45                       0.00020885293232143         -5.3577083046759e-06
14.5                        0.00021965826365086         -5.6348976774387e-06
14.55                       0.00023078276046297         -5.9202746084815e-06
14.6                        0.00024224262069585         -6.214254623841e-06
14.65                       0.00025405454504751         -6.5172661468673e-06
14.7                        0.00026623576803651         -6.8297512949719e-06
14.75                       0.00027880409294437         -7.1521667760719e-06
14.8                        0.00029177793213754         -7.4849849229523e-06
14.85                       0.00030517635495405         -7.8286949217158e-06
14.9                        0.00031901914634769         -8.1838043161607e-06
14.95                       0.00033332688096951         -8.5508409082061e-06
15                          0.00034812101954687         -8.930355230304e-06
15.05                       0.00036342403763166         -9.3229238482092e-06
15.1                        0.00037925960151049         -9.729153873633e-06
15.15                       0.00039565281301522         -1.0149689244334e-05
15.2                        0.00041263055518882         -1.0585219591556e-05
15.25                       0.00043022198579348         -1.1036492899929e-05
15.3                        0.00044845924776032         -1.1504333732685e-05
15.35                       0.00046737849821532         -1.1989669629285e-05
15.4                        0.0004870214055801          -1.2493569510538e-05
15.45                       0.00050743733467332         -1.3017299733093e-05
15.5                        0.00052868654335283         -1.356240609297e-05
15.55                       0.00055084486669263         -1.4130833988767e-05
15.6                        0.00057401058899603         -1.4725104709607e-05
15.65                       0.0005983145339814          -1.5348574278894e-05
15.7                        0.00062393488906918         -1.6005813741935e-05
15.75                       0.00065134739329066         -1.6709027241274e-05
15.8                        0.0006808898630721          -1.7466880788187e-05
15.85                       0.0007124705976894          -1.8277021982256e-05
15.9                        0.00074607307344459         -1.9139026940706e-05
15.95                       0.00078173975243118         -2.0053984944464e-05
16                          0.00081956022575112         -2.1024194275814e-05
16.05                       0.00085966267737226         -2.2052943240539e-05
16.1                        0.00090220790121821         -2.3144356688251e-05
16.15                       0.0009473852945548          -2.4303293230668e-05
16.2                        0.00099541040041233         -2.5535282197311e-05
16.25                       0.0010465236944538          -2.6846492514977e-05
16.3                        0.0011009904232527          -2.824372855912e-05
16.35                       0.0011591014267195          -2.9734451251595e-05
16.4                        0.0012211750703315          -3.1326827628125e-05
16.45                       0.0012875608026241          -3.3029822098719e-05
16.5                        0.0013586457879504          -3.4853366597983e-05
16.55                       0.001434868539693           -3.6808710318179e-05
16.6                        0.0015167505274343          -3.8909230528601e-05
16.65                       0.0016049782191112          -4.1172537204422e-05
16.7                        0.0017006385266493          -4.3626512918239e-05
16.75                       0.0018024987390671          -4.6239534911503e-05
16.8                        0.0019093246459904          -4.8979941961683e-05
16.85                       0.0020226132019412          -5.1886135472031e-05
16.9                        0.0021432297408308          -5.4980313870031e-05
16.95                       0.0022718038020646          -5.8278626742152e-05
17                          0.0024088891872721          -6.1795280772278e-05
17.05                       0.0025550294627908          -6.5544220078149e-05
17.1                        0.0027107857385341          -6.9539838823233e-05
17.15                       0.0028767498218349          -7.3797318652435e-05
17.2                        0.003053552697716           -7.8332846236699e-05
17.25                       0.0032418740057446          -8.3163856382951e-05
17.3                        0.0034424589517726          -8.8309465871316e-05
17.35                       0.0036561555949724          -9.3791429980032e-05
17.4                        0.0038840034822316          -9.9636416225481e-05
17.45                       0.0041274502357683          -0.00010588156048835
17.5                        0.0043888866117452          -0.00011258819288256
17.55                       0.004663725680163           -0.00011963864480439
17.6                        0.0049476343469435          -0.00012692175930792
17.65                       0.0052431991476353          -0.00013450388883946
17.7                        0.0055513051301007          -0.0001424077375489
17.75                       0.0058721963591868          -0.00015063956643642
17.8                        0.0062058299406799          -0.00015919827513594
17.85                       0.0065520004399101          -0.0001680785936279
17.9                        0.0069103857768324          -0.0001772722595867
17.95                       0.0072805667045506          -0.00018676851806362
18                          0.007662039898927           -0.00019655445727484
18.05                       0.008054233901953           -0.00020661541759713
18.1                        0.0084565336873305          -0.00021693562174897
18.15                       0.0088683189032102          -0.00022749915583237
18.2                        0.0092890213590943          -0.00023829144404553
18.25                       0.0097182085586044          -0.00024930139155054
18.3                        0.010155701919923           -0.00026052441718457
18.35                       0.010601740822037           -0.00027196666174143
18.4                        0.011057206914884           -0.000283650742204
18.45                       0.011523927462253           -0.00029562353340539
18.5                        0.012005082161122           -0.00030796660417357
18.55                       0.012509664123242           -0.0003209106549777
18.6                        0.013043245084765           -0.00033459861767266
18.65                       0.013603107405651           -0.00034896077658618
18.7                        0.014187694088726           -0.00036395719003966
18.75                       0.014796246424365           -0.0003795683948405
18.8                        0.015428558235721           -0.00039578910193006
18.85                       0.016084809375197           -0.0004126239250655
18.9                        0.016765453091295           -0.00043008449143942
18.95                       0.01747114001924            -0.00044818749180978
19                          0.018202667077429           -0.00046695336953957
19.05                       0.018960943309786           -0.00048640544435011
19.1                        0.019746967269089           -0.00050656933213508
19.15                       0.020561812274177           -0.00052747256676334
19.2                        0.021406617057216           -0.00054914436015308
19.25                       0.022282580124513           -0.00057161545760973
19.3                        0.023190956707797           -0.00059491805961698
19.35                       0.024133057565931           -0.0006190857910973
19.4                        0.02511024916765            -0.00064415370609946
19.45                       0.026123954984872           -0.000670158320976
19.5                        0.027175657783632           -0.00069713767315264
19.55                       0.028266902939329           -0.00072513140617429
19.6                        0.029399302945981           -0.00075418088538109
19.65                       0.030574543457036           -0.00078432935287345
19.7                        0.031794391413327           -0.00081562213601865
19.75                       0.033060706114923           -0.00084810693147715
19.8                        0.034375454523234           -0.00088183419774791
19.85                       0.035740732702733           -0.00091685770521333
19.9                        0.03715879622198            -0.00095323531601713
19.95                       0.03863210366867            -0.00099103010035693
20                          0.040163379394744           -0.0010303119460856
20.05                       0.041755704491196           -0.0010711598924898
20.1                        0.043412649233469           -0.0011136655279143
20.15                       0.045138466477532           -0.0011579379509553
20.2                        0.04693837466593            -0.00120411103042
20.25                       0.048818972608162           -0.0012523540456957
20.3                        0.050788848069962           -0.0013028872989025
20.35                       0.052859471441623           -0.0013560050401836
20.4                        0.055046508770997           -0.0014121091509667
20.45                       0.057390845490091           -0.0014722484660275
20.5                        0.059921138768033           -0.0015371581282783
20.55                       0.062629179724599           -0.0016066275551563
20.6                        0.065513373582201           -0.0016806158358013
20.65                       0.068577295651085           -0.0017592146877162
20.7                        0.07182862449758            -0.0018426210893108
20.75                       0.075278356762532           -0.0019311171376249
20.8                        0.078940224533696           -0.0020250551021706
20.85                       0.082830242113399           -0.0021248457981541
20.9                        0.086966299488904           -0.0022309481577637
20.95                       0.091367681793049           -0.0023438569028839
21.002630398234             0.096314351575779           -0.0024707539182072
21.058029574601             0.1019005187272             -0.0026140559718609
21.116343188881             0.10824137108688            -0.0027767179797146
21.177724563722             0.11547891265507            -0.0029623827731253
21.242335087763             0.12379069410858            -0.0031756050630285
21.310344639971             0.13340645853308            -0.0034222784532316
21.3819320363               0.14466042456957            -0.0037109766609763
21.457285499847             0.15785449372507            -0.0040494443714442
21.536603155744             0.17281267507945            -0.0044331668861673
21.620093552081             0.19023118640519            -0.0048800042930883
21.707976208241             0.21069240444228            -0.0054048963139484
21.800482192072             0.23485554131111            -0.0060247537299831
21.897854727434             0.26353438542514            -0.0067604526710559
22.000349833698             0.29775570949236            -0.0076383329572435
22.108236998893             0.33882756883287            -0.008691950156896
22.221799888265             0.38843827063444            -0.009964614446857
22.34133709011              0.44857818069043            -0.011507384719204
22.467162900849             0.52481716283986            -0.013463144798402
22.599608151396             0.59294854215099            -0.015210920385651
