kp8_i     kp8_j     f(kp8_i,kp8_j)
1         1         0
1         2         6.39536e-15
1         3         2.68549e-26
1         4         4.84323e-26
1         5         0.221002
1         6         0.0509357
1         7         1.22141e-29
1         8         2.28361e-30
1         9         9.91442e-30
1         10        1.11497e-29
1         11        2.45165e-32
1         12        4.67405e-31
1         13        9.51271e-32
1         14        3.0864e-32
2         1         -6.39522e-15
2         2         0
2         3         1.15717e-25
2         4         5.70074e-26
2         5         0.0509357
2         6         0.221002
2         7         2.77501e-30
2         8         2.10186e-30
2         9         3.58623e-30
2         10        3.52765e-30
2         11        2.30003e-32
2         12        1.75336e-31
2         13        1.78161e-31
2         14        3.08357e-32
3         1         -2.68532e-26
3         2         -1.15716e-25
3         3         0
3         4         7.92965e-16
3         5         3.14713e-26
3         6         1.64115e-26
3         7         0.000145829
3         8         1.33977e-05
3         9         3.57882e-07
3         10        3.67876e-06
3         11        7.70265e-07
3         12        2.74172e-07
3         13        1.16725e-08
3         14        1.09295e-07
4         1         -4.84335e-26
4         2         -5.70055e-26
4         3         -7.92958e-16
4         4         0
4         5         5.64132e-27
4         6         8.26812e-27
4         7         1.33977e-05
4         8         0.000145829
4         9         3.67876e-06
4         10        3.57882e-07
4         11        2.74172e-07
4         12        7.70265e-07
4         13        1.09295e-07
4         14        1.16725e-08
5         1         -0.221002
5         2         -0.0509357
5         3         -3.14712e-26
5         4         -5.64127e-27
5         5         0
5         6         0
5         7         2.49966e-30
5         8         4.60771e-31
5         9         7.72872e-31
5         10        1.39012e-30
5         11        4.815e-33
5         12        1.90979e-31
5         13        1.65205e-31
5         14        6.63267e-32
6         1         -0.0509357
6         2         -0.221002
6         3         -1.64114e-26
6         4         -8.26804e-27
6         5         0
6         6         0
6         7         8.08842e-30
6         8         4.71946e-29
6         9         1.01357e-30
6         10        1.63331e-30
6         11        1.1452e-31
6         12        3.89661e-32
6         13        1.2228e-32
6         14        1.40354e-32
7         1         -1.22141e-29
7         2         -2.77501e-30
7         3         -0.000145829
7         4         -1.33977e-05
7         5         -2.49972e-30
7         6         -8.08842e-30
7         7         0
7         8         0
7         9         4.78127e-10
7         10        3.22081e-08
7         11        0.000419118
7         12        2.5901e-05
7         13        4.39823e-06
7         14        0.000247744
8         1         -2.2836e-30
8         2         -2.10187e-30
8         3         -1.33977e-05
8         4         -0.000145829
8         5         -4.60774e-31
8         6         -4.71942e-29
8         7         0
8         8         0
8         9         3.22081e-08
8         10        4.78127e-10
8         11        2.5901e-05
8         12        0.000419118
8         13        0.000247744
8         14        4.39823e-06
9         1         -9.91442e-30
9         2         -3.58636e-30
9         3         -3.57882e-07
9         4         -3.67876e-06
9         5         -7.72872e-31
9         6         -1.01357e-30
9         7         -4.78127e-10
9         8         -3.22081e-08
9         9         0
9         10        0
9         11        9.40413e-07
9         12        1.10017e-05
9         13        0.00125722
9         14        3.02124e-07
10        1         -1.11497e-29
10        2         -3.5277e-30
10        3         -3.67876e-06
10        4         -3.57882e-07
10        5         -1.39012e-30
10        6         -1.63331e-30
10        7         -3.22081e-08
10        8         -4.78127e-10
10        9         0
10        10        0
10        11        1.10017e-05
10        12        9.40413e-07
10        13        3.02124e-07
10        14        0.00125722
11        1         -2.45175e-32
11        2         -2.30009e-32
11        3         -7.70265e-07
11        4         -2.74172e-07
11        5         -4.8147e-33
11        6         -1.1452e-31
11        7         -0.000419118
11        8         -2.5901e-05
11        9         -9.40413e-07
11        10        -1.10017e-05
11        11        0
11        12        0
11        13        0.00250591
11        14        0.0301582
12        1         -4.67407e-31
12        2         -1.75337e-31
12        3         -2.74172e-07
12        4         -7.70265e-07
12        5         -1.90976e-31
12        6         -3.89605e-32
12        7         -2.5901e-05
12        8         -0.000419118
12        9         -1.10017e-05
12        10        -9.40413e-07
12        11        0
12        12        0
12        13        0.0301582
12        14        0.00250591
13        1         -9.51323e-32
13        2         -1.78157e-31
13        3         -1.16725e-08
13        4         -1.09295e-07
13        5         -1.65205e-31
13        6         -1.22255e-32
13        7         -4.39823e-06
13        8         -0.000247744
13        9         -0.00125722
13        10        -3.02124e-07
13        11        -0.00250591
13        12        -0.0301582
13        13        0
13        14        1.78241e-16
14        1         -3.08568e-32
14        2         -3.08372e-32
14        3         -1.09295e-07
14        4         -1.16725e-08
14        5         -6.63281e-32
14        6         -1.40352e-32
14        7         -0.000247744
14        8         -4.39823e-06
14        9         -3.02124e-07
14        10        -0.00125722
14        11        -0.0301582
14        12        -0.00250591
14        13        -1.78239e-16
14        14        0
