x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             -9.3715267256637e-16        -4.9868813349595e-17
7.260978922993              2.6716288641577e-14         1.0941972437978e-15
7.4003918486039             1.9303339793427e-14         7.1428778246054e-16
7.532837099151              1.8374268856818e-14         -5.4885444635982e-16
7.6586629098899             1.7320252715845e-14         -1.1042036139289e-15
7.7782001117354             1.7573750827145e-14         -1.1543368719381e-15
7.891763001107              1.7357322561946e-14         -7.7648726981188e-16
7.9996501663019             1.8348251364457e-14         -3.9629958654693e-16
8.1021452725658             1.9029710794083e-14         -4.0008700813538e-16
8.1995178079279             2.0302543294505e-14         -6.7887180409779e-16
8.2920237917592             2.016967425162e-14          -9.7186434093053e-16
8.3799064479186             2.0112014810318e-14         -9.6151689775093e-16
8.4633968442558             1.9922967618074e-14         -1.2651881671915e-15
8.5427145001525             1.9964131150175e-14         -1.9179312190561e-15
8.6180679636999             2.038116655476e-14          -2.468210141278e-15
8.6896553600291             2.2134585317298e-14         -3.0972662559901e-15
8.7576649122373             2.3596759077355e-14         -2.9417652879524e-15
8.8222754362784             2.4619980524223e-14         -3.0753573719685e-15
8.8836568111193             2.5835671869271e-14         -3.260685409491e-15
8.9419704253995             2.6794710958416e-14         -3.2022928910215e-15
8.9973696017656             2.7171021752991e-14         -3.0860186800721e-15
9.05                        2.7439563138892e-14         -2.7659185827392e-15
9.1                         2.7746697599332e-14         -2.6342752934771e-15
9.15                        2.7859202821084e-14         -2.9751354666868e-15
9.2                         2.783640281823e-14          -3.3545986637518e-15
9.25                        2.8027182376724e-14         -3.7180788000283e-15
9.3                         2.8329584061916e-14         -4.2754643912218e-15
9.35                        2.8536425047531e-14         -4.7096341298265e-15
9.4                         2.8548328583402e-14         -4.8833153542724e-15
9.45                        2.8439015516251e-14         -4.7738496305532e-15
9.5                         2.8323960852647e-14         -4.5560371006399e-15
9.55                        2.8253184950988e-14         -4.5680993486616e-15
9.6                         2.8001796686898e-14         -4.6441796123511e-15
9.65                        2.8063217100184e-14         -4.5566190351772e-15
9.7                         2.8274791678561e-14         -4.3690073799703e-15
9.75                        2.8640579617032e-14         -4.1573787167962e-15
9.8                         2.8824251836307e-14         -4.170967742146e-15
9.85                        2.8947631287467e-14         -4.4296666567907e-15
9.9                         2.8757843762669e-14         -4.7304798226889e-15
9.95                        2.863859171923e-14          -4.7480848908674e-15
10                          2.8267337416928e-14         -4.3227677618372e-15
10.05                       2.7699182975485e-14         -3.7294990455377e-15
10.1                        2.7110725076577e-14         -3.2352385985947e-15
10.15                       2.6692734883071e-14         -2.9274888043312e-15
10.2                        2.6449637921499e-14         -2.5386571177119e-15
10.25                       2.6211665853085e-14         -2.0486420591533e-15
10.3                        2.5897042662556e-14         -1.6403780084337e-15
10.35                       2.5582021380556e-14         -1.4889833069988e-15
10.4                        2.5309704414317e-14         -1.7754633275022e-15
10.45                       2.5150721556377e-14         -2.279510495853e-15
10.5                        2.5036751296864e-14         -2.7012395271828e-15
10.55                       2.5158470260948e-14         -2.8904043745158e-15
10.6                        2.5032237555233e-14         -3.0770938527238e-15
10.65                       2.4635951349143e-14         -3.1971039812272e-15
10.7                        2.4111607115821e-14         -3.5451400612502e-15
10.75                       2.3472471190212e-14         -4.1815216725795e-15
10.8                        2.2834776006572e-14         -4.8361744676467e-15
10.85                       2.2374107504415e-14         -5.4829004452135e-15
10.9                        2.1965760888157e-14         -5.8701345562943e-15
10.95                       2.176812107048e-14          -6.0443546988336e-15
11                          2.1694053068323e-14         -6.3329728181895e-15
11.05                       2.1310460038146e-14         -6.6856587163495e-15
11.1                        2.0859384639401e-14         -7.0961066854486e-15
11.15                       2.0295987597345e-14         -7.419890332622e-15
11.2                        2.0039970982854e-14         -7.5799478752646e-15
11.25                       2.009086225655e-14          -7.5074723265518e-15
11.3                        2.0298640891804e-14         -7.3844155717333e-15
11.35                       2.0374542221358e-14         -7.2570875502673e-15
11.4                        1.9919740321819e-14         -7.2935012218475e-15
11.45                       1.9385442023364e-14         -7.3844418296076e-15
11.5                        1.8551127813616e-14         -7.6033521800045e-15
11.55                       1.7661362574008e-14         -7.6258212190488e-15
11.6                        1.671486534296e-14          -7.4559424103771e-15
11.65                       1.587455821565e-14          -6.9550783891318e-15
11.7                        1.5355843706955e-14         -6.4390821517886e-15
11.75                       1.5102023636085e-14         -5.9707375322911e-15
11.8                        1.4772710150064e-14         -5.5255594646497e-15
11.85                       1.4433952361637e-14         -5.1692905417992e-15
11.9                        1.3954052979345e-14         -4.8687797643781e-15
11.95                       1.3197958807384e-14         -4.5383619163862e-15
12                          1.2446437686469e-14         -4.3766721018351e-15
12.05                       1.1691031833122e-14         -4.1092906390406e-15
12.1                        1.1021272708606e-14         -4.0315048302832e-15
12.15                       1.0260299283521e-14         -3.9547335716014e-15
12.2                        9.2666153078415e-15         -3.8522440417077e-15
12.25                       8.2675189900145e-15         -3.7376385732631e-15
12.3                        7.1915573557483e-15         -3.6992412730187e-15
12.35                       6.2385217377028e-15         -3.756581711049e-15
12.4                        5.469193612872e-15          -4.0804727961219e-15
12.45                       4.9418525912291e-15         -4.4022574069705e-15
12.5                        4.4206605275684e-15         -4.7516247052623e-15
12.55                       4.0078637681396e-15         -4.8841203025427e-15
12.6                        3.5575363872934e-15         -5.0720192808144e-15
12.65                       2.7429284615901e-15         -5.1686854762718e-15
12.7                        1.8121545804571e-15         -5.3047791722098e-15
12.75                       9.5334117725241e-16         -5.1957035162757e-15
12.8                        2.4605899607512e-16         -5.0991537437876e-15
12.85                       -2.8123344710491e-16        -4.7479449374368e-15
12.9                        -8.8669822309288e-16        -4.5631283352675e-15
12.95                       -1.5465582725974e-15        -4.5378887879018e-15
13                          -2.2398173599799e-15        -4.7180324966503e-15
13.05                       -2.7793731728318e-15        -4.8214913532484e-15
13.1                        -3.6960785417107e-15        -4.5628081202054e-15
