x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             -1.9007419336386e-17        -2.0086913705572e-18
7.260978922993              -6.6580855412335e-16        -1.3423214530488e-16
7.4003918486039             6.6136332521616e-18         -6.6911030376899e-16
7.532837099151              1.080949565968e-16          -9.3687334697492e-17
7.6586629098899             -2.9024092157437e-16        5.6991686773469e-16
7.7782001117354             -4.1991150140364e-16        4.073800404727e-17
7.891763001107              -1.0137290312739e-16        -5.0233961585692e-16
7.9996501663019             1.2316536679435e-16         -1.2435755821313e-16
8.1021452725658             2.5186016466838e-16         -4.4320277257352e-17
8.1995178079279             5.1239394671665e-16         4.1844138915014e-16
8.2920237917592             7.6414569116778e-16         3.5709965968275e-16
8.3799064479186             6.6331488912663e-16         -8.7788344325464e-17
8.4633968442558             3.0184188481996e-16         3.6704759475418e-16
8.5427145001525             -1.6675029412827e-16        4.400415724092e-16
8.6180679636999             -5.3798111798731e-16        8.0321291038739e-16
8.6896553600291             -2.7256842616286e-16        9.3899197342507e-16
8.7576649122373             -2.6823161747291e-16        1.1088098401621e-15
8.8222754362784             -5.2497069191748e-16        1.4432461096924e-15
8.8836568111193             -5.4405265015323e-16        1.3569185791592e-15
8.9419704253995             -5.9349226921857e-16        1.5075157553406e-15
8.9973696017656             -4.9049306283244e-16        1.5741958195307e-15
9.05                        -3.4130684389844e-16        1.6808362413898e-15
9.1                         -1.1427490897997e-16        1.8090206454595e-15
9.15                        1.869164545365e-16          1.8076826369778e-15
9.2                         5.3472851146985e-16         1.6035433826614e-15
9.25                        7.5200262683595e-16         1.4270793386773e-15
9.3                         6.7112114476853e-16         1.1841569703995e-15
9.35                        8.4762925844917e-16         8.8155263684534e-16
9.4                         8.823237279687e-16          5.2032071052072e-16
9.45                        1.161614207601e-15          3.7269179601056e-16
9.5                         1.2598429244282e-15         2.5525286496732e-16
9.55                        1.3413749277991e-15         8.2830701942575e-17
9.6                         1.158144760649e-15          -3.0175525872493e-16
9.65                        1.1919718684306e-15         -6.5385696778428e-16
9.7                         1.1041514924592e-15         -8.840301050445e-16
9.75                        7.5829099943636e-16         -9.466979826328e-16
9.8                         6.7654215563095e-16         -1.0643629377552e-15
9.85                        7.0126196516362e-16         -1.0570832192786e-15
9.9                         4.562322741819e-16          -8.7973796219141e-16
9.95                        6.4466661175988e-16         -5.8117628483273e-16
10                          7.9970752242531e-16         -5.7409219722982e-16
10.05                       9.2113816574368e-16         -7.1359260809308e-16
10.1                        1.0575307990424e-15         -5.5653693977771e-16
10.15                       1.3253287356463e-15         -5.715386876721e-16
10.2                        1.5372902603672e-15         -6.158553299565e-16
10.25                       1.7512033489986e-15         -8.9273365047061e-16
10.3                        1.7320129705456e-15         -1.0575121889932e-15
10.35                       1.7619369505062e-15         -1.1465471352789e-15
10.4                        1.9228867630117e-15         -1.3061222287688e-15
10.45                       2.0440463557869e-15         -1.0608146921194e-15
10.5                        2.4040014770521e-15         -7.4550045861693e-16
10.55                       2.6911524224349e-15         -5.2348901469077e-16
10.6                        2.807433105434e-15          -2.3179625605764e-16
10.65                       2.968260945195e-15          -1.8336819752532e-16
10.7                        2.9322925381228e-15         -6.8575548153638e-18
10.75                       3.2402466126902e-15         1.6018380368921e-16
10.8                        3.2543547934596e-15         2.1141984194334e-16
10.85                       2.9257466675064e-15         2.9055931952856e-16
10.9                        2.8156188318362e-15         1.8968452754264e-16
10.95                       2.7111559525173e-15         8.9252204083115e-17
11                          2.7385862674811e-15         1.4396164607165e-16
11.05                       2.4474779841688e-15         6.1476114263906e-17
11.1                        2.2990507067555e-15         -1.0213320895409e-16
11.15                       2.0015456306255e-15         -1.6766863565584e-16
11.2                        1.8793560457864e-15         -2.9409315546623e-16
11.25                       1.6881027825599e-15         -4.6906886927184e-16
11.3                        1.4664918585039e-15         -4.0378327931356e-16
11.35                       1.405884957062e-15          -3.6906657859169e-16
