x[nm]                 E_14[eV]              Psi^2_14_lh1[nm^-1/2]
7.1142317671146       3.0911484520155       3.091150448329
7.260978922993        3.0911484520155       3.091867845185
7.4003918486039       3.0911484520155       3.0916280201414
7.532837099151        3.0911484520155       3.0916465354148
7.6586629098899       3.0911484520155       3.0916427965845
7.7782001117354       3.0911484520155       3.0916490611214
7.891763001107        3.0911484520155       3.0916618043259
7.9996501663019       3.0911484520155       3.091680784499
8.1021452725658       3.0911484520155       3.0917055854963
8.1995178079279       3.0911484520155       3.0917358618842
8.2920237917592       3.0911484520155       3.0917713207969
8.3799064479186       3.0911484520155       3.0918116997034
8.4633968442558       3.0911484520155       3.0918567076754
8.5427145001525       3.0911484520155       3.0919057977983
8.6180679636999       3.0911484520155       3.0919572491968
8.6896553600291       3.0911484520155       3.0920140405038
8.7576649122373       3.0911484520155       3.0920701262246
8.8222754362784       3.0911484520155       3.0921215506421
8.8836568111193       3.0911484520155       3.0921670759491
8.9419704253995       3.0911484520155       3.0922061453106
8.9973696017656       3.0911484520155       3.0922384952522
9.05                  3.0911484520155       3.0922640578412
9.1                   3.0911484520155       3.092282925663
9.15                  3.0911484520155       3.0922958172273
9.2                   3.0911484520155       3.0923020810338
9.25                  3.0911484520155       3.0923011462898
9.3                   3.0911484520155       3.0922925734349
9.35                  3.0911484520155       3.0922761170227
9.4                   3.0911484520155       3.0922518010092
9.45                  3.0911484520155       3.0922200058019
9.5                   3.0911484520155       3.0921815657318
9.55                  3.0911484520155       3.0921378755604
9.6                   3.0911484520155       3.0920910065715
9.65                  3.0911484520155       3.0920391529707
9.7                   3.0911484520155       3.0919809212889
9.75                  3.0911484520155       3.0919190536864
9.8                   3.0911484520155       3.0918554914042
9.85                  3.0911484520155       3.0917916242068
9.9                   3.0911484520155       3.0917284650493
9.95                  3.0911484520155       3.0916667699135
10                    3.0911484520155       3.091607118902
10.05                 3.0911484520155       3.0915499705699
10.1                  3.0911484520155       3.0914956980431
10.15                 3.0911484520155       3.0914446128624
10.2                  3.0911484520155       3.0913969806192
10.25                 3.0911484520155       3.0913530311306
10.3                  3.0911484520155       3.0913129650012
10.35                 3.0911484520155       3.0912769578067
10.4                  3.0911484520155       3.0912451627187
10.45                 3.0911484520155       3.091217712121
10.5                  3.0911484520155       3.0911947185757
10.55                 3.0911484520155       3.0911762753829
10.6                  3.0911484520155       3.0911624568924
10.65                 3.0911484520155       3.0911533186724
10.7                  3.0911484520155       3.0911488976071
10.75                 3.0911484520155       3.0911492119686
10.8                  3.0911484520155       3.0911542614955
10.85                 3.0911484520155       3.0911640274969
10.9                  3.0911484520155       3.0911784729978
10.95                 3.0911484520155       3.0911975429326
11                    3.0911484520155       3.0912211643939
11.05                 3.0911484520155       3.0912492469391
11.1                  3.0911484520155       3.0912816829571
11.15                 3.0911484520155       3.0913183480953
11.2                  3.0911484520155       3.0913591017479
11.25                 3.0911484520155       3.0914037876021
11.3                  3.0911484520155       3.0914522342448
11.35                 3.0911484520155       3.0915042558236
11.4                  3.0911484520155       3.0915596527633
11.45                 3.0911484520155       3.0916182125338
11.5                  3.0911484520155       3.0916797104676
11.55                 3.0911484520155       3.0917439106224
11.6                  3.0911484520155       3.0918105666876
11.65                 3.0911484520155       3.0918794229295
11.7                  3.0911484520155       3.0919502151735
11.75                 3.0911484520155       3.0920226718174
11.8                  3.0911484520155       3.0920965148736
11.85                 3.0911484520155       3.0921714610361
11.9                  3.0911484520155       3.0922472227671
11.95                 3.0911484520155       3.0923235094006
12                    3.0911484520155       3.0924000282569
12.05                 3.0911484520155       3.0924764857661
12.1                  3.0911484520155       3.0925525885941
12.15                 3.0911484520155       3.0926280447678
12.2                  3.0911484520155       3.0927025647956
12.25                 3.0911484520155       3.0927758627776
12.3                  3.0911484520155       3.0928476575026
12.35                 3.0911484520155       3.0929176735272
12.4                  3.0911484520155       3.0929856422321
12.45                 3.0911484520155       3.0930513028529
12.5                  3.0911484520155       3.0931144034804
12.55                 3.0911484520155       3.0931747020271
12.6                  3.0911484520155       3.0932319671558
12.65                 3.0911484520155       3.0932859791676
12.7                  3.0911484520155       3.0933365308443
12.75                 3.0911484520155       3.0933834282434
12.8                  3.0911484520155       3.0934264914427
12.85                 3.0911484520155       3.0934655552299
12.9                  3.0911484520155       3.0935004697372
12.95                 3.0911484520155       3.0935311010155
13                    3.0911484520155       3.0935573315493
13.05                 3.0911484520155       3.0935790607069
13.1                  3.0911484520155       3.0935962051266
13.15                 3.0911484520155       3.0936086990373
13.2                  3.0911484520155       3.0936164945102
13.25                 3.0911484520155       3.0936195616431
13.3                  3.0911484520155       3.0936178886756
13.35                 3.0911484520155       3.0936114820341
13.4                  3.0911484520155       3.0936003663075
13.45                 3.0911484520155       3.0935845841535
13.5                  3.0911484520155       3.0935641961349
13.55                 3.0911484520155       3.0935392804882
13.6                  3.0911484520155       3.0935099328238
13.65                 3.0911484520155       3.0934762657599
13.7                  3.0911484520155       3.0934384084914
13.75                 3.0911484520155       3.0933965062952
13.8                  3.0911484520155       3.093350719974
13.85                 3.0911484520155       3.0933012252412
13.9                  3.0911484520155       3.093248212048
13.95                 3.0911484520155       3.0931918838572
14                    3.0911484520155       3.0931324568649
14.05                 3.0911484520155       3.0930701591741
14.1                  3.0911484520155       3.0930052299237
14.15                 3.0911484520155       3.0929379183748
14.2                  3.0911484520155       3.0928684829606
14.25                 3.0911484520155       3.0927971903011
14.3                  3.0911484520155       3.0927243141891
14.35                 3.0911484520155       3.09265013455
14.4                  3.0911484520155       3.0925749363809
14.45                 3.0911484520155       3.0924990086744
14.5                  3.0911484520155       3.0924226433308
14.55                 3.0911484520155       3.0923461340661
14.6                  3.0911484520155       3.0922697753209
14.65                 3.0911484520155       3.0921938611774
14.7                  3.0911484520155       3.0921186842918
14.75                 3.0911484520155       3.0920445348506
14.8                  3.0911484520155       3.0919716995606
14.85                 3.0911484520155       3.0919004606821
14.9                  3.0911484520155       3.0918310951168
14.95                 3.0911484520155       3.0917638735603
15                    3.0911484520155       3.0916990597291
15.05                 3.0911484520155       3.0916369096646
15.1                  3.0911484520155       3.0915776711072
15.15                 3.0911484520155       3.0915215829123
15.2                  3.0911484520155       3.0914688744401
15.25                 3.0911484520155       3.0914197647879
15.3                  3.0911484520155       3.0913744616221
15.35                 3.0911484520155       3.091333159195
15.4                  3.0911484520155       3.0912960348681
15.45                 3.0911484520155       3.0912632430836
15.5                  3.0911484520155       3.0912349052342
15.55                 3.0911484520155       3.0912110933635
15.6                  3.0911484520155       3.0911918054177
15.65                 3.0911484520155       3.091176930794
15.7                  3.0911484520155       3.0911662096032
15.75                 3.0911484520155       3.0911585292451
15.8                  3.0911484520155       3.0911531903088
15.85                 3.0911484520155       3.0911500563537
15.9                  3.0911484520155       3.0911486775736
15.95                 3.0911484520155       3.0911484838116
16                    3.0911484520155       3.091148915664
16.05                 3.0911484520155       3.0911495050886
16.1                  3.0911484520155       3.0911499190401
16.15                 3.0911484520155       3.0911499783436
16.2                  3.0911484520155       3.0911496615981
16.25                 3.0911484520155       3.0911491014208
16.3                  3.0911484520155       3.0911485782074
16.35                 3.0911484520155       3.0911485148767
16.4                  3.0911484520155       3.0911494746346
16.45                 3.0911484520155       3.0911521622449
16.5                  3.0911484520155       3.0911574265035
16.55                 3.0911484520155       3.0911662542276
16.6                  3.0911484520155       3.0911797230954
16.65                 3.0911484520155       3.0911988038703
16.7                  3.0911484520155       3.0912236335769
16.75                 3.0911484520155       3.0912561514534
16.8                  3.0911484520155       3.0912988068309
16.85                 3.0911484520155       3.0913509409993
16.9                  3.0911484520155       3.0914123772465
16.95                 3.0911484520155       3.091483223632
17                    3.0911484520155       3.0915637628599
17.05                 3.0911484520155       3.0916543916668
17.1                  3.0911484520155       3.0917555892693
17.15                 3.0911484520155       3.0918679002456
17.2                  3.0911484520155       3.0919919203357
17.25                 3.0911484520155       3.0921282714274
17.3                  3.0911484520155       3.0922775386372
17.35                 3.0911484520155       3.0924401026805
17.4                  3.0911484520155       3.092615694001
17.45                 3.0911484520155       3.0928022159547
17.5                  3.0911484520155       3.0929926701867
