no.   cb1         cb2         hh1         lh1         lh2         hh2         so1         so2         
1     0.000000000 0.000000000 0.229714328 0.000000000 0.000000000 0.770285672 0.000000000 0.000000000 
2     0.000000000 0.000000000 0.770285672 0.000000000 0.000000000 0.229714328 0.000000000 0.000000000 
3     0.004177478 0.015395658 0.000000000 0.208254950 0.767501769 0.000000000 0.000996745 0.003673399 
4     0.015395658 0.004177478 0.000000000 0.767501769 0.208254950 0.000000000 0.003673399 0.000996745 
5     0.000000000 0.000000000 0.427683416 0.000000000 0.000000000 0.572316584 0.000000000 0.000000000 
6     0.000000000 0.000000000 0.572316584 0.000000000 0.000000000 0.427683416 0.000000000 0.000000000 
7     0.232365911 0.330726562 0.000000000 0.131312824 0.186897633 0.000000000 0.048981569 0.069715501 
8     0.330726562 0.232365911 0.000000000 0.186897633 0.131312824 0.000000000 0.069715501 0.048981569 
9     0.294018120 0.268901246 0.000000000 0.166272290 0.152068266 0.000000000 0.062019068 0.056721010 
10    0.268901246 0.294018120 0.000000000 0.152068266 0.166272290 0.000000000 0.056721010 0.062019068 
11    0.577760422 0.384843275 0.000000000 0.016702609 0.011125523 0.000000000 0.005742873 0.003825298 
12    0.384843275 0.577760422 0.000000000 0.011125523 0.016702609 0.000000000 0.003825298 0.005742873 
13    0.472088442 0.458892593 0.000000000 0.025713256 0.024994517 0.000000000 0.009285368 0.009025823 
14    0.458892593 0.472088442 0.000000000 0.024994517 0.025713256 0.000000000 0.009025823 0.009285368 
