|kp8_i>     |kp8_j>     |<kp8_i|eps.d|kp8_j>|[e*nm]     |<kp8_i|eps.d|kp8_j>|^2[e^2*nm^2]     Re<kp8_i|eps.d|kp8_j>[e*nm]     Im<kp8_i|eps.d|kp8_j>[e*nm]
1           1           0                               0                                     0                               0
1           2           1.14912e-12                     1.32047e-24                           1.18225e-13                     1.14302e-12
1           3           9.41125e-13                     8.85717e-25                           -4.58604e-13                    8.21827e-13
1           4           8.76243e-13                     7.67802e-25                           7.92852e-13                     -3.73078e-13
1           5           1.21992                         1.4882                                -0.0159626                      1.21981
1           6           0.585657                        0.342994                              0.569483                        -0.136685
1           7           2.5654e-14                      6.58126e-28                           -5.51942e-15                    -2.50532e-14
1           8           2.11782e-14                     4.48516e-28                           1.27527e-14                     1.69081e-14
1           9           1.35172e-14                     1.82716e-28                           9.04206e-15                     1.00477e-14
1           10          1.34086e-14                     1.7979e-28                            -3.46335e-15                    1.29536e-14
1           11          1.01936e-13                     1.0391e-26                            9.50162e-14                     3.69176e-14
1           12          6.11645e-15                     3.7411e-29                            5.07978e-15                     3.40689e-15
1           13          3.34159e-14                     1.11662e-27                           -1.00961e-14                    -3.18542e-14
1           14          4.0732e-14                      1.6591e-27                            -2.13731e-14                    3.4674e-14
2           1           1.14911e-12                     1.32045e-24                           1.18225e-13                     -1.14301e-12
2           2           0                               0                                     0                               0
2           3           4.39003e-13                     1.92724e-25                           2.43021e-13                     3.65602e-13
2           4           3.49592e-13                     1.22215e-25                           -1.25284e-13                    -3.26372e-13
2           5           0.585657                        0.342994                              -0.173107                       0.559489
2           6           1.21992                         1.4882                                -1.21831                        -0.0626932
2           7           3.05919e-14                     9.35864e-28                           2.99305e-14                     -6.32678e-15
2           8           3.04047e-14                     9.24447e-28                           1.83134e-14                     -2.42707e-14
2           9           8.03995e-15                     6.46408e-29                           -7.43061e-15                    -3.07031e-15
2           10          2.23053e-14                     4.97525e-28                           -2.0845e-14                     7.93791e-15
2           11          5.75521e-14                     3.31224e-27                           2.00673e-14                     5.39402e-14
2           12          9.08794e-14                     8.25906e-27                           -2.87e-14                       8.62286e-14
2           13          3.63107e-14                     1.31846e-27                           3.52163e-14                     8.84748e-15
2           14          4.23883e-14                     1.79677e-27                           -3.11192e-14                    2.87813e-14
3           1           9.41129e-13                     8.85724e-25                           -4.58604e-13                    -8.21831e-13
3           2           4.39008e-13                     1.92728e-25                           2.43021e-13                     -3.65608e-13
3           3           0                               0                                     0                               0
3           4           9.39141e-14                     8.81986e-27                           6.99163e-15                     9.36535e-14
3           5           1.88116e-13                     3.53875e-26                           1.24502e-13                     1.41021e-13
3           6           2.1539e-13                      4.63927e-26                           1.65543e-13                     1.37797e-13
3           7           0.0783047                       0.00613163                            0.0387031                       0.0680713
3           8           0.0237345                       0.000563327                           0.0223652                       -0.00794514
3           9           0.00384607                      1.47922e-05                           -0.00384105                     -0.000196454
3           10          0.012331                        0.000152053                           -0.010933                       0.00570283
3           11          0.438863                        0.192601                              -0.296917                       0.323174
3           12          0.261831                        0.0685554                             -0.248353                       0.0829221
3           13          0.0081555                       6.65123e-05                           0.00813295                      0.000606149
3           14          0.0249556                       0.000622783                           -0.0146279                      0.020219
4           1           8.76242e-13                     7.67801e-25                           7.92852e-13                     3.73077e-13
4           2           3.49594e-13                     1.22216e-25                           -1.25284e-13                    3.26374e-13
4           3           9.39178e-14                     8.82055e-27                           6.99163e-15                     -9.36572e-14
4           4           0                               0                                     0                               0
4           5           1.63685e-13                     2.67927e-26                           1.51031e-13                     -6.3105e-14
4           6           1.22494e-13                     1.50049e-26                           -1.78332e-14                    -1.21189e-13
4           7           0.0237345                       0.000563327                           0.00332634                      0.0235003
4           8           0.0783047                       0.00613163                            -0.0782567                      -0.0027429
4           9           0.012331                        0.000152053                           0.0123308                       -6.78217e-05
4           10          0.00384607                      1.47922e-05                           -0.00330396                     0.00196879
