x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             -4.2094115556367e-05        -4.283591683472e-05
7.260978922993              -0.00094796815210785        -0.00096467366967825
7.4003918486039             -0.0018527077916072         -0.0018853570346183
7.532837099151              -0.0027900893353464         -0.0028392575339926
7.6586629098899             -0.0037864472162024         -0.003853173677802
7.7782001117354             -0.0048626280036846         -0.004948319403099
7.891763001107              -0.0060352595134118         -0.0061416155482875
7.9996501663019             -0.0073175781930628         -0.0074465318196287
8.1021452725658             -0.0087199728520495         -0.0088736401027669
8.1995178079279             -0.010250348520325          -0.010430984733619
8.2920237917592             -0.011914379008886          -0.012124339509609
8.3799064479186             -0.013715693509439          -0.013957397577683
8.4633968442558             -0.015656026986413          -0.015931924476582
8.5427145001525             -0.017735353509907          -0.018047893819459
8.6180679636999             -0.019952014383182          -0.020303617679278
8.6896553600291             -0.022273844599937          -0.022666364223654
8.7576649122373             -0.024669164711086          -0.025103895734118
8.8222754362784             -0.027111773891605          -0.027589549663026
8.8836568111193             -0.029577340334469          -0.030098565417392
8.9419704253995             -0.032043651513458          -0.032608339031957
8.9973696017656             -0.034490798990405          -0.035098611233177
9.05                        -0.036901286455269          -0.037551577383229
9.1                         -0.039260061585531          -0.039951919900855
9.15                        -0.041676279036549          -0.042410717013433
9.2                         -0.044139421548397          -0.044917266121191
9.25                        -0.04663762550269           -0.047459494539772
9.3                         -0.049157663372483          -0.050023941640848
9.35                        -0.051684941974152          -0.052595757073206
9.4                         -0.054203518088004          -0.055158716658627
9.45                        -0.056696132935314          -0.057695257476488
9.5                         -0.059144266884611          -0.060186533534112
9.55                        -0.061528215607806          -0.062612493264954
9.6                         -0.06382718871617           -0.064951979902779
9.65                        -0.06603235880848           -0.067196010485965
9.7                         -0.068143641728215          -0.069344499374949
9.75                        -0.07015803557771           -0.071394391771282
9.8                         -0.072072676219647          -0.073342773064544
9.85                        -0.073884841349392          -0.075186872976435
9.9                         -0.075591954365665          -0.076924069499655
9.95                        -0.077191588034042          -0.078551892625976
10                          -0.078681467938086          -0.080068027858178
10.05                       -0.080059475713191          -0.08147031950089
10.1                        -0.081323652058553          -0.082756773725635
10.15                       -0.08247219952297           -0.083925561405725
10.2                        -0.083503485060523          -0.084975020716977
10.25                       -0.084416042352503          -0.08590365950056
10.3                        -0.08520857389227           -0.086710157384592
10.35                       -0.085879952830097          -0.0873933676615
10.4                        -0.086429224575368          -0.087952318918443
10.45                       -0.086855608153842          -0.088386216418508
10.5                        -0.08715849731808           -0.088694443230689
10.55                       -0.087337461409418          -0.088876561107065
10.6                        -0.087392245970303          -0.088932311105918
10.65                       -0.087322773106085          -0.088861613959904
10.7                        -0.087129141595768          -0.088664570188756
10.75                       -0.086811626751571          -0.088341459956365
10.8                        -0.086370680027469          -0.087892742672431
10.85                       -0.085806928377307          -0.087319056339258
10.9                        -0.08512117336337           -0.08662121664462
10.95                       -0.084314390016696          -0.085800215801985
11                          -0.08338772545074           -0.084857221139756
11.05                       -0.082342497230369          -0.083793573441515
11.1                        -0.081180191498501          -0.082610785039651
11.15                       -0.079902460863049          -0.081310537665073
11.2                        -0.078511122047192          -0.079894680056064
11.25                       -0.077008153306284          -0.07836522532968
11.3                        -0.075395691615109          -0.076724348119424
11.35                       -0.073676029629446          -0.074974381483279
11.4                        -0.071851612426292          -0.07311781358648
11.45                       -0.069925034027365          -0.071157284163751
11.5                        -0.067899033710829          -0.069095580766038
11.55                       -0.065776492116491          -0.066935634797068
11.6                        -0.063560427150005          -0.064680517345374
11.65                       -0.061253989691905          -0.062333434817712
11.7                        -0.058860459117568          -0.059897724380076
11.75                       -0.056383238634485          -0.057376849212795
11.8                        -0.053825850443455          -0.054774393586463
11.85                       -0.051191930730597          -0.052094057765692
11.9                        -0.048485224497287          -0.049339652747942
11.95                       -0.045709580235383          -0.046515094844913
12                          -0.0428689444553            -0.043624400114185
12.05                       -0.039967356074723          -0.040671678649052
12.1                        -0.037008940675926          -0.037661128734639
12.15                       -0.033997904639872          -0.034597030878631
12.2                        -0.030938529165433          -0.031483741725095
12.25                       -0.027835164182223          -0.028325687860046
12.3                        -0.024692222165717          -0.025127359517567
12.35                       -0.021514171863433          -0.021893304195439
12.4                        -0.018305531941104          -0.01862812018934
12.45                       -0.015070864557885          -0.015336450054825
12.5                        -0.011814768879703          -0.012022974006378
12.55                       -0.0085418745400058         -0.0086924032629085
12.6                        -0.0052568350571768         -0.0053494733491786
12.65                       -0.0019643212180008         -0.0019989373626597
12.7                        0.001330985563431           0.0013544407845889
12.75                       0.004624399901922           0.0047058931394236
12.8                        0.0079112391030186          0.0080506544868602
12.85                       0.011186829821033           0.011383969125428
12.9                        0.014446514703773           0.014701097628999
12.95                       0.017685659014534           0.01799732358547
13                          0.020899657221931           0.021267960302727
13.05                       0.024083939548209           0.024508357472356
13.1                        0.027233978466718           0.027713907781611
13.15                       0.030345295139312           0.030880053464263
13.2                        0.033413465784518           0.034002292780991
13.25                       0.036434127967433           0.037076186420117
13.3                        0.039402986802387           0.040097363809579
13.35                       0.042315821059564           0.043061529331168
13.4                        0.045168489166899           0.045964468428189
13.45                       0.047956935098714           0.04880205359787
13.5                        0.050677194142721           0.051570250259996
13.55                       0.053325398537191           0.054265122493414
13.6                        0.055897782970275           0.05688283863227
13.65                       0.058390689933662           0.059419676714011
13.7                        0.060800574922953           0.061872029771401
13.75                       0.063124011477364           0.064236410961035
13.8                        0.065357696051593           0.066509458521064
13.85                       0.067498452712918           0.068687940551059
13.9                        0.069543237656851           0.070768759607255
13.95                       0.071489143534927           0.072748957106596
14                          0.073333403588481           0.07462571753336
14.05                       0.07507339558252            0.07639637244236
14.1                        0.076706645534112           0.078058404253034
14.15                       0.078230831229985           0.079609449829031
14.2                        0.07964378552833            0.081047303838204
14.25                       0.080943499440124           0.082369921888229
14.3                        0.082128124985581           0.083575423433395
14.35                       0.083195977821674           0.084662094448432
14.4                        0.084145539636999           0.085628389865574
14.45                       0.084975460310559           0.086472935771391
14.5                        0.085684559831419           0.087194531360268
14.55                       0.086271829976485           0.087792150641756
14.6                        0.086736435744033           0.088264943899356
14.65                       0.087077716540944           0.088612238898684
14.7                        0.087295187121958           0.08883354184327
14.75                       0.087388538279615           0.088928538076663
14.8                        0.087357637283895           0.088897092529816
14.85                       0.087202528070942           0.088739249913134
14.9                        0.086923431180589           0.088455234652902
14.95                       0.086520743442789           0.088045450572189
15                          0.085995037413391           0.087510480316676
15.05                       0.085347060560055           0.086851084526232
15.1                        0.084577734199474           0.086068200753407
15.15                       0.083688152187423           0.085162942130385
15.2                        0.082679579363464           0.084136595786298
15.25                       0.081553449752558           0.082990621017134
15.3                        0.080311364526115           0.08172664721086
15.35                       0.078955089725394           0.0803464715307
15.4                        0.077486553750479           0.078852056359866
15.45                       0.075907844618411           0.077245526511366
15.5                        0.074221206994374           0.075529166206874
15.55                       0.072429039000143           0.073705415828939
15.6                        0.070533888804357           0.071776868451162
15.65                       0.068538450999435           0.069746266151274
15.7                        0.066445562770311           0.067616496112344
15.75                       0.064255747333812           0.065388090771561
15.8                        0.061978707383856           0.063070923808043
15.85                       0.059636008303826           0.060686940639976
15.9                        0.057248217540415           0.058257071162772
15.95                       0.05483480696917            0.055801130394054
16                          0.052414078948797           0.053337743224856
16.05                       0.050003115239622           0.050884292437903
16.1                        0.047617747787633           0.048456888976796
16.15                       0.04527255024445            0.046070363316543
16.2                        0.042980849005556           0.043738276696312
16.25                       0.04075475250364            0.041472950928995
16.3                        0.038605197490689           0.039285515498899
16.35                       0.036542011080446           0.037185970697549
16.4                        0.03457398740211            0.03518326562821
16.45                       0.032708977835749           0.033285390031473
16.5                        0.030953993960312           0.031499479047457
16.55                       0.02931532254675            0.029831930235394
16.6                        0.02779865217314            0.028288532420025
16.65                       0.026409211328163           0.026874606228785
16.7                        0.025151918207452           0.025595156527948
16.75                       0.024033834150114           0.024457369094688
16.8                        0.023056005475994           0.023462308687562
16.85                       0.022212725824028           0.022604168385469
16.9                        0.021499074027248           0.02187794029844
16.95                       0.020910885394093           0.021279386342863
17                          0.020444727404325           0.020805013509095
17.05                       0.020097879677703           0.020452053477146
17.1                        0.019868318098538           0.020218446461453
17.15                       0.019754703003459           0.020102829190501
17.2                        0.019756371363479           0.020104526951111
17.25                       0.019873332914726           0.020223549650986
17.3                        0.020106270215259           0.020460591876526
17.35                       0.020456542628306           0.020817036946265
17.4                        0.020926194255161           0.021294964983562
17.45                       0.021517965864048           0.021897165055681
17.5                        0.022235310884546           0.022627151450077
17.55                       0.023076842152469           0.023483512557339
17.6                        0.024035953261814           0.024459525550428
17.65                       0.025107041645967           0.025549489131805
17.7                        0.026284454528958           0.02674765090976
17.75                       0.027562345562105           0.028048061508647
17.8                        0.028934544516452           0.029444441964984
17.85                       0.030394439314861           0.030930063680659
17.9                        0.031934870039905           0.03249764056299
17.95                       0.03354803485293            0.034139233285839
18                          0.035225408011164           0.035846165861994
18.05                       0.036957670377634           0.037608954928493
18.1                        0.038734652985446           0.039417252316373
18.15                       0.040545294345897           0.041259801606444
18.2                        0.042377612279847           0.043124409464261
18.25                       0.044218691104724           0.044997932601332
18.3                        0.046054685025733           0.04686628122609
18.35                       0.047870838559582           0.048714439827537
18.4                        0.049651524762425           0.050526506076851
18.45                       0.051380301941042           0.052285748537964
18.5                        0.053039989397976           0.053974683747503
18.55                       0.054622619215167           0.055585203373203
18.6                        0.056127584636155           0.057116689966071
18.65                       0.057552745847207           0.058566966003623
18.7                        0.058896076503074           0.059933969431449
18.75                       0.060155666608121           0.061215756595119
18.8                        0.061329725232027           0.062410505003739
18.85                       0.062416583056194           0.063516515921234
18.9                        0.063414694747243           0.064532216781672
18.95                       0.064322641154228           0.065456163425194
19                          0.065139131326429           0.066287042151374
19.05                       0.065863004348879           0.067023671587081
19.1                        0.066493230992991           0.067665004366203
19.15                       0.067028915179951           0.068210128618827
19.2                        0.067469295254798           0.068658269267768
19.25                       0.06781374506937            0.069008789130601
19.3                        0.068061774872585           0.069261189825634
19.35                       0.068213032006787           0.069415112480517
19.4                        0.068267301409164           0.069470338242509
19.45                       0.068224505917538           0.069426788589643
19.5                        0.06808470638007            0.069284525442375
19.55                       0.06784810156875            0.069043751075543
19.6                        0.067515027896772           0.068704807830764
19.65                       0.067085958940211           0.068268177629682
19.7                        0.066561504764675           0.067734481288754
19.75                       0.065942411057894           0.067104477636552
19.8                        0.065229558069472           0.066379062434829
19.85                       0.064423959359318           0.0655592671049
19.9                        0.063526760356528           0.064646257261124
19.95                       0.062539236730775           0.063641331053594
20                          0.061462792578518           0.062545917322382
20.05                       0.060298958426603           0.061361573565961
20.1                        0.059049389056108           0.060089983726698
20.15                       0.057715861149514           0.058732955796567
20.2                        0.056300270764557           0.057292419246478
20.25                       0.054804630638342           0.055770422282888
20.3                        0.053231067325565           0.054169128935587
20.35                       0.051581818174898           0.052490815980803
20.4                        0.049859228147847           0.050737869704001
20.45                       0.048063362984094           0.048910357003358
20.5                        0.046201118293809           0.04701529500656
20.55                       0.044288734690996           0.045069210526955
20.6                        0.042341604402846           0.043087767040428
20.65                       0.040374194219285           0.041085686277127
20.7                        0.038399986002875           0.039076687683011
20.75                       0.036431433954469           0.037073444932414
20.8                        0.034479937681135           0.035087558521364
20.85                       0.032555829993972           0.033129543350365
20.9                        0.030668378273659           0.031208830114015
20.95                       0.028825798179897           0.029333779252031
