x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             -1.0003980465853e-06        -7.8059796785891e-15
7.260978922993              -2.3393305064965e-05        -1.8231098805656e-13
7.4003918486039             -3.032946145271e-05         -2.3574163482786e-13
7.532837099151              -3.2096644245791e-05        -2.493724854497e-13
7.6586629098899             -3.117684175983e-05         -2.4181371899751e-13
7.7782001117354             -2.9118434479915e-05        -2.2573220564635e-13
7.891763001107              -2.6665772594381e-05        -2.0651088810672e-13
7.9996501663019             -2.4184229180056e-05        -1.8724155059115e-13
8.1021452725658             -2.1843754827301e-05        -1.691333648946e-13
8.1995178079279             -1.9714920046092e-05        -1.5258021362122e-13
8.2920237917592             -1.7818644463385e-05        -1.3739080456764e-13
8.3799064479186             -1.6152133111891e-05        -1.2500806950568e-13
8.4633968442558             -1.4702369974899e-05        -1.1438303226446e-13
8.5427145001525             -1.3452971708629e-05        -1.0556389413389e-13
8.6180679636999             -1.238721998916e-05         -9.6811925797703e-14
8.6896553600291             -1.1488925106795e-05        -8.9892076740244e-14
8.7576649122373             -1.072825426331e-05         -8.447290573972e-14
8.8222754362784             -1.0077951026632e-05        -7.967703143143e-14
8.8836568111193             -9.5173184354393e-06        -7.536856423641e-14
8.9419704253995             -9.030402383391e-06         -7.1535706506063e-14
8.9973696017656             -8.6047130007994e-06        -6.8200498748671e-14
9.05                        -8.23032906937e-06          -6.5334701698469e-14
9.1                         -7.8992645341385e-06        -6.2637004206987e-14
9.15                        -7.589986039679e-06         -6.0048490087547e-14
9.2                         -7.3005748595175e-06        -5.759146542944e-14
9.25                        -7.0292344788692e-06        -5.5356909131747e-14
9.3                         -6.7742533720734e-06        -5.3413709263198e-14
9.35                        -6.5339730258793e-06        -5.141028784018e-14
9.4                         -6.3067609770755e-06        -4.9691493568394e-14
9.45                        -6.0909894018599e-06        -4.7868412666664e-14
9.5                         -5.8850205202661e-06        -4.6593049201288e-14
9.55                        -5.6872009017817e-06        -4.5162441130453e-14
9.6                         -5.4958677434374e-06        -4.3934581598614e-14
9.65                        -5.3092815602833e-06        -4.2533360809109e-14
9.7                         -5.1268014030947e-06        -4.1075174411556e-14
9.75                        -4.9488450069039e-06        -3.972607604951e-14
9.8                         -4.7756876083294e-06        -3.828193750959e-14
9.85                        -4.6074998240795e-06        -3.7064396198934e-14
9.9                         -4.4443748868291e-06        -3.5881288486893e-14
9.95                        -4.2863484149844e-06        -3.4825291166557e-14
10                          -4.1334129109238e-06        -3.373894696713e-14
10.05                       -3.9855285069621e-06        -3.2422059413835e-14
10.1                        -3.8426310196411e-06        -3.111054129333e-14
10.15                       -3.7046380525648e-06        -2.9800688540595e-14
10.2                        -3.5714536689524e-06        -2.8522785391997e-14
10.25                       -3.4429720063503e-06        -2.6948943705969e-14
10.3                        -3.3190800961602e-06        -2.528494333845e-14
10.35                       -3.1996600810519e-06        -2.380051162164e-14
10.4                        -3.0845909703199e-06        -2.2474748877481e-14
10.45                       -2.9737500342202e-06        -2.1509405021307e-14
10.5                        -2.8670139176711e-06        -2.0394301429244e-14
10.55                       -2.7642595279743e-06        -1.9511923935347e-14
10.6                        -2.6653647443408e-06        -1.8446386703984e-14
10.65                       -2.5702089828327e-06        -1.731932597517e-14
10.7                        -2.4786736421897e-06        -1.6248789633988e-14
10.75                       -2.3906424565677e-06        -1.5137057100569e-14
10.8                        -2.3060017663101e-06        -1.4520086433684e-14
10.85                       -2.224640727578e-06         -1.3852921069656e-14
10.9                        -2.1464514662155e-06        -1.3430330345841e-14
10.95                       -2.0713291889392e-06        -1.3144124506535e-14
11                          -1.9991722587489e-06        -1.2823510962661e-14
11.05                       -1.929882239878e-06         -1.2568361720043e-14
11.1                        -1.8633639192189e-06        -1.2047089094763e-14
11.15                       -1.7995253075014e-06        -1.1520787190896e-14
11.2                        -1.7382776241602e-06        -1.1185828263477e-14
11.25                       -1.6795352699547e-06        -1.0834369630695e-14
11.3                        -1.623215788223e-06         -1.0745307961563e-14
11.35                       -1.5692398187988e-06        -1.0644509719869e-14
11.4                        -1.5175310453934e-06        -1.067204576758e-14
11.45                       -1.4680161372541e-06        -1.0749206729404e-14
11.5                        -1.4206246886496e-06        -1.0684379911278e-14
11.55                       -1.37528915439e-06          -1.0768915375901e-14
11.6                        -1.331944785941e-06         -1.0586086352795e-14
11.65                       -1.2905295642094e-06        -1.0384860887858e-14
11.7                        -1.250984134229e-06         -1.000421483184e-14
11.75                       -1.2132517384499e-06        -9.711115798054e-15
11.8                        -1.1772781526532e-06        -9.3626803147436e-15
11.85                       -1.1430116212457e-06        -8.9462636990598e-15
11.9                        -1.1104027948728e-06        -8.5892679000678e-15
11.95                       -1.0794046696507e-06        -8.2102013039236e-15
12                          -1.049972527851e-06         -7.9714991498306e-15
12.05                       -1.0220638809716e-06        -7.7241019401082e-15
12.1                        -9.9563841444204e-07        -7.6532045343334e-15
12.15                       -9.7065793472467e-07        -7.4740998672819e-15
12.2                        -9.470863189295e-07         -7.2395855659619e-15
12.25                       -9.248894658299e-07         -6.9458129583036e-15
12.3                        -9.0403525036381e-07        -6.7806466191035e-15
12.35                       -8.8449347955376e-07        -6.4758312523159e-15
12.4                        -8.6623585109843e-07        -6.3267144104698e-15
12.45                       -8.4923591471364e-07        -6.2044738991864e-15
12.5                        -8.3346903483805e-07        -6.3457049880983e-15
12.55                       -8.1891235692796e-07        -6.3887019644563e-15
12.6                        -8.0554477493064e-07        -6.4646861417097e-15
12.65                       -7.9334690166991e-07        -6.5435727658518e-15
12.7                        -7.8230104175821e-07        -6.4827470626531e-15
12.75                       -7.7239116575714e-07        -6.5374856701255e-15
12.8                        -7.6360288787779e-07        -6.400599715987e-15
12.85                       -7.5592344514055e-07        -6.2153530582134e-15
12.9                        -7.4934167863488e-07        -5.8539632633809e-15
12.95                       -7.4384801759329e-07        -5.4982898913495e-15
13                          -7.3943446447384e-07        -5.0465325950195e-15
13.05                       -7.3609458396347e-07        -4.6053426502607e-15
13.1                        -7.3382349188208e-07        -4.223219908238e-15
13.15                       -7.3261784796638e-07        -3.931415885202e-15
13.2                        -7.3247584980543e-07        -3.6129306974383e-15
13.25                       -7.3339722865397e-07        -3.5017304938946e-15
13.3                        -7.3538324778615e-07        -3.3034151889174e-15
13.35                       -7.3843670216739e-07        -3.3363633233286e-15
13.4                        -7.4256192035442e-07        -3.2995215696797e-15
13.45                       -7.4776476805615e-07        -3.3612308947061e-15
13.5                        -7.5405265328687e-07        -3.4288008370457e-15
13.55                       -7.6143453357673e-07        -3.4980991745823e-15
13.6                        -7.6992092423056e-07        -3.7078201496967e-15
13.65                       -7.7952390865266e-07        -3.8516105888432e-15
13.7                        -7.9025714930878e-07        -4.1140863399395e-15
13.75                       -8.0213590087962e-07        -4.241799034015e-15
13.8                        -8.1517702307987e-07        -4.4492348155763e-15
13.85                       -8.2939899591219e-07        -4.5388021435386e-15
13.9                        -8.4482193413187e-07        -4.7428030464048e-15
13.95                       -8.6146760285572e-07        -4.6529398632502e-15
14                          -8.7935943302853e-07        -4.5796443246235e-15
14.05                       -8.9852253598751e-07        -4.3278183256886e-15
14.1                        -9.1898371809864e-07        -4.0124320639601e-15
14.15                       -9.4077149279546e-07        -3.8744010179884e-15
14.2                        -9.6391609179462e-07        -3.4558183905806e-15
14.25                       -9.8844947209157e-07        -3.2481580852277e-15
14.3                        -1.0144053202963e-06        -2.9625548138375e-15
14.35                       -1.0418190513721e-06        -2.6783239942622e-15
14.4                        -1.0707278015048e-06        -2.5736060248861e-15
14.45                       -1.101170412608e-06         -2.3532655929476e-15
14.5                        -1.133187407842e-06         -2.1261279540883e-15
14.55                       -1.1668209543246e-06        -1.8962092121306e-15
14.6                        -1.2021148120375e-06        -1.5649485423375e-15
14.65                       -1.2391142639639e-06        -1.2508016201005e-15
14.7                        -1.2778660247654e-06        -1.0067620887464e-15
14.75                       -1.318418122727e-06         -7.3938857072387e-16
14.8                        -1.3608197482951e-06        -5.229726198191e-16
14.85                       -1.4051210635761e-06        -4.0044566415189e-16
14.9                        -1.4513729617131e-06        -3.1741681149737e-16
14.95                       -1.4996267657113e-06        -4.2355401008448e-16
15                          -1.549933852129e-06         -4.1368842616991e-16
15.05                       -1.602345178818e-06         -3.9673242628745e-16
15.1                        -1.6569106944041e-06        -3.8156013368561e-16
15.15                       -1.7136785937241e-06        -1.3764530640531e-16
15.2                        -1.7726943767155e-06        7.302760329221e-18
15.25                       -1.8339996501099e-06        3.4172278119613e-16
15.3                        -1.8976305889788e-06        6.5362346073776e-16
15.35                       -1.9636159443912e-06        8.9889543118541e-16
15.4                        -2.031974436388e-06         1.1611304374554e-15
15.45                       -2.1027113069905e-06        1.1805544883954e-15
15.5                        -2.1758137120169e-06        1.2153672107043e-15
15.55                       -2.2512444920029e-06        1.1113478447043e-15
15.6                        -2.3289336636531e-06        9.377142952835e-16
15.65                       -2.4087666784897e-06        7.9261834668992e-16
15.7                        -2.4905680691387e-06        5.9800137349606e-16
15.75                       -2.5746373612315e-06        4.0888381358888e-16
15.8                        -2.6617771029477e-06        2.392790773371e-16
15.85                       -2.7527690021958e-06        1.1232793141554e-16
15.9                        -2.8483966557822e-06        1.6686781329099e-17
15.95                       -2.9494445432098e-06        9.0317567585296e-17
16                          -3.0567025805051e-06        1.5751815534515e-16
16.05                       -3.1709749624473e-06        3.6191504334555e-16
16.1                        -3.2930924513196e-06        5.1294655546732e-16
16.15                       -3.4239276230302e-06        7.0641971787007e-16
16.2                        -3.5644128651728e-06        9.4406588657848e-16
16.25                       -3.715561170221e-06         1.086240257371e-15
16.3                        -3.878489982763e-06         1.2456811644897e-15
16.35                       -4.0544485668412e-06        1.2932619604922e-15
16.4                        -4.2448495555989e-06        1.2958362641472e-15
16.45                       -4.4513055329002e-06        1.1971894625395e-15
16.5                        -4.6756716463863e-06        1.0247150970491e-15
16.55                       -4.9200952637766e-06        8.2129978641983e-16
16.6                        -5.1870732830896e-06        5.0024042836181e-16
16.65                       -5.4795160282855e-06        1.959369357772e-16
16.7                        -5.8008110688848e-06        -1.2625818794654e-16
16.75                       -6.1526454950168e-06        -3.0845915653221e-16
16.8                        -6.5351100543676e-06        -4.3830202174816e-16
16.85                       -6.9490523415105e-06        -4.0857387854668e-16
16.9                        -7.3956026817609e-06        -3.4252965280056e-16
16.95                       -7.8762145735912e-06        -1.6691667949817e-16
17                          -8.392682623145e-06         4.1461169847599e-17
17.05                       -8.9471570661662e-06        3.6438365975351e-16
17.1                        -9.5421626624421e-06        6.707015306815e-16
17.15                       -1.0180625383779e-05        9.695251185692e-16
17.2                        -1.0865908723356e-05        1.1686483244343e-15
17.25                       -1.1601860909474e-05        1.3390431616867e-15
17.3                        -1.2392874008404e-05        1.4305583074127e-15
17.35                       -1.3243955223225e-05        1.455738530137e-15
