x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             0.034282210992225           0.025526649552327
7.260978922993              -0.55660205761022           -0.41444776324206
7.4003918486039             -0.38129000441717           -0.28390981908284
7.532837099151              -0.34018746740367           -0.25330473184698
7.6586629098899             -0.29221381748073           -0.21758339083993
7.7782001117354             -0.25350035320994           -0.1887572151997
7.891763001107              -0.22101244598138           -0.16456661026177
7.9996501663019             -0.19373544053368           -0.1442560603075
8.1021452725658             -0.17072607603112           -0.12712321014764
8.1995178079279             -0.1512185556295            -0.11259784487758
8.2920237917592             -0.13459251851054           -0.10021804174657
8.3799064479186             -0.12034793417325           -0.089611476362584
8.4633968442558             -0.10808780870631           -0.080482545724677
8.5427145001525             -0.097524596493148          -0.072617142400099
8.6180679636999             -0.088566444029934          -0.065946871961106
8.6896553600291             -0.081079658770509          -0.060372186488393
8.7576649122373             -0.074735371325054          -0.055648208728729
8.8222754362784             -0.069293724690863          -0.051596340351567
8.8836568111193             -0.064590933162266          -0.048094625969861
8.9419704253995             -0.060502546713395          -0.045050399675983
8.9973696017656             -0.056930493296488          -0.042390636693477
9.05                        -0.053795997568597          -0.040056680637163
9.1                         -0.051034904607799          -0.038000761536505
9.15                        -0.048469273377039          -0.036090383897124
9.2                         -0.046087152243394          -0.034316648492965
9.25                        -0.043877109504092          -0.032671043239715
9.3                         -0.041828133024389          -0.031145368464824
9.35                        -0.039929383837668          -0.029731553437311
9.4                         -0.038169839933422          -0.028421391131099
9.45                        -0.036537832098023          -0.027206192610493
9.5                         -0.035020453471296          -0.026076347384015
9.55                        -0.033602809382223          -0.025020764829556
9.6                         -0.032267059636344          -0.024026161078345
9.65                        -0.031003511288112          -0.023085318730544
9.7                         -0.029806815455661          -0.022194254990733
9.75                        -0.028667994536812          -0.02134628510615
9.8                         -0.027580510942518          -0.020536541166013
9.85                        -0.026539497429025          -0.01976139900426
9.9                         -0.025541234184989          -0.019018088836859
9.95                        -0.024582793522632          -0.01830443069765
10                          -0.023661798396446          -0.017618654630555
10.05                       -0.022776258215669          -0.016959278435002
10.1                        -0.021924457133325          -0.016325024485564
10.15                       -0.021104877955673          -0.015714763074681
10.2                        -0.02031615022492           -0.015127473754873
10.25                       -0.019557014702807          -0.014562218893099
10.3                        -0.018826298978987          -0.014018125508674
10.35                       -0.018122900623688          -0.013494372728684
10.4                        -0.017445775455679          -0.012990183052273
10.45                       -0.016793929278407          -0.012504816197346
10.5                        -0.016166411967987          -0.012037564698464
10.55                       -0.015562313156899          -0.011587750692911
