x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             0.00063114999034549         -0.00040005128463232
7.260978922993              -0.017641356439585          0.01118188610357
7.4003918486039             -0.014134889414393          0.0089593294064204
7.532837099151              -0.014391360964072          0.0091218926235496
7.6586629098899             -0.014355276521781          0.0090990206791383
7.7782001117354             -0.014511253217291          0.0091978857323982
7.891763001107              -0.014786366362194          0.0093722648320126
7.9996501663019             -0.0151654664933            0.0096125555660272
8.1021452725658             -0.015632681244139          0.0099086973138388
8.1995178079279             -0.016174537540296          0.01025215023419
8.2920237917592             -0.016779343934426          0.010635503761286
8.3799064479186             -0.01743697130642           0.011052337602688
8.4633968442558             -0.018139299166294          0.011497504626175
8.5427145001525             -0.018883228558446          0.011969040574141
8.6180679636999             -0.019683243595702          0.012476126129516
8.6896553600291             -0.020477199048624          0.012979370847477
8.7576649122373             -0.021222370026193          0.013451693768189
8.8222754362784             -0.02190657768275           0.013885375390859
8.8836568111193             -0.022525077861792          0.014277408655464
8.9419704253995             -0.02307601361117           0.014626616542116
8.9973696017656             -0.023559358141928          0.014932982070766
9.05                        -0.023976478064904          0.015197371460903
9.1                         -0.024329845072219          0.015421351382294
9.15                        -0.024637347509008          0.015616260273599
9.2                         -0.024894899198038          0.015779508131687
9.25                        -0.025098987042869          0.015908868197839
9.3                         -0.025246877151216          0.016002607608017
9.35                        -0.025336893847679          0.016059664243696
9.4                         -0.025368784943701          0.016079878256414
9.45                        -0.025344195106948          0.016064292110596
9.5                         -0.025267278065431          0.016015538626099
9.55                        -0.025145488994713          0.015938343228903
9.6                         -0.024990611809117          0.015840175094535
9.65                        -0.024812707241396          0.015727411168451
9.7                         -0.024616199072074          0.01560285544195
9.75                        -0.024404044523089          0.015468382335461
9.8                         -0.024178351291829          0.015325327802497
9.85                        -0.023940642963951          0.015174657560256
9.9                         -0.023692040580685          0.015017082175151
9.95                        -0.023433386919296          0.01485313583736
10                          -0.023165331627748          0.014683230323018
10.05                       -0.022888389605242          0.014507691998425
10.1                        -0.022602981093332          0.0143267872316
10.15                       -0.022309459260156          0.014140739876414
10.2                        -0.022008129228299          0.013949743333299
10.25                       -0.02169926124543           0.013753968897398
10.3                        -0.021383099842155          0.01355357156322
10.35                       -0.021059870237652          0.013348694084822
10.4                        -0.020729782854835          0.013139469837722
10.45                       -0.02039303653434           0.012926024856069
10.5                        -0.02004982085051           0.012708479300618
10.55                       -0.019700317805334          0.012486948532426
10.6                        -0.019344703089464          0.012261543912139
10.65                       -0.018983147039964          0.012032373407058
10.7                        -0.018615815383902          0.011799542062462
10.75                       -0.018242869829094          0.011563152376047
10.8                        -0.017864468544333          0.011323304602316
10.85                       -0.017480766558424          0.011080097005505
10.9                        -0.017091916098436          0.010833626073986
10.95                       -0.016698066881479          0.010583986705207
11                          -0.01629936637012           0.010331272367581
11.05                       -0.015895959998633          0.010075575243901
11.1                        -0.01548799137534           0.0098169863595882
11.15                       -0.015075602464861          0.0095555956982095
11.2                        -0.014658933753166          0.0092914923061013
11.25                       -0.01423812439765           0.0090247643874862
11.3                        -0.013813312363944          0.0087554993911925
11.35                       -0.013384634550877          0.0084837840898632
11.4                        -0.012952226904734          0.0082097046523755
11.45                       -0.012516224523786          0.0079333467100975
11.5                        -0.012076761753927          0.0076547954175052
11.55                       -0.011633972276152          0.0073741355076344
11.6                        -0.011187989186547          0.0070914513427766
11.65                       -0.010738945069364          0.0068068269608019
11.7                        -0.010286972063741          0.0065203461174459
11.75                       -0.0098322019245544         0.0062320923248817
11.8                        -0.0093747660778675         0.0059421488868668
11.85                       -0.008914795671414          0.0056505989307403
11.9                        -0.0084524216205064         0.0053575254365223
11.95                       -0.007987774649759          0.00506301126336
12                          -0.0075209853309776         0.0047671391735431
12.05                       -0.0070521841175519         0.0044699918543051
12.1                        -0.0065815013756795         0.0041716519376122
12.15                       -0.0061090674127171         0.0038722020181347
12.2                        -0.005635012502956          0.0035717246695851
12.25                       -0.0051594669110996         0.0032703024595983
12.3                        -0.0046825609137132         0.0029680179633274
12.35                       -0.0042044248188992         0.0026649537759154
12.4                        -0.0037251889844555         0.0023611925240047
12.45                       -0.0032449838347565         0.0020568168764365
12.5                        -0.002763939876595          0.0017519095542932
12.55                       -0.0022821877142172         0.0014465533404271
12.6                        -0.0017998580637842         0.0011408310886268
