x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             -0.00084397042493541        -0.00072512612597572
7.260978922993              -0.019735404763397          -0.016956349627702
7.4003918486039             -0.025586813232914          -0.021983787828902
7.532837099151              -0.027077397246146          -0.023264474188305
7.6586629098899             -0.026301076141217          -0.022597471294959
7.7782001117354             -0.024564138772668          -0.021105122004147
7.891763001107              -0.022494557025658          -0.01932696989092
7.9996501663019             -0.020400578765943          -0.017527856677371
8.1021452725658             -0.018425583019143          -0.01583097136909
8.1995178079279             -0.016629106120155          -0.014287466649399
8.2920237917592             -0.015028795882776          -0.012912505242573
8.3799064479186             -0.013622292889548          -0.011704059974208
8.4633968442558             -0.012398614421526          -0.010652694664784
8.5427145001525             -0.011343936694077          -0.009746532135787
8.6180679636999             -0.010444153262615          -0.0089734523517133
8.6896553600291             -0.0096856139541761         -0.0083217272984682
8.7576649122373             -0.0090431597587932         -0.0077697407500649
8.8222754362784             -0.0084938031913809         -0.0072977422205698
8.8836568111193             -0.0080200895248102         -0.0068907348827378
8.9419704253995             -0.007608564457102          -0.0065371590117443
8.9973696017656             -0.0072486955717723         -0.0062279653208655
9.05                        -0.006932116878051          -0.0059559658823044
9.1                         -0.0066520944316835         -0.0057153749969825
9.15                        -0.0063904269226202         -0.0054905543853417
9.2                         -0.0061454967581613         -0.0052801142371555
9.25                        -0.005915789662209          -0.005082753510197
9.3                         -0.0056998632895711         -0.0048972329641445
9.35                        -0.0054963202661907         -0.0047223519971674
9.4                         -0.0053037854659736         -0.0045569291225364
9.45                        -0.0051208879794337         -0.0043997864763642
9.5                         -0.0049462488491178         -0.0042497392800785
9.55                        -0.0047784763390782         -0.004105591776024
9.6                         -0.0046161713448956         -0.0039661418756715
9.65                        -0.0044578654785986         -0.003830127963151
9.7                         -0.0043030132489758         -0.0036970813609864
9.75                        -0.0041519633835918         -0.0035673016904216
9.8                         -0.0040049445199742         -0.0034409853932258
9.85                        -0.0038620971992072         -0.0033182532200905
9.9                         -0.0037234968541807         -0.0031991699817692
9.95                        -0.0035891704831291         -0.0030837588747211
10                          -0.0034591088661971         -0.0029720119773913
10.05                       -0.0033332756123843         -0.0028638980232045
10.1                        -0.0032116139329045         -0.0027593682201279
10.15                       -0.0030940517679104         -0.0026583606554728
10.2                        -0.0029805057079924         -0.0025608036651854
10.25                       -0.0028708840234861         -0.0024666184365796
10.3                        -0.0027650890254387         -0.0023757210368419
10.35                       -0.002663018919824          -0.0022880240061457
10.4                        -0.0025645692728733         -0.002203437616638
10.45                       -0.0024696341744763         -0.0021218708720159
10.5                        -0.0023781071645757         -0.0020432323034716
10.55                       -0.0022898819716411         -0.0019674306041754
10.6                        -0.0022048531007886         -0.0018943751345815
10.65                       -0.0021229163006741         -0.0018239763235734
10.7                        -0.0020439689319926         -0.001756145985073
10.75                       -0.0019679102556956         -0.0016907975656732
10.8                        -0.0018946416554315         -0.0016278463357543
10.85                       -0.0018240668059317         -0.0015672095341595
10.9                        -0.0017560917968932         -0.0015088064746319
10.95                       -0.0016906252201899         -0.0014525586207462
11                          -0.001627578226873          -0.0013983896348819
11.05                       -0.0015668645593066         -0.0013462254058341
11.1                        -0.0015084005628964         -0.0012959940588892
11.15                       -0.0014521051811114         -0.0012476259515502
11.2                        -0.0013978999369098         -0.0012010536575764
11.25                       -0.0013457089031579         -0.0011562119415673
11.3                        -0.0012954586642161         -0.0011130377259593
11.35                       -0.0012470782705124         -0.001071470051995
11.4                        -0.0012004991876311         -0.0010314500359812
11.45                       -0.001155655241189          -0.00099292082192793
11.5                        -0.0011124825585696         -0.00095582753148618
11.55                       -0.0010709195084034         -0.00092011721195291
11.6                        -0.0010309066385394         -0.00088573878297409
11.65                       -0.00099238661311746        -0.00085264298247983
11.7                        -0.00095530414925793        -0.00082078231228848
11.75                       -0.00091960595378223        -0.00079011098373845
11.8                        -0.00088524066031214        -0.0007605848636448
11.85                       -0.00085215876702749        -0.0007321614208209
11.9                        -0.0008203125753027         -0.00070479967335843
11.95                       -0.0007896561294134         -0.00067846013682092
12                          -0.00076014515744255        -0.00065310477347255
12.05                       -0.0007317370135042         -0.00062869694263899
12.1                        -0.00070439062136657        -0.00060520135226716
12.15                       -0.00067806641953198        -0.0005825840117402
12.2                        -0.00065272630781657        -0.00056081218597874
12.25                       -0.00062833359545597        -0.00053985435085405
12.3                        -0.00060485295074862        -0.00051968014992364
12.35                       -0.00058225035224001        -0.00050026035248847
12.4                        -0.00056049304143717        -0.00048156681296609
12.45                       -0.00053954947704391        -0.00046357243157104
12.5                        -0.00051938929069436        -0.00044625111628058
12.55                       -0.00049998324415946        -0.00042957774606721
12.6                        -0.00048130318799765        -0.0004135281353734
12.65                       -0.00046332202162093        -0.00039807899979953
12.7                        -0.00044601365473892        -0.0003832079229779
12.75                       -0.00042935297014809        -0.00036889332460255
12.8                        -0.00041331578782917        -0.00035511442958087
12.85                       -0.00039787883031571        -0.0003418512382795
12.9                        -0.00038301968929247        -0.0003290844978263
12.95                       -0.00036871679339143        -0.00031679567444034
13                          -0.00035494937714306        -0.00030496692675686
13.05                       -0.00034169745104568        -0.00029358108011003
13.1                        -0.00032894177271749        -0.00028262160174796
13.15                       -0.00031666381909102        -0.00027207257694264
13.2                        -0.00030484575961655        -0.00026191868596546
13.25                       -0.00029347043043486        -0.00025214518189814
13.3                        -0.00028252130948582        -0.0002427378692461
13.35                       -0.00027198249251777        -0.00023368308332622
13.4                        -0.00026183866996157        -0.0002249676703976
13.45                       -0.0002520751046374         -0.00021657896850686
13.5                        -0.00024267761025676        -0.00020850478901844
13.55                       -0.00023363253069144        -0.00020073339880067
13.6                        -0.00022492671996952        -0.0001932535030414
13.65                       -0.00021654752297048        -0.00018605422866008
13.7                        -0.00020848275678576        -0.00017912510829303
13.75                       -0.0002007206927057         -0.00017245606481696
