x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             0.068957673164719           3.2919237511214e-13
7.260978922993              -1.0755039793945            -5.1341607395983e-12
7.4003918486039             -0.72084442766017           -3.4405098674516e-12
7.532837099151              -0.63753673359392           -3.0427363631331e-12
7.6586629098899             -0.54361971480175           -2.5943867125415e-12
7.7782001117354             -0.46929521674474           -2.2399087756969e-12
7.891763001107              -0.40772974415897           -1.9463030726294e-12
7.9996501663019             -0.35650888383283           -1.7026832064701e-12
8.1021452725658             -0.31357687739614           -1.4975438681924e-12
8.1995178079279             -0.27733970901729           -1.3248405748447e-12
8.2920237917592             -0.24654640892936           -1.1780181283466e-12
8.3799064479186             -0.2202105204297            -1.0521015957715e-12
8.4633968442558             -0.19756086669504           -9.4402105337611e-13
8.5427145001525             -0.17804661629429           -8.5058717425004e-13
8.6180679636999             -0.16150458789345           -7.7136096105913e-13
8.6896553600291             -0.14768819855507           -7.0526978922141e-13
8.7576649122373             -0.13597978096421           -6.4938272562972e-13
8.8222754362784             -0.12593496161453           -6.0156020033673e-13
8.8836568111193             -0.11725261873549           -5.6027624631054e-13
8.9419704253995             -0.10970420222924           -5.2429548215178e-13
8.9973696017656             -0.10310951215162           -4.9274301921974e-13
9.05                        -0.097323680776663          -4.6500237290097e-13
9.1                         -0.092228622694762          -4.4055565827392e-13
9.15                        -0.08749618683634           -4.1786396875498e-13
9.2                         -0.083104853398106          -3.9684498375491e-13
9.25                        -0.07903399531248           -3.7740079889523e-13
9.3                         -0.075263721008661          -3.5941072471443e-13
9.35                        -0.071774422327739          -3.427630466238e-13
9.4                         -0.068546099532498          -3.2736625638002e-13
9.45                        -0.06555746650246           -3.1312403838944e-13
9.5                         -0.062784798407767          -2.9992491444418e-13
9.55                        -0.060200453360283          -2.8763675721835e-13
9.6                         -0.057770969954301          -2.7609447682747e-13
9.65                        -0.055479101647942          -2.6520581193824e-13
9.7                         -0.053314982108518          -2.5491257894224e-13
9.75                        -0.051260384770438          -2.4512226800871e-13
9.8                         -0.049302070215902          -2.3577083186829e-13
9.85                        -0.047430220810863          -2.2682291044546e-13
9.9                         -0.045637375545224          -2.1826477605068e-13
9.95                        -0.043917704889137          -2.100687955904e-13
10                          -0.042266516791719          -2.0220074158042e-13
10.05                       -0.040679919824087          -1.9462761477183e-13
10.1                        -0.039154593171755          -1.8732355989024e-13
10.15                       -0.037687629291249          -1.8027780151184e-13
10.2                        -0.036276425994943          -1.7348971996551e-13
10.25                       -0.034918612169711          -1.6695810041288e-13
10.3                        -0.03361199639285           -1.6067672643292e-13
10.35                       -0.032354531146362          -1.5464998328124e-13
10.4                        -0.031144287667176          -1.4887981209544e-13
10.45                       -0.029979438059024          -1.4336758982754e-13
10.5                        -0.028858242371117          -1.3810817800762e-13
10.55                       -0.027779039082523          -1.3308274878591e-13
10.6                        -0.026740237929904          -1.2825163965012e-13
10.65                       -0.025740314355365          -1.235640756555e-13
10.7                        -0.024777805081646          -1.1900004918042e-13
10.75                       -0.023851304478659          -1.1457225496407e-13
10.8                        -0.022959461491957          -1.1029774895494e-13
10.85                       -0.022100976976181          -1.0618856582821e-13
10.9                        -0.021274601325913          -1.022368621073e-13
