x[nm]                       Envelope_real_part[nm^-1/2] Envelope_imag_part[nm^-1/2]
7.1142317671146             -3.0886956198534e-16        -2.9040410066856e-05
7.260978922993              -7.2242343744678e-15        -0.00067908086608736
7.4003918486039             -9.3670502226659e-15        -0.00088042954573424
7.532837099151              -9.9113243188981e-15        -0.00093172883918666
7.6586629098899             -9.6250207122544e-15        -0.0009050280259739
7.7782001117354             -8.9810173105329e-15        -0.00084527481902252
7.891763001107              -8.2221972229609e-15        -0.00077407685221731
7.9996501663019             -7.4557515288857e-15        -0.00070204048770606
8.1021452725658             -6.7633488032871e-15        -0.00063409919654383
8.1995178079279             -6.1228249316727e-15        -0.00057230155987389
8.2920237917592             -5.4917712561043e-15        -0.00051725485049054
8.3799064479186             -4.985401716484e-15         -0.00046887793372546
8.4633968442558             -4.5023757060008e-15        -0.00042679296951281
8.5427145001525             -4.1159904577462e-15        -0.00039052436814686
8.6180679636999             -3.7649214093493e-15        -0.00035958681577223
8.6896553600291             -3.4509519119969e-15        -0.00033351034368547
8.7576649122373             -3.1811862696251e-15        -0.00031142893989817
8.8222754362784             -2.9461960497629e-15        -0.00029255138138097
8.8836568111193             -2.7324804746264e-15        -0.00027627685904704
8.9419704253995             -2.5403154755262e-15        -0.00026214224345958
8.9973696017656             -2.3730911916958e-15        -0.00024978496799513
9.05                        -2.2302290308694e-15        -0.00023891703103728
9.1                         -2.1094396217682e-15        -0.00022930660655697
9.15                        -2.0050819366071e-15        -0.00022032860589339
9.2                         -1.9106068482292e-15        -0.00021192733062458
9.25                        -1.8431861193934e-15        -0.0002040506299819
9.3                         -1.7783956639125e-15        -0.0001966488203406
9.35                        -1.7353851923104e-15        -0.00018967375694921
9.4                         -1.67853797417e-15          -0.00018307805127227
9.45                        -1.6363038786525e-15        -0.00017681444944579
9.5                         -1.5998046041663e-15        -0.00017083540860075
9.55                        -1.5677976295351e-15        -0.00016509293153799
9.6                         -1.5352978140394e-15        -0.00015953874898768
9.65                        -1.4897443627722e-15        -0.00015412236568534
9.7                         -1.441198824202e-15         -0.00014882517561272
9.75                        -1.4137349064842e-15        -0.00014365930513955
9.8                         -1.3807328087546e-15        -0.00013863274407488
9.85                        -1.3625786806328e-15        -0.00013375044522905
9.9                         -1.3263787440336e-15        -0.00012901511503826
9.95                        -1.2953770269285e-15        -0.00012442778746384
10                          -1.2756493341608e-15        -0.0001199882448508
10.05                       -1.2385551234127e-15        -0.00011569532988901
10.1                        -1.2068495708465e-15        -0.00011154717941134
10.15                       -1.1587259454891e-15        -0.00010754140154259
10.2                        -1.1208070037554e-15        -0.00010367521135374
10.25                       -1.090692122424e-15         -9.9945535773305e-05
10.3                        -1.0474906825614e-15        -9.6349095449901e-05
10.35                       -1.00246784575e-15          -9.2882469124801e-05
10.4                        -9.4698385978089e-16        -8.9542144569711e-05
10.45                       -8.9086589859771e-16        -8.6324559087698e-05
10.5                        -8.3879869449149e-16        -8.3226131813461e-05
10.55                       -7.7940551488663e-16        -8.0243289508895e-05
10.6                        -7.2902241442004e-16        -7.7372487150408e-05
10.65                       -6.681184888581e-16         -7.461022431559e-05
10.7                        -6.063662902989e-16         -7.1953058159095e-05
10.75                       -5.3553957560889e-16        -6.939761360451e-05
10.8                        -4.8492116123167e-16        -6.6940591256514e-05
10.85                       -4.5670631072596e-16        -6.4578773438341e-05
10.9                        -4.5347984982568e-16        -6.2309028686515e-05
10.95                       -4.6345771075745e-16        -6.0128314975247e-05
11                          -4.6581850728553e-16        -5.8033681894439e-05
11.05                       -4.6764070007473e-16        -5.6022271967953e-05
11.1                        -4.5244625640552e-16        -5.4091321266117e-05
11.15                       -4.3893336523437e-16        -5.2238159443043e-05
11.2                        -4.2343575691518e-16        -5.046020930478e-05
11.25                       -4.117832541427e-16         -4.8754986001058e-05
11.3                        -3.9731637319903e-16        -4.7120095914377e-05
11.35                       -3.8640456382921e-16        -4.5553235311651e-05
11.4                        -3.7632740114775e-16        -4.4052188811129e-05
11.45                       -3.8176283158081e-16        -4.2614827708503e-05
11.5                        -3.8095662778532e-16        -4.1239108201518e-05
11.55                       -3.8564233711665e-16        -3.9923069542252e-05
11.6                        -3.7956985278759e-16        -3.8664832145242e-05
11.65                       -3.6502704950321e-16        -3.7462595671488e-05
11.7                        -3.4836589307992e-16        -3.6314637107486e-05
11.75                       -3.3159005596261e-16        -3.5219308854398e-05
11.8                        -3.3592957611287e-16        -3.4175036838606e-05
11.85                       -3.4021085009592e-16        -3.3180318654935e-05
11.9                        -3.4717406802568e-16        -3.2233721750638e-05
11.95                       -3.4004511084572e-16        -3.1333881656344e-05
12                          -3.3202021427319e-16        -3.0479500269837e-05
12.05                       -3.392745785799e-16         -2.9669344196593e-05
12.1                        -3.4733635750542e-16        -2.8902243150634e-05
12.15                       -3.577565904393e-16         -2.8177088418585e-05
12.2                        -3.5341359460542e-16        -2.7492831388794e-05
12.25                       -3.5409014634855e-16        -2.6848482145869e-05
12.3                        -3.7529890225621e-16        -2.624310813319e-05
12.35                       -3.9101964815792e-16        -2.5675832883342e-05
12.4                        -4.0982448165769e-16        -2.5145834816121e-05
12.45                       -3.9079914312693e-16        -2.4652346105354e-05
12.5                        -3.6237449788846e-16        -2.4194651614019e-05
12.55                       -3.4347393783077e-16        -2.377208789667e-05
12.6                        -3.1429507273974e-16        -2.3384042269536e-05
12.65                       -2.7119421472823e-16        -2.3029951947922e-05
12.7                        -1.9279059454932e-16        -2.2709303249941e-05
12.75                       -1.2647123985852e-16        -2.2421630865819e-05
12.8                        -9.621164276048e-17         -2.21665171927e-05
12.85                       -6.2686259333941e-17        -2.1943591733533e-05
12.9                        -7.2485218921972e-17        -2.1752530560362e-05
12.95                       -9.398724154723e-17         -2.1593055839499e-05
13                          -1.2770147471004e-16        -2.1464935420233e-05
13.05                       -1.6385669350326e-16        -2.1367982483851e-05
13.1                        -1.8890843595178e-16        -2.1302055253845e-05
13.15                       -2.2468036745612e-16        -2.12670567652e-05
