kp8_i     kp8_j     kp8_i-kp8_j[eV]
1         1         0
1         2         -4.84057e-14
1         3         -0.0190536
1         4         -0.0190536
1         5         -0.0460779
1         6         -0.0460779
1         7         -0.941373
1         8         -0.941373
1         9         -0.941405
1         10        -0.941405
1         11        -1.55482
1         12        -1.55482
1         13        -1.69345
1         14        -1.69345
2         1         4.84057e-14
2         2         0
2         3         -0.0190536
2         4         -0.0190536
2         5         -0.0460779
2         6         -0.0460779
2         7         -0.941373
2         8         -0.941373
2         9         -0.941405
2         10        -0.941405
2         11        -1.55482
2         12        -1.55482
2         13        -1.69345
2         14        -1.69345
3         1         0.0190536
3         2         0.0190536
3         3         0
3         4         -4.84057e-14
3         5         -0.0270243
3         6         -0.0270243
3         7         -0.922319
3         8         -0.922319
3         9         -0.922351
3         10        -0.922351
3         11        -1.53576
3         12        -1.53576
3         13        -1.6744
3         14        -1.6744
4         1         0.0190536
4         2         0.0190536
4         3         4.84057e-14
4         4         0
4         5         -0.0270243
4         6         -0.0270243
4         7         -0.922319
4         8         -0.922319
4         9         -0.922351
4         10        -0.922351
4         11        -1.53576
4         12        -1.53576
4         13        -1.6744
4         14        -1.6744
5         1         0.0460779
5         2         0.0460779
5         3         0.0270243
5         4         0.0270243
5         5         0
5         6         0
5         7         -0.895295
5         8         -0.895295
5         9         -0.895327
5         10        -0.895327
5         11        -1.50874
5         12        -1.50874
5         13        -1.64738
5         14        -1.64738
6         1         0.0460779
6         2         0.0460779
6         3         0.0270243
6         4         0.0270243
6         5         0
6         6         0
6         7         -0.895295
6         8         -0.895295
6         9         -0.895327
6         10        -0.895327
6         11        -1.50874
6         12        -1.50874
6         13        -1.64738
6         14        -1.64738
7         1         0.941373
7         2         0.941373
7         3         0.922319
7         4         0.922319
7         5         0.895295
7         6         0.895295
7         7         0
7         8         0
7         9         -3.19637e-05
7         10        -3.19637e-05
7         11        -0.613445
7         12        -0.613445
7         13        -0.752082
7         14        -0.752082
8         1         0.941373
8         2         0.941373
8         3         0.922319
8         4         0.922319
8         5         0.895295
8         6         0.895295
8         7         0
8         8         0
8         9         -3.19637e-05
8         10        -3.19637e-05
8         11        -0.613445
8         12        -0.613445
8         13        -0.752082
8         14        -0.752082
9         1         0.941405
9         2         0.941405
9         3         0.922351
9         4         0.922351
9         5         0.895327
9         6         0.895327
9         7         3.19637e-05
9         8         3.19637e-05
9         9         0
9         10        0
9         11        -0.613413
9         12        -0.613413
9         13        -0.75205
9         14        -0.75205
10        1         0.941405
10        2         0.941405
10        3         0.922351
10        4         0.922351
10        5         0.895327
10        6         0.895327
10        7         3.19637e-05
10        8         3.19637e-05
10        9         0
10        10        0
10        11        -0.613413
10        12        -0.613413
10        13        -0.75205
10        14        -0.75205
11        1         1.55482
11        2         1.55482
11        3         1.53576
11        4         1.53576
11        5         1.50874
11        6         1.50874
11        7         0.613445
11        8         0.613445
11        9         0.613413
11        10        0.613413
11        11        0
11        12        0
11        13        -0.138637
11        14        -0.138637
12        1         1.55482
12        2         1.55482
12        3         1.53576
12        4         1.53576
12        5         1.50874
12        6         1.50874
12        7         0.613445
12        8         0.613445
12        9         0.613413
12        10        0.613413
12        11        0
12        12        0
12        13        -0.138637
12        14        -0.138637
13        1         1.69345
13        2         1.69345
13        3         1.6744
13        4         1.6744
13        5         1.64738
13        6         1.64738
13        7         0.752082
13        8         0.752082
13        9         0.75205
13        10        0.75205
13        11        0.138637
13        12        0.138637
13        13        0
13        14        -4.88498e-14
14        1         1.69345
14        2         1.69345
14        3         1.6744
14        4         1.6744
14        5         1.64738
14        6         1.64738
14        7         0.752082
14        8         0.752082
14        9         0.75205
14        10        0.75205
14        11        0.138637
14        12        0.138637
14        13        4.88498e-14
14        14        0
