mode,chi2_1550_pm_per_V,peak_chi2_pm_per_V,peak_wavelength_nm,FWHM_nm,relative_spectrum_RMSE_vs_23D,max_relative_deviation_vs_23D,max_relative_deviation_wavelength_nm,relative_deviation_denominator_floor,N_k,fraction_of_bz,kmax_per_nm,role,max_complex_relative_change_vs_finest,converged_vs_finest
23A,18.047578115110856,45.10525809538979,1502.0,270.9662139945658,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),101,0.1,0.5557144392322634,grid_convergence,0.023970179082672405,False
23B,25.78836287256162,74.05902968056238,1502.0,172.13491629214695,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),101,0.1,0.5557144392322634,grid_convergence,0.00756884773390602,False
23C,26.70656658602331,83.05986527462987,1503.0,165.95494651892295,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),101,0.1,0.5557144392322634,grid_convergence,0.006783394926408447,False
23D,26.481273190573706,81.48836803987581,1503.0,166.37466473881705,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),101,0.1,0.5557144392322634,grid_convergence,0.006380658817411255,False
23A,18.04854550662592,45.105996823520556,1502.0,270.9309906114322,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),201,0.1,0.5557144392322634,grid_convergence,0.0031926261640354133,False
23B,25.789686004097685,74.06219580054821,1502.0,172.10836642238405,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),201,0.1,0.5557144392322634,grid_convergence,0.0011485340581268478,False
23C,26.704595095215936,83.04906495060192,1503.0,165.95250635375123,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),201,0.1,0.5557144392322634,grid_convergence,0.0010552703183587388,False
23D,26.4820970473105,81.49032673700329,1503.0,166.35327320016745,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),201,0.1,0.5557144392322634,grid_convergence,0.0009653918052265353,True
23A,18.04870137146937,45.10599524491319,1502.0,270.92465182402793,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.1,0.5557144392322634,grid_convergence,0.0,True
23B,25.79000120068652,74.06315514170603,1502.0,172.1021466445343,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.1,0.5557144392322634,grid_convergence,0.0,True
23C,26.703819586994452,83.04521241059568,1503.0,165.95541871456408,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.1,0.5557144392322634,grid_convergence,0.0,True
23D,26.482246954799976,81.49066896092887,1503.0,166.3493091689527,0.0,0.0,400.0,1e-6 times max(|chi2_23D|),301,0.1,0.5557144392322634,grid_convergence,0.0,True
