mode,context,wavelength_nm,entry,group,real_pm_per_V,imag_pm_per_V,abs_pm_per_V
23A,1550_nm,1550.0,C_m1_n1_l1,electron_side,23.19226495306961,-466.93030962918453,467.50593066191095
23A,1550_nm,1550.0,C_m1_n1_l2,electron_side,-0.17758293390750765,2.7825750843860146,2.788235965384034
23A,1550_nm,1550.0,V_m1_n1_l1,heavy_hole_side_signed,-23.058966016929052,464.2465996228006,464.81891223905984
23A,1550_nm,1550.0,V_m1_n1_l2,heavy_hole_side_signed,-0.04281590978889663,0.7897036744821542,0.7908635126377161
23A,1550_nm,1550.0,C_m1_n2_l1,electron_side,-3.2942735801251475,0.41452752672608145,3.3202517210483
23A,1550_nm,1550.0,C_m1_n2_l2,electron_side,4.405294325022873,-0.5463153192975992,4.439040269943264
23A,1550_nm,1550.0,V_m1_n2_l1,heavy_hole_side_signed,-2.9865783419973453,0.3703755935778713,3.0094564747152885
23A,1550_nm,1550.0,V_m1_n2_l2,heavy_hole_side_signed,1.4917370642934118,-0.18433672871739643,1.5030833305379172
23A,1550_nm,1550.0,C_m2_n1_l1,electron_side,0.027982640562655755,-0.1141454563905119,0.11752537337722882
23A,1550_nm,1550.0,C_m2_n1_l2,electron_side,0.05138749685896249,-0.19896648748463286,0.20549534781936657
23A,1550_nm,1550.0,V_m2_n1_l1,heavy_hole_side_signed,-0.20614505686549633,0.856851352664445,0.881300190078822
23A,1550_nm,1550.0,V_m2_n1_l2,heavy_hole_side_signed,-0.027994995641195175,0.1141958546392212,0.11757726394899941
23A,1550_nm,1550.0,C_m2_n2_l1,electron_side,0.1400190056673333,-0.007576208551019619,0.1402238242385268
23A,1550_nm,1550.0,C_m2_n2_l2,electron_side,55.260509816407165,-2.9313932617717215,55.33820571381397
23A,1550_nm,1550.0,V_m2_n2_l1,heavy_hole_side_signed,0.960727061592825,-0.051232865518306706,0.9620921439165797
23A,1550_nm,1550.0,V_m2_n2_l2,heavy_hole_side_signed,-37.69718438064791,1.9997150342682468,37.750186363074334
23A,1550_nm,1550.0,electron_side_subtotal,subtotal,79.60560172355594,-467.5316037515679,474.2603212712218
23A,1550_nm,1550.0,heavy_hole_side_subtotal_signed,subtotal,-61.567220575983654,468.1418715381968,472.17299217208244
23A,1550_nm,1550.0,final_electron_minus_heavy_hole,final,18.038381147572068,0.6102677866289681,18.048701371469374
23A,mode_spectral_peak,1502.0,C_m1_n1_l1,electron_side,-88.22241199435287,-452.9392014209596,461.45109617591976
23A,mode_spectral_peak,1502.0,C_m1_n1_l2,electron_side,0.4870927877820721,2.7101769055971614,2.7536009593878186
23A,mode_spectral_peak,1502.0,V_m1_n1_l1,heavy_hole_side_signed,87.71534838127396,450.33590614954676,458.7988782780333
23A,mode_spectral_peak,1502.0,V_m1_n1_l2,heavy_hole_side_signed,0.1456805961309575,0.767041291298555,0.7807529562198442
23A,mode_spectral_peak,1502.0,C_m1_n2_l1,electron_side,-1.7800161884331998,3.5355113437272516,3.958320109934053
23A,mode_spectral_peak,1502.0,C_m1_n2_l2,electron_side,2.4273785352528763,-4.678890289047535,5.271070184540301
23A,mode_spectral_peak,1502.0,V_m1_n2_l1,heavy_hole_side_signed,-1.6456462670466039,3.1720632881387574,3.5735328654151326
23A,mode_spectral_peak,1502.0,V_m1_n2_l2,heavy_hole_side_signed,0.8257812257969356,-1.5803364909313669,1.7830810574530693
23A,mode_spectral_peak,1502.0,C_m2_n1_l1,electron_side,-0.002961821930726283,-0.1113829572360961,0.11142232968219316
23A,mode_spectral_peak,1502.0,C_m2_n1_l2,electron_side,-0.0024849659907034347,-0.1949402735237224,0.19495611120834005
23A,mode_spectral_peak,1502.0,V_m2_n1_l1,heavy_hole_side_signed,0.02624492702273966,0.8349263498494293,0.8353387372002573
23A,mode_spectral_peak,1502.0,V_m2_n1_l2,heavy_hole_side_signed,0.002963129653723055,0.11143213576810505,0.11147152559818212
23A,mode_spectral_peak,1502.0,C_m2_n2_l1,electron_side,0.30268323263098607,-0.17404459599432226,0.3491542076372136
23A,mode_spectral_peak,1502.0,C_m2_n2_l2,electron_side,118.54657214734664,-67.37650436396342,136.35572268223012
23A,mode_spectral_peak,1502.0,V_m2_n2_l1,heavy_hole_side_signed,2.0651603410962536,-1.1773524910354878,2.3771929081553864
23A,mode_spectral_peak,1502.0,V_m2_n2_l2,heavy_hole_side_signed,-80.8691776963207,45.96237921745965,93.01808536305539
23A,mode_spectral_peak,1502.0,electron_side_subtotal,subtotal,31.755851732305075,-519.2292756514003,520.1994567593491
23A,mode_spectral_peak,1502.0,heavy_hole_side_subtotal_signed,subtotal,8.26635463760725,498.4260594500944,498.49460313823226
23A,mode_spectral_peak,1502.0,final_electron_minus_heavy_hole,final,40.022206369912425,-20.8032162013058,45.10599524491319
23B,1550_nm,1550.0,C_m1_n1_l1,electron_side,-105.59574366186443,-679.1054757646007,687.2661117012585
23B,1550_nm,1550.0,C_m1_n1_l2,electron_side,0.5659026563958756,4.103227424076678,4.14206725080736
23B,1550_nm,1550.0,V_m1_n1_l1,heavy_hole_side_signed,104.98882578128818,675.2022762439976,683.3160084353427
23B,1550_nm,1550.0,V_m1_n1_l2,heavy_hole_side_signed,0.17120383994559227,1.1585245060114395,1.1711062231246
23B,1550_nm,1550.0,C_m1_n2_l1,electron_side,-4.718618455256538,0.6678375409306836,4.76564445876567
23B,1550_nm,1550.0,C_m1_n2_l2,electron_side,6.341112505739044,-0.8840435027342949,6.402440216446134
23B,1550_nm,1550.0,V_m1_n2_l1,heavy_hole_side_signed,-4.298970256365429,0.5993391096827579,4.340547503888186
23B,1550_nm,1550.0,V_m1_n2_l2,heavy_hole_side_signed,2.1542226873850128,-0.29894664409340194,2.1748665436892933
23B,1550_nm,1550.0,C_m2_n1_l1,electron_side,0.01069723205612386,-0.1785351741179519,0.17885535823952817
23B,1550_nm,1550.0,C_m2_n1_l2,electron_side,0.023868219175652645,-0.3143414593042624,0.3152463242040266
23B,1550_nm,1550.0,V_m2_n1_l1,heavy_hole_side_signed,-0.06953939803075739,1.3310955720892657,1.3329107809280145
23B,1550_nm,1550.0,V_m2_n1_l2,heavy_hole_side_signed,-0.01070195516800856,0.17861400213610604,0.17893432762747052
23B,1550_nm,1550.0,C_m2_n2_l1,electron_side,0.1956618583375356,-0.012203327141046357,0.19604204651403037
23B,1550_nm,1550.0,C_m2_n2_l2,electron_side,77.63227963726605,-4.756355755642624,77.77784878583945
