relative_path,size_bytes
kmax_y_n301_k0075\bias_00000\bandedges.dat,100544
kmax_y_n301_k0075\bias_00000\bandgap.dat,19468
kmax_y_n301_k0075\bias_00000\bias_points.log,54
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\energy_spectrum_k00000.dat,357
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0001_cb1.dat,21790
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0001_cb2.dat,21831
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0001_hh1.dat,21173
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0001_hh2.dat,21090
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0001_lh1.dat,21851
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0001_lh2.dat,21948
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0001_s1.dat,21802
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0001_s2.dat,21808
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0001_so1.dat,21834
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0001_so2.dat,21788
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0001_x1.dat,21872
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0001_x2.dat,21789
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0001_y1.dat,21267
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0001_y2.dat,21072
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0001_z1.dat,21088
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0001_z2.dat,21827
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0002_cb1.dat,21829
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0002_cb2.dat,21830
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0002_hh1.dat,21349
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0002_hh2.dat,21244
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0002_lh1.dat,21753
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0002_lh2.dat,21865
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0002_s1.dat,21830
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0002_s2.dat,21822
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0002_so1.dat,21836
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0002_so2.dat,21787
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0002_x1.dat,21881
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0002_x2.dat,21808
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0002_y1.dat,21039
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0002_y2.dat,21251
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0002_z1.dat,21261
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0002_z2.dat,21780
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0003_cb1.dat,21511
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0003_cb2.dat,21515
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0003_hh1.dat,21731
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0003_hh2.dat,21852
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0003_lh1.dat,21126
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0003_lh2.dat,21125
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0003_s1.dat,21870
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0003_s2.dat,21467
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0003_so1.dat,21615
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0003_so2.dat,21599
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0003_x1.dat,21966
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0003_x2.dat,21355
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0003_y1.dat,21528
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0003_y2.dat,21320
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0003_z1.dat,21238
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0003_z2.dat,21959
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0004_cb1.dat,21703
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0004_cb2.dat,21696
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0004_hh1.dat,21948
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0004_hh2.dat,21776
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0004_lh1.dat,21276
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0004_lh2.dat,21276
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0004_s1.dat,21864
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0004_s2.dat,21648
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0004_so1.dat,21650
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0004_so2.dat,21657
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0004_x1.dat,21977
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0004_x2.dat,21516
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0004_y1.dat,21037
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0004_y2.dat,21542
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0004_z1.dat,21307
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0004_z2.dat,21955
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0005_cb1.dat,21837
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0005_cb2.dat,21877
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0005_hh1.dat,21119
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0005_hh2.dat,21406
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0005_lh1.dat,21693
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0005_lh2.dat,21701
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0005_s1.dat,21810
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0005_s2.dat,21845
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0005_so1.dat,21864
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0005_so2.dat,21799
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0005_x1.dat,21864
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0005_x2.dat,21956
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0005_y1.dat,21643
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0005_y2.dat,21138
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0005_z1.dat,21413
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0005_z2.dat,21879
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0006_cb1.dat,21875
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0006_cb2.dat,21836
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0006_hh1.dat,21663
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0006_hh2.dat,21377
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0006_lh1.dat,21702
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0006_lh2.dat,21705
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0006_s1.dat,21857
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0006_s2.dat,21853
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0006_so1.dat,21867
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0006_so2.dat,21849
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0006_x1.dat,21765
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0006_x2.dat,21966
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0006_y1.dat,21389
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0006_y2.dat,21670
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0006_z1.dat,21372
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0006_z2.dat,21678
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0007_cb1.dat,21458
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0007_cb2.dat,21472
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0007_hh1.dat,21878
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0007_hh2.dat,21819
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0007_lh1.dat,21667
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0007_lh2.dat,21681
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0007_s1.dat,21711
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0007_s2.dat,21436
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0007_so1.dat,21636
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0007_so2.dat,21635
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0007_x1.dat,21719
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0007_x2.dat,21537
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0007_y1.dat,21851
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0007_y2.dat,21790
kmax_y_n301_k0075\bias_00000\Quantum\acqw\kp8\envelope_k00000_0007_z1.dat,21785
