case,description,representation,well_1_nm,central_barrier_nm,well_2_nm,asymmetry_s,left_grading_nm,right_grading_nm,overlap,realized_peak_xAl,max_composition_error,rms_composition_error,E1_eV,E2_eV,HH1_eV,HH2_eV,E2_minus_E1_meV,HH1_minus_HH2_meV,transition_e1_hh1_eV,transition_e2_hh2_eV,delta_E1_meV_vs_reference,delta_E2_meV_vs_reference,delta_HH1_meV_vs_reference,delta_HH2_meV_vs_reference,E1_left_probability,E1_barrier_probability,E1_right_probability,E1_outside_probability,E1_localization,E2_left_probability,E2_barrier_probability,E2_right_probability,E2_outside_probability,E2_localization,HH1_left_probability,HH1_barrier_probability,HH1_right_probability,HH1_outside_probability,HH1_localization,HH2_left_probability,HH2_barrier_probability,HH2_right_probability,HH2_outside_probability,HH2_localization,chi2_at_1550,peak_chi2,peak_wavelength_nm,detuning_from_1550_nm,chi2_units,reference_case,spectrum_path,wavefunction_csv_path,raw_output_dir
case_01,Paper-like 7.10 / 1.80 / 2.90 nm with 0.70 nm linear grades; the reference every energy shift is measured against.,native_linear,7.1,1.8,2.9000000000000004,0.41999999999999993,0.7,0.7,False,0.55,3.0558888752807434e-13,3.8978035358686605e-14,2.940621466572,3.058949037294,1.447962258846,1.413365572815,118.32757072200017,34.596686030999855,1.492659207726,1.645583464479,0.0,0.0,0.0,0.0,0.9613189955868697,0.01962400059166209,0.00428399246948042,0.01477301135198772,0.9570350031173893,0.08582934725452793,0.1075304965929357,0.7340715852640805,0.07256857088845592,-0.6482422380095525,0.9953478868039505,0.002336722329499269,4.49853983554174e-05,0.0022704054681947916,0.9953029014055951,0.9653860864648572,0.011554572484040813,0.0130009282227331,0.010058412828368835,0.9523851582421241,19.40022731300329,47.082028611780785,1505.0,-45.0,pm/V,case_01,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_01\physics\optical\parsed\chi2_focused.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_01\physics\wavefunctions.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\p01
case_02,Case 01's layer geometry with abrupt interfaces and no grading.,abrupt,7.1,1.8,2.9000000000000004,0.41999999999999993,0.0,0.0,False,0.55,0.0,0.0,2.937986086841,3.048057749389,1.448521135589,1.41546399868,110.07166254800005,33.05713690900003,1.4894649512520002,1.6325937507090003,-2.6353797309996985,-10.891287904999825,0.5588767430000363,2.0984258649998644,0.9583751056677753,0.020890909591406336,0.005012745115025385,0.01572123962579297,0.9533623605527499,0.07679160092758062,0.10317480694739965,0.7468421465130525,0.07319144561196722,-0.6700505455854718,0.9948038760129743,0.0026026826436662412,5.8079122141350254e-05,0.002535362221218196,0.9947457968908329,0.9327562606829803,0.013406285098618171,0.04279215594626971,0.011045298272131743,0.8899641047367106,30.99419558736484,63.739859967577544,1517.0,-33.0,pm/V,case_01,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_02\physics\optical\parsed\chi2_focused.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_02\physics\wavefunctions.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\p02
case_03,0.85 nm central barrier with 0.40 nm grades; strongest coupling.,native_linear,7.1,0.85,2.9000000000000004,0.41999999999999993,0.4,0.4,False,0.55,4.782285678572862e-13,5.11804985561164e-14,2.936169035137,3.042814844502,1.448421932344,1.416879406953,106.64580936499979,31.542525390999998,1.487747102793,1.6259354375489998,-4.452431434999848,-16.134192792000235,0.4596734980000239,3.5138341379998828,0.9262713661523786,0.02482653268897879,0.03393175498292407,0.014970346175718574,0.8923396111694545,0.2574196718000072,0.08128733697798217,0.5963016127289976,0.06499137849301306,-0.33888194092899043,0.9923994196437524,0.003203325772043288,0.0019859861912877785,0.002411268392916499,0.9904134334524647,0.6927238791566276,0.027838199617784196,0.26721262238632804,0.012225298839260157,0.42551125677029955,52.339111107277446,99.1972445648309,1523.0,-27.0,pm/V,case_01,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_03\physics\optical\parsed\chi2_focused.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_03\physics\wavefunctions.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\p03
case_04,2.50 nm central barrier with reference 0.70 nm grades.,native_linear,7.1,2.5,2.9000000000000004,0.41999999999999993,0.7,0.7,False,0.55,2.932654119547351e-13,3.7347731301906464e-14,2.940968927549,3.061597485217,1.447959611619,1.413290973424,120.62855766799973,34.6686381950001,1.49300931593,1.6483065117929998,0.3474609770002246,2.648447922999786,-0.00264722699983011,-0.07459939100007418,0.9660119117917965,0.01819654028842491,0.0009690984190344074,0.014822449500744184,0.9650428133727621,0.02978177032414069,0.10614528443094576,0.7882212313005805,0.07585171394433299,-0.7584394609764399,0.9954245684518261,0.0023011410645047,3.2100626846435724e-06,0.0022710804209845614,0.9954213583891415,0.9785900178262164,0.010294995392646212,0.0011442143767439908,0.00997077240439348,0.9774458034494724,6.0447327081192475,15.188432578263008,1502.0,-48.0,pm/V,case_01,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_04\physics\optical\parsed\chi2_focused.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_04\physics\wavefunctions.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\p04
case_05,The fixed 10 nm GaAs total redistributed as s=0.30 (6.50 / 3.50 nm).,native_linear,6.5,1.8,3.5,0.3,0.7,0.7,False,0.55,3.03368441478824e-13,3.820250464065329e-14,2.948306827365,3.029481535736,1.445977915944,1.421000483464,81.17470837099994,24.97743248000006,1.5023289114210001,1.6084810522720001,7.6853607930003065,-29.46750155799993,-1.9843429019998915,7.634910648999904,0.947938385617537,0.02486009752875641,0.009458314317917903,0.01774320253578876,0.9384800712996191,0.031202332700924477,0.06972459314401165,0.8413724679066871,0.05770060624837681,-0.8101701352057626,0.9940336434561479,0.002981754481367336,9.67774452124363e-05,0.0028878246172723276,0.9939368660109354,0.0014145206440989893,0.015348329878054828,0.9685784432277099,0.014658706250136211,-0.967163922583611,6.795735829340379,8.65626954153918,1539.0,-11.0,pm/V,case_01,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_05\physics\optical\parsed\chi2_focused.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_05\physics\wavefunctions.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\p05
case_06,The fixed 10 nm GaAs total redistributed as s=0.55 (7.75 / 2.25 nm).,native_linear,7.75,1.8,2.25,0.55,0.7,0.7,False,0.55,3.03368441478824e-13,3.929371659570784e-14,2.93366470611,3.07818450536,1.449662776649,1.419960008023,144.5197992499998,29.702768626000076,1.484001929461,1.658224497337,-6.956760461999778,19.23546806599985,1.7005178030000678,6.594435207999849,0.9701061044576675,0.015609883501830193,0.0020400919206953424,0.012243920119806906,0.9680660125369722,0.6552410833986391,0.11076470655838787,0.1780934521413403,0.055900757901632736,0.47714763125729875,0.9963599996376818,0.0018326688494728954,2.1981291124057697e-05,0.0017853502217212158,0.9963380183465578,0.983746340549817,0.00812866995775562,0.0003878530829303678,0.007737136409497025,0.9833584874668867,22.671614346927026,62.49314023478921,1493.0,-57.0,pm/V,case_01,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_06\physics\optical\parsed\chi2_focused.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_06\physics\wavefunctions.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\p06
case_07,"Independent 0.40 / 1.40 nm grades on a 2.50 nm barrier, non-overlapping.",native_linear,7.1,2.5,2.9000000000000004,0.41999999999999993,0.4,1.4,False,0.55,4.782285678572862e-13,3.847146503626643e-14,2.942530607282,3.06872282092,1.447483484815,1.411569303227,126.19221363800025,35.91418158799997,1.495047122467,1.6571535176930001,1.9091407100000346,9.773783626000121,-0.47877403099994,-1.7962695880000545,0.9662839829088953,0.02018299428625057,0.0009857014388710654,0.012547321365983133,0.9652982814700242,0.03462304713115417,0.1051552277854142,0.7789855827010563,0.08123614238237531,-0.7443625355699022,0.9956604320830034,0.002750191344542745,3.1351414801609693e-06,0.001586241430973745,0.9956572969415232,0.9797707767131248,0.011779332920589393,0.0005959239122485067,0.007853966454037242,0.9791748528008763,5.795114929875595,15.743991840806446,1494.0,-56.0,pm/V,case_01,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_07\physics\optical\parsed\chi2_focused.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_07\physics\wavefunctions.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\p07
case_08,1.40 / 1.40 nm grades across a 0.85 nm barrier; the grades overlap and the barrier never reaches Al0.55.,imported_profile,7.1,0.85,2.9000000000000004,0.41999999999999993,1.4,1.4,True,0.26714286,0.003928572142877618,0.00046899601450688593,2.942589002036,3.063394895581,1.44670276962,1.40998261678,120.80589354500005,36.720152840000075,1.495886232416,1.6534122788010002,1.9675354640003029,4.445858287000171,-1.2594892259998325,-3.382956035000051,0.9366533173365663,0.02332460416457744,0.026895034167909237,0.013127044330947024,0.909758283168657,0.28861875970304,0.09626315263162763,0.5528894594421593,0.0622286282231731,-0.26427069973911926,0.9940693499394113,0.0029475247322936484,0.0012396111367668431,0.0017435141915281838,0.9928297388026445,0.8837863056599471,0.02545520868319717,0.08197360385986785,0.008784881796987887,0.8018127018000792,35.11405371431059,94.14354531438279,1498.0,-52.0,pm/V,case_01,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_08\physics\optical\parsed\chi2_focused.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_08\physics\wavefunctions.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\p08
case_09,"Reference layers with 1.00 nm grades, written as native ternary_linear ramps; the native half of the equivalence pair.",native_linear,7.1,1.8,2.9000000000000004,0.41999999999999993,1.0,1.0,False,0.55,2.1183055309847987e-13,3.125843292379782e-14,2.942446296269,3.066294138589,1.447452887413,1.411511352616,123.84784232000001,35.94153479700002,1.494993408856,1.654782785973,1.824829697000041,7.345101294999878,-0.5093714330000054,-1.8542201990001672,0.962675322108784,0.019100072967803312,0.003983332747756146,0.014241272175656516,0.9586919893610278,0.09588064809084039,0.11278839600359583,0.7189196926319386,0.07241126327362524,-0.6230390445410982,0.9957616189912002,0.002135174986497562,3.7443760159060203e-05,0.002065762262143167,0.9957241752310412,0.9733946004649867,0.010718613334662126,0.006397643287187026,0.009489142913164161,0.9669969571777997,16.088670276021286,43.02013482021061,1496.0,-54.0,pm/V,case_01,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_09\physics\optical\parsed\chi2_focused.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_09\physics\wavefunctions.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\p09
case_10,The same structure as case_09 written as an imported composition table; the imported half of the equivalence pair.,imported_profile,7.1,1.8,2.9000000000000004,0.41999999999999993,1.0,1.0,False,0.55,2.1183055309847987e-13,3.128457778257521e-14,2.942446296269,3.066294138589,1.447452887413,1.411511352616,123.84784232000001,35.94153479700002,1.494993408856,1.654782785973,1.824829697000041,7.345101294999878,-0.5093714330000054,-1.8542201990001672,0.962675322108782,0.019100072967805623,0.0039833327477563005,0.014241272175656072,0.9586919893610257,0.09588064809086515,0.1127883960036013,0.7189196926319089,0.07241126327362468,-0.6230390445410438,0.9957616189912001,0.002135174986498019,3.744376015909824e-05,0.002065762262142834,0.995724175231041,0.9733946004649878,0.010718613334660891,0.006397643287186736,0.009489142913164494,0.9669969571778011,16.088670276024043,43.02013482021806,1496.0,-54.0,pm/V,case_01,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_10\physics\optical\parsed\chi2_focused.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\cases\case_10\physics\wavefunctions.csv,C:\nn_results\16E_acqw_structure_physics_optical_comparison\demo16e_20260809T170442Z_95aacf20_f36004\p10
