case_id,name,status,representation,asymmetry_s,requested_well_1_nm,realized_well_1_nm,requested_barrier_nm,realized_barrier_nm,requested_well_2_nm,realized_well_2_nm,realized_total_well_nm,requested_left_grading_nm,requested_right_grading_nm,realized_left_grading_nm,realized_right_grading_nm,overlap,render_method,expected_peak_al,realized_peak_al,max_abs_al_error,rms_al_error,gated_max_abs_al_error
case_01,reference_graded,structure_passed,native_linear,0.420000,7.100000,7.100000,1.800000,1.800000,2.900000,2.900000,10.000000,0.700000,0.700000,0.700000,0.700000,false,ternary_linear,0.550000,0.550000,3.056e-13,3.898e-14,3.056e-13
case_02,abrupt_reference,structure_passed,abrupt,0.420000,7.100000,7.100000,1.800000,1.800000,2.900000,2.900000,10.000000,0.000000,0.000000,0.040000,0.040000,false,ternary_linear,0.550000,0.550000,0.000e+00,0.000e+00,0.000e+00
case_03,thin_barrier,structure_passed,native_linear,0.420000,7.100000,7.100000,0.850000,0.850000,2.900000,2.900000,10.000000,0.400000,0.400000,0.400000,0.400000,false,ternary_linear,0.550000,0.550000,4.782e-13,5.118e-14,4.782e-13
case_04,thick_barrier,structure_passed,native_linear,0.420000,7.100000,7.100000,2.500000,2.500000,2.900000,2.900000,10.000000,0.700000,0.700000,0.700000,0.700000,false,ternary_linear,0.550000,0.550000,2.933e-13,3.735e-14,2.933e-13
case_05,low_asymmetry,structure_passed,native_linear,0.300000,6.500000,6.500000,1.800000,1.800000,3.500000,3.500000,10.000000,0.700000,0.700000,0.700000,0.700000,false,ternary_linear,0.550000,0.550000,3.034e-13,3.820e-14,3.034e-13
case_06,high_asymmetry,structure_passed,native_linear,0.550000,7.750000,7.750000,1.800000,1.800000,2.250000,2.250000,10.000000,0.700000,0.700000,0.700000,0.700000,false,ternary_linear,0.550000,0.550000,3.034e-13,3.929e-14,3.034e-13
case_07,asymmetric_grading,structure_passed,native_linear,0.420000,7.100000,7.100000,2.500000,2.500000,2.900000,2.900000,10.000000,0.400000,1.400000,0.400000,1.400000,false,ternary_linear,0.550000,0.550000,4.782e-13,3.847e-14,4.782e-13
case_08,controlled_overlap,structure_passed,imported_profile,0.420000,7.100000,6.650000,0.850000,1.750000,2.900000,2.450000,9.100000,1.400000,1.400000,0.680000,0.680000,true,ternary_import,0.267143,0.267143,3.929e-03,4.690e-04,3.929e-03
case_09,native_linear_wide_grade,structure_passed,native_linear,0.420000,7.100000,7.100000,1.800000,1.800000,2.900000,2.900000,10.000000,1.000000,1.000000,1.000000,1.000000,false,ternary_linear,0.550000,0.550000,2.118e-13,3.126e-14,2.118e-13
case_10,imported_linear_equivalent,structure_passed,imported_profile,0.420000,7.100000,7.100000,1.800000,1.800000,2.900000,2.900000,10.000000,1.000000,1.000000,1.000000,1.000000,false,ternary_import,0.550000,0.550000,2.118e-13,3.128e-14,2.118e-13
