x[nm]                Alloy_x[]            Alloy_y[]            Alloy_z[]           
0.25115356162604     0.55                 0                    0
0.74090835946888     0.55                 0                    0
1.2061858552442      0.55                 0                    0
1.6482093923866      0.55                 0                    0
2.0681411732312      0.55                 0                    0
2.4670853147658      0.55                 0                    0
2.8460907516599      0.55                 0                    0
3.2061539942051      0.55                 0                    0
3.548221748416       0.55                 0                    0
3.8731934051834      0.55                 0                    0
4.1819234050214      0.55                 0                    0
4.4752234846287      0.55                 0                    0
4.7538648111689      0.55                 0                    0
5.0185800098829      0.55                 0                    0
5.2700650903637      0.55                 0                    0
5.5089812765579      0.55                 0                    0
5.7359567453073      0.55                 0                    0
5.9515882779993      0.55                 0                    0
6.156442829671       0.55                 0                    0
6.3510590196905      0.55                 0                    0
6.535948547937       0.55                 0                    0
6.7115975402012      0.55                 0                    0
6.8784678263445      0.55                 0                    0
7.0369981545783      0.55                 0                    0
7.1876053450538      0.55                 0                    0
7.3306853857984      0.55                 0                    0
7.4666144738774      0.55                 0                    0
7.5957500045204      0.55                 0                    0
7.7184315108127      0.55                 0                    0
7.8349815564212      0.55                 0                    0
7.9457065837045      0.55                 0                    0
8.0508977194338      0.55                 0                    0
8.1508315402468      0.55                 0                    0
8.2457707998435      0.55                 0                    0
8.3359651198389      0.55                 0                    0
8.4216516460872      0.55                 0                    0
8.5030556722042      0.55                 0                    0
8.5803912319262      0.55                 0                    0
8.6538616618645      0.52037608597454     0                    0
8.7236601361332      0.48198692512674     0                    0
8.7899701742578      0.44551640415819     0                    0
8.8529661236989      0.41086863196563     0                    0
8.9128136182594      0.37795250995733     0                    0
8.9696700135826      0.3466814925296      0                    0
9.0236848008828      0.31697335951445     0                    0
9.075                0.28875              0                    0
9.125                0.26125              0                    0
9.175                0.23375              0                    0
9.225                0.20625              0                    0
9.275                0.17875              0                    0
9.325                0.15125              0                    0
9.375                0.12375              0                    0
9.425                0.096249999999997    0                    0
9.475                0.068749999999998    0                    0
9.525                0.041249999999998    0                    0
9.575                0.013749999999997    0                    0
9.625                0                    0                    0
9.675                0                    0                    0
9.725                0                    0                    0
9.775                0                    0                    0
9.825                0                    0                    0
9.875                0                    0                    0
9.925                0                    0                    0
9.975                0                    0                    0
10.025               0                    0                    0
10.075               0                    0                    0
10.125               0                    0                    0
10.175               0                    0                    0
10.225               0                    0                    0
10.275               0                    0                    0
10.325               0                    0                    0
10.375               0                    0                    0
10.425               0                    0                    0
10.475               0                    0                    0
10.525               0                    0                    0
10.575               0                    0                    0
10.625               0                    0                    0
10.675               0                    0                    0
10.725               0                    0                    0
10.775               0                    0                    0
10.825               0                    0                    0
10.875               0                    0                    0
10.925               0                    0                    0
10.975               0                    0                    0
11.025               0                    0                    0
11.075               0                    0                    0
11.125               0                    0                    0
11.175               0                    0                    0
11.225               0                    0                    0
11.275               0                    0                    0
11.325               0                    0                    0
11.375               0                    0                    0
11.425               0                    0                    0
11.475               0                    0                    0
11.525               0                    0                    0
11.575               0                    0                    0
11.625               0                    0                    0
11.675               0                    0                    0
11.725               0                    0                    0
11.775               0                    0                    0
11.825               0                    0                    0
11.875               0                    0                    0
11.925               0                    0                    0
11.975               0                    0                    0
12.025               0                    0                    0
12.075               0                    0                    0
12.125               0                    0                    0
12.175               0                    0                    0
12.225               0                    0                    0
12.275               0                    0                    0
12.325               0                    0                    0
12.375               0                    0                    0
12.425               0                    0                    0
12.475               0                    0                    0
12.525               0                    0                    0
12.575               0                    0                    0
12.625               0                    0                    0
12.675               0                    0                    0
12.725               0                    0                    0
12.775               0                    0                    0
12.825               0                    0                    0
12.875               0                    0                    0
12.925               0                    0                    0
12.975               0                    0                    0
13.025               0                    0                    0
13.075               0                    0                    0
13.125               0                    0                    0
13.175               0                    0                    0
13.225               0                    0                    0
13.275               0                    0                    0
13.325               0                    0                    0
13.375               0                    0                    0
13.425               0                    0                    0
13.475               0                    0                    0
13.525               0                    0                    0
13.575               0                    0                    0
13.625               0                    0                    0
13.675               0                    0                    0
13.725               0                    0                    0
13.775               0                    0                    0
13.825               0                    0                    0
13.875               0                    0                    0
13.925               0                    0                    0
13.975               0                    0                    0
14.025               0                    0                    0
14.075               0                    0                    0
14.125               0                    0                    0
14.175               0                    0                    0
14.225               0                    0                    0
14.275               0                    0                    0
14.325               0                    0                    0
14.375               0                    0                    0
14.425               0                    0                    0
14.475               0                    0                    0
14.525               0                    0                    0
14.575               0                    0                    0
14.625               0                    0                    0
14.675               0                    0                    0
14.725               0                    0                    0
14.775               0                    0                    0
14.825               0                    0                    0
14.875               0                    0                    0
14.925               0                    0                    0
14.975               0                    0                    0
15.025               0                    0                    0
15.075               0                    0                    0
15.125               0                    0                    0
15.175               0                    0                    0
15.225               0                    0                    0
15.275               0                    0                    0
15.325               0                    0                    0
15.375               0                    0                    0
15.425               0                    0                    0
15.475               0                    0                    0
15.525               0                    0                    0
15.575               0                    0                    0
15.625               0                    0                    0
