|Gamma_i>     |Gamma_j>     |<Gamma_i|eps.d|Gamma_j>|[e*nm]     |<Gamma_i|eps.d|Gamma_j>|^2[e^2*nm^2]     Re<Gamma_i|eps.d|Gamma_j>[e*nm]     Im<Gamma_i|eps.d|Gamma_j>[e*nm]
1             1             0                                   0                                         0                                   0
1             2             1.02517                             1.05098                                   1.02517                             0
1             3             1.50619                             2.26862                                   -1.50619                            0
1             4             0.0287295                           0.000825386                               -0.0287295                          0
1             5             0.00974823                          9.5028e-05                                -0.00974823                         0
1             6             0.107509                            0.0115583                                 -0.107509                           0
2             1             1.02517                             1.05098                                   1.02517                             0
2             2             0                                   0                                         0                                   0
2             3             2.05917                             4.24017                                   2.05917                             0
2             4             0.147926                            0.0218821                                 -0.147926                           0
2             5             0.796158                            0.633868                                  0.796158                            0
2             6             0.19089                             0.0364389                                 -0.19089                            0
3             1             1.50619                             2.26862                                   -1.50619                            0
3             2             2.05917                             4.24017                                   2.05917                             0
3             3             0                                   0                                         0                                   0
3             4             2.14403                             4.59685                                   -2.14403                            0
3             5             0.0554882                           0.00307894                                0.0554882                           0
3             6             0.0946563                           0.00895982                                -0.0946563                          0
4             1             0.0287295                           0.000825386                               -0.0287295                          0
4             2             0.147926                            0.0218821                                 -0.147926                           0
4             3             2.14403                             4.59685                                   -2.14403                            0
4             4             0                                   0                                         0                                   0
4             5             2.63315                             6.93348                                   -2.63315                            0
4             6             1.08817                             1.1841                                    -1.08817                            0
5             1             0.00974823                          9.5028e-05                                -0.00974823                         0
5             2             0.796158                            0.633868                                  0.796158                            0
5             3             0.0554882                           0.00307894                                0.0554882                           0
5             4             2.63315                             6.93348                                   -2.63315                            0
5             5             0                                   0                                         0                                   0
5             6             2.90925                             8.46371                                   -2.90925                            0
6             1             0.107509                            0.0115583                                 -0.107509                           0
6             2             0.19089                             0.0364389                                 -0.19089                            0
6             3             0.0946563                           0.00895982                                -0.0946563                          0
6             4             1.08817                             1.1841                                    -1.08817                            0
6             5             2.90925                             8.46371                                   -2.90925                            0
6             6             0                                   0                                         0                                   0
