|Gamma_i>     |HH_j>     |<Gamma_i|HH_j>|     |<Gamma_i|HH_j>|^2     <Gamma_i|HH_j>
1             1          0.982276             0.964865               0.982276
1             2          0.0154033            0.000237263            0.0154033
1             3          0.0669341            0.00448018             0.0669341
1             4          0.13501              0.0182278              -0.13501
1             5          0.0151544            0.000229655            0.0151544
1             6          0.0251364            0.000631839            -0.0251364
2             1          0.08353              0.00697727             -0.08353
2             2          0.38314              0.146797               0.38314
2             3          0.878567             0.77188                0.878567
2             4          0.0383511            0.00147081             -0.0383511
2             5          0.108747             0.0118259              0.108747
2             6          0.0175244            0.000307106            0.0175244
3             1          0.0164351            0.000270112            -0.0164351
3             2          0.872251             0.760823               -0.872251
3             3          0.404714             0.163794               0.404714
3             4          0.0120613            0.000145476            -0.0120613
3             5          0.218988             0.0479559              -0.218988
3             6          0.0158624            0.000251616            -0.0158624
4             1          0.159915             0.0255729              -0.159915
4             2          0.040791             0.0016639              -0.040791
4             3          0.0739339            0.00546622             -0.0739339
4             4          0.843398             0.711321               -0.843398
4             5          0.144605             0.0209107              0.144605
4             6          0.28415              0.0807411              -0.28415
5             1          0.027187             0.000739131            -0.027187
5             2          0.170842             0.0291871              0.170842
5             3          0.0347535            0.00120781             -0.0347535
5             4          0.309784             0.0959662              -0.309784
5             5          0.566352             0.320755               -0.566352
5             6          0.627606             0.393889               0.627606
6             1          0.000522323          2.72822e-07            0.000522323
6             2          0.242267             0.0586935              0.242267
6             3          0.0831615            0.00691584             0.0831615
6             4          0.128074             0.016403               0.128074
6             5          0.545048             0.297077               -0.545048
6             6          0.552602             0.305369               -0.552602
