Gamma_i     HH_j     Gamma_i-HH_j[eV]
1           1        1.49335
1           2        1.52837
1           3        1.53443
1           4        1.58499
1           5        1.65741
1           6        1.67122
2           1        1.61322
2           2        1.64823
2           3        1.6543
2           4        1.70486
2           5        1.77728
2           6        1.79108
3           1        1.67847
3           2        1.71348
3           3        1.71955
3           4        1.77011
3           5        1.84253
3           6        1.85633
4           1        1.94312
4           2        1.97813
4           3        1.9842
4           4        2.03476
4           5        2.10718
4           6        2.12099
5           1        2.11514
5           2        2.15015
5           3        2.15622
5           4        2.20678
5           5        2.2792
5           6        2.29301
6           1        2.32443
6           2        2.35944
6           3        2.3655
6           4        2.41606
6           5        2.48848
6           6        2.50229
