band,state,energy_eV,left_boundary_probability,right_boundary_probability,boundary_probability,probability_left_outer_barrier,probability_left_well,probability_centre_barrier,probability_right_well,probability_right_outer_barrier,passes_bound_criterion,bound_criterion_detail,boundary_probability_within_threshold,within_chi2_state_window,included_in_chi2,exclusion_reason
electron,1,2.941158138088,0.0004649591944794415,5.610162994550407e-06,0.00047056935747399187,0.014609413826747136,0.9616131161510504,0.01942146158346536,0.0041797323401120585,0.00017627609862517108,True,energy below the enclosing barrier maximum and probability confined,True,True,True,
electron,2,3.061022858158,0.0001918850200432407,0.002716195771581198,0.0029080807916244387,0.004859386076930811,0.08826137302701301,0.10870851206287951,0.7293845155496094,0.06878621328356731,True,energy below the enclosing barrier maximum and probability confined,False,True,True,boundary probability 2.908e-03 > 1.0e-03
electron,3,3.126273438642,0.0025210904551333352,0.0006155371120220238,0.003136627567155359,0.05664278054175157,0.7961148765479737,0.0390870731220244,0.09432564559507144,0.013829624193179013,True,energy below the enclosing barrier maximum and probability confined,False,False,False,"state 3 is beyond max_states_per_band=2, so Eq. 2 never sees it; boundary probability 3.137e-03 > 1.0e-03"
electron,4,3.39092573757,0.00900121191917244,0.002153171361237177,0.011154383280409616,0.12265558927672136,0.6143657990252722,0.18105915168020448,0.05257913290436628,0.029340327113435784,False,energy 3.39093 eV is above the enclosing barrier maximum 3.32443 eV,False,False,False,"state 4 is beyond max_states_per_band=2, so Eq. 2 never sees it; boundary probability 1.115e-02 > 1.0e-03; fails the bound-state criterion: energy 3.39093 eV is above the enclosing barrier maximum 3.32443 eV"
electron,5,3.562945849722,0.006778717788605832,0.024919408419696608,0.03169812620830244,0.06616948877482398,0.19679888196185524,0.19147861868949373,0.3023057524461406,0.2432472581276867,False,energy 3.56295 eV is above the enclosing barrier maximum 3.32443 eV; confined probability 0.4991 < 0.5,False,False,False,"state 5 is beyond max_states_per_band=2, so Eq. 2 never sees it; boundary probability 3.170e-02 > 1.0e-03; fails the bound-state criterion: energy 3.56295 eV is above the enclosing barrier maximum 3.32443 eV; confined probability 0.4991 < 0.5"
electron,6,3.772231232409,0.03714512913882374,0.018856920650801776,0.056002049789625516,0.24204755995155505,0.42736764588587794,0.11335706542277783,0.09435100876227544,0.12287671997751362,False,energy 3.77223 eV is above the enclosing barrier maximum 3.32443 eV,False,False,False,"state 6 is beyond max_states_per_band=2, so Eq. 2 never sees it; boundary probability 5.600e-02 > 1.0e-03; fails the bound-state criterion: energy 3.77223 eV is above the enclosing barrier maximum 3.32443 eV"
heavy_hole,1,1.447805442384,1.7855341475299976e-05,2.2150940537419183e-09,1.7857556569353717e-05,0.0022063577553344833,0.995479948331418,0.0022710635886013814,4.235660879776139e-05,2.73715848615902e-07,True,"confined probability 0.9955; no valence barrier-edge profile is parsed for this band, so the energy half of the bound-state test was not applied",True,True,True,
heavy_hole,2,1.412791422186,9.974597254712664e-05,2.146677343702546e-06,0.00010189264989082919,0.009675454524664997,0.9686910194019462,0.011250592056132444,0.010174704266343143,0.00020822975091320533,True,"confined probability 0.9789; no valence barrier-edge profile is parsed for this band, so the energy half of the bound-state test was not applied",True,True,True,
heavy_hole,3,1.406726905597,1.5707018267872383e-06,0.00025060274987557596,0.0002521734517023632,0.00014598223774223062,0.011914863473145316,0.023146434805255876,0.9415015068633553,0.023291212620501336,True,"confined probability 0.9534; no valence barrier-edge profile is parsed for this band, so the energy half of the bound-state test was not applied",True,False,False,"state 3 is beyond max_states_per_band=2, so Eq. 2 never sees it"
heavy_hole,4,1.356166481403,0.00040962792614010767,1.5681055107626957e-06,0.00041119603165087036,0.02638841160674482,0.9445586659857161,0.02763225225927764,0.001319652099881311,0.00010101804838027639,True,"confined probability 0.9459; no valence barrier-edge profile is parsed for this band, so the energy half of the bound-state test was not applied",True,False,False,"state 4 is beyond max_states_per_band=2, so Eq. 2 never sees it"
heavy_hole,5,1.283746827064,0.0013418073171301797,0.00042479309855099627,0.001766600415681176,0.049466771321944894,0.7284469598393521,0.10080000957535527,0.1056259309905338,0.01566032827281399,True,"confined probability 0.8341; no valence barrier-edge profile is parsed for this band, so the energy half of the bound-state test was not applied",False,False,False,"state 5 is beyond max_states_per_band=2, so Eq. 2 never sees it; boundary probability 1.767e-03 > 1.0e-03"
heavy_hole,6,1.269939459991,0.000383775096883018,0.0032860931380264365,0.0036698682349094545,0.012661518799733889,0.15801311402028054,0.08934760914844696,0.6315628807175909,0.10841487731394771,True,"confined probability 0.7896; no valence barrier-edge profile is parsed for this band, so the energy half of the bound-state test was not applied",False,False,False,"state 6 is beyond max_states_per_band=2, so Eq. 2 never sees it; boundary probability 3.670e-03 > 1.0e-03"
