z_nm,x_al,in_grade_window
0.000000,0.5500000000,False
0.050000,0.5500000000,False
0.100000,0.5500000000,False
0.150000,0.5500000000,False
0.200000,0.5500000000,False
0.250000,0.5500000000,False
0.300000,0.5500000000,False
0.350000,0.5500000000,False
0.400000,0.5500000000,False
0.450000,0.5500000000,False
0.500000,0.5500000000,False
0.550000,0.5500000000,False
0.600000,0.5500000000,False
0.650000,0.5500000000,False
0.700000,0.5500000000,False
0.750000,0.5500000000,False
0.800000,0.5500000000,False
0.850000,0.5500000000,False
0.900000,0.5500000000,False
0.950000,0.5500000000,False
1.000000,0.5500000000,False
1.050000,0.5500000000,False
1.100000,0.5500000000,False
1.150000,0.5500000000,False
1.200000,0.5500000000,False
1.250000,0.5500000000,False
1.300000,0.5500000000,False
1.350000,0.5500000000,False
1.400000,0.5500000000,False
1.450000,0.5500000000,False
1.500000,0.5500000000,False
1.550000,0.5500000000,False
1.600000,0.5500000000,False
1.650000,0.5500000000,False
1.700000,0.5500000000,False
1.750000,0.5500000000,False
1.800000,0.5500000000,False
1.850000,0.5500000000,False
1.900000,0.5500000000,False
1.950000,0.5500000000,False
2.000000,0.5500000000,False
2.050000,0.5500000000,False
2.100000,0.5500000000,False
2.150000,0.5500000000,False
2.200000,0.5500000000,False
2.250000,0.5500000000,False
2.300000,0.5500000000,False
2.350000,0.5500000000,False
2.400000,0.5500000000,False
2.450000,0.5500000000,False
2.500000,0.5500000000,False
2.550000,0.5500000000,False
2.600000,0.5500000000,False
2.650000,0.5500000000,False
2.700000,0.5500000000,False
2.750000,0.5500000000,False
2.800000,0.5500000000,False
2.850000,0.5500000000,False
2.900000,0.5500000000,False
2.950000,0.5500000000,False
3.000000,0.5500000000,False
3.050000,0.5500000000,False
3.100000,0.5500000000,False
3.150000,0.5500000000,False
3.200000,0.5500000000,False
3.250000,0.5500000000,False
3.300000,0.5500000000,False
3.350000,0.5500000000,False
3.400000,0.5500000000,False
3.450000,0.5500000000,False
3.500000,0.5500000000,False
3.550000,0.5500000000,False
3.600000,0.5500000000,False
3.650000,0.5500000000,False
3.700000,0.5500000000,False
3.750000,0.5500000000,False
3.800000,0.5500000000,False
3.850000,0.5500000000,False
3.900000,0.5500000000,False
3.950000,0.5500000000,False
4.000000,0.5500000000,False
4.050000,0.5500000000,False
4.100000,0.5500000000,False
4.150000,0.5500000000,False
4.200000,0.5500000000,False
4.250000,0.5500000000,False
4.300000,0.5500000000,False
4.350000,0.5500000000,False
4.400000,0.5500000000,False
4.450000,0.5500000000,False
4.500000,0.5500000000,False
4.550000,0.5500000000,False
4.600000,0.5500000000,False
4.650000,0.5500000000,False
4.700000,0.5500000000,False
4.750000,0.5500000000,False
4.800000,0.5500000000,False
4.850000,0.5500000000,False
4.900000,0.5500000000,False
4.950000,0.5500000000,False
5.000000,0.5500000000,False
5.050000,0.5500000000,False
5.100000,0.5500000000,False
5.150000,0.5500000000,False
5.200000,0.5500000000,False
5.250000,0.5500000000,False
5.300000,0.5500000000,False
5.350000,0.5500000000,False
5.400000,0.5500000000,False
5.450000,0.5500000000,False
5.500000,0.5500000000,False
5.550000,0.5500000000,False
5.600000,0.5500000000,False
5.650000,0.5500000000,False
5.700000,0.5500000000,False
5.750000,0.5500000000,False
5.800000,0.5500000000,False
5.850000,0.5500000000,False
5.900000,0.5500000000,False
5.950000,0.5500000000,False
6.000000,0.5500000000,False
6.050000,0.5500000000,False
6.100000,0.5500000000,False
6.150000,0.5500000000,False
6.200000,0.5500000000,False
6.250000,0.5500000000,False
6.300000,0.5500000000,False
6.350000,0.5500000000,False
6.400000,0.5500000000,False
6.450000,0.5500000000,False
6.500000,0.5500000000,False
6.550000,0.5500000000,False
6.600000,0.5500000000,False
6.650000,0.5500000000,False
6.700000,0.5500000000,False
6.750000,0.5500000000,False
6.800000,0.5500000000,False
6.850000,0.5500000000,False
6.900000,0.5500000000,False
6.950000,0.5500000000,False
7.000000,0.5500000000,False
7.050000,0.5500000000,False
7.100000,0.5500000000,False
7.150000,0.5500000000,False
7.200000,0.5500000000,False
7.250000,0.5500000000,False
7.300000,0.5500000000,False
7.350000,0.5500000000,False
7.400000,0.5500000000,False
7.450000,0.5500000000,False
7.500000,0.5500000000,False
7.550000,0.5500000000,False
7.600000,0.5500000000,False
7.650000,0.5500000000,False
7.700000,0.5500000000,False
7.750000,0.5500000000,False
7.800000,0.5500000000,False
7.850000,0.5500000000,False
7.900000,0.5500000000,False
7.950000,0.5500000000,False
8.000000,0.5500000000,False
8.050000,0.5500000000,False
8.100000,0.5500000000,False
8.150000,0.5500000000,False
8.200000,0.5500000000,False
8.250000,0.5500000000,False
8.300000,0.5500000000,False
8.350000,0.5500000000,False
8.400000,0.5500000000,False
8.450000,0.5500000000,False
8.500000,0.5500000000,False
8.550000,0.5500000000,False
8.600000,0.5500000000,True
8.650000,0.5225000000,True
8.700000,0.4950000000,True
8.750000,0.4675000000,True
8.800000,0.4400000000,True
8.850000,0.4125000000,True
8.900000,0.3850000000,True
8.950000,0.3575000000,True
9.000000,0.3300000000,True
9.050000,0.3025000000,True
9.100000,0.2750000000,True
9.150000,0.2475000000,True
9.200000,0.2200000000,True
9.250000,0.1925000000,True
9.300000,0.1650000000,True
9.350000,0.1375000000,True
9.400000,0.1100000000,True
9.450000,0.0825000000,True
9.500000,0.0550000000,True
9.550000,0.0275000000,True
9.600000,0.0000000000,True
9.650000,0.0000000000,False
9.700000,0.0000000000,False
9.750000,0.0000000000,False
9.800000,0.0000000000,False
9.850000,0.0000000000,False
9.900000,0.0000000000,False
9.950000,0.0000000000,False
10.000000,0.0000000000,False
10.050000,0.0000000000,False
10.100000,0.0000000000,False
10.150000,0.0000000000,False
10.200000,0.0000000000,False
10.250000,0.0000000000,False
10.300000,0.0000000000,False
10.350000,0.0000000000,False
10.400000,0.0000000000,False
10.450000,0.0000000000,False
10.500000,0.0000000000,False
