symbol,row,col,value,units,computed_by,equation
O,e1,hh1,0.98227552876746438,1,Python,"trapezoid(psi_e psi_hh, z)"
O,e1,hh2,0.01540332812208936,1,Python,"trapezoid(psi_e psi_hh, z)"
O,e2,hh1,-0.083530040839295133,1,Python,"trapezoid(psi_e psi_hh, z)"
O,e2,hh2,0.3831404861807044,1,Python,"trapezoid(psi_e psi_hh, z)"
z_e,e1,e1,12.724527319464659,nm,Python,"trapezoid(psi_e z psi_e, z)"
z_e,e1,e2,1.0251735847808658,nm,Python,"trapezoid(psi_e z psi_e, z)"
z_e,e2,e1,1.0251735847808656,nm,Python,"trapezoid(psi_e z psi_e, z)"
z_e,e2,e2,18.661190322705767,nm,Python,"trapezoid(psi_e z psi_e, z)"
z_hh,hh1,hh1,12.65139233424412,nm,Python,"trapezoid(psi_hh z psi_hh, z)"
z_hh,hh1,hh2,1.4323684065114455,nm,Python,"trapezoid(psi_hh z psi_hh, z)"
z_hh,hh2,hh1,1.4323684065114457,nm,Python,"trapezoid(psi_hh z psi_hh, z)"
z_hh,hh2,hh2,12.730145536017771,nm,Python,"trapezoid(psi_hh z psi_hh, z)"
r_e_hh,-,-,0.751,nm,DFT (external),"<u_e|z|u_hh>, VASP/HSE06, Ramesh 2023"
