combo_id,design_role,r_e_hh_nm,electrostatic_field_kV_per_cm,hh_relative_weight,wells_per_period_for_Nz,spin_degeneracy,kmax_fraction_2pi_over_a,well1_nm,well2_nm,tunneling_barrier_nm,electron_mass_scale,hh_mass_scale,cb_offset_scale,hh_offset_scale,solver_case_id,requires_new_nextnano_solve
Combo_00,baseline_demo18b_converged,0.751,0.0,1.0,2,2,0.1,7.1,2.9,1.8,1.0,1.0,1.0,1.0,Solve_00,True
Combo_01,maximin_latin_hypercube,0.852516,4.57899,1.158009,2,2,0.125,7.167789,2.952,1.705461,1.0,1.0,1.0,1.0,Solve_01,True
Combo_02,maximin_latin_hypercube,0.714726,12.932406,0.559829,2,2,0.2,7.189786,2.908121,1.774727,1.0,1.0,1.0,1.0,Solve_02,True
Combo_03,maximin_latin_hypercube,0.670296,11.496125,1.249622,2,2,0.2,7.086018,2.921867,1.757685,1.0,1.0,1.0,1.0,Solve_03,True
Combo_04,maximin_latin_hypercube,0.902864,8.563815,1.115485,1,2,0.175,7.116798,2.991329,1.885031,1.0,1.0,1.0,1.0,Solve_04,True
Combo_05,maximin_latin_hypercube,0.796366,19.653938,1.06746,2,1,0.15,7.021582,2.867634,1.870783,1.0,1.0,1.0,1.0,Solve_05,True
Combo_06,maximin_latin_hypercube,0.832779,16.317429,0.664592,2,2,0.125,7.121634,2.82338,1.820115,1.0,1.0,1.0,1.0,Solve_06,True
Combo_07,maximin_latin_hypercube,0.767897,0.582619,0.68318,2,2,0.1,7.034685,2.88371,1.740274,1.0,1.0,1.0,1.0,Solve_07,True
Combo_08,maximin_latin_hypercube,0.941406,-18.418271,0.765384,2,2,0.1,7.096001,2.858181,1.805476,1.0,1.0,1.0,1.0,Solve_08,True
Combo_09,maximin_latin_hypercube,0.962101,-2.03342,1.383247,1,2,0.125,7.136079,2.801561,1.781699,1.0,1.0,1.0,1.0,Solve_09,True
Combo_10,maximin_latin_hypercube,0.989704,-13.48485,0.796893,2,1,0.175,7.175821,2.976328,1.850312,1.0,1.0,1.0,1.0,Solve_10,True
Combo_11,maximin_latin_hypercube,0.749842,-6.334734,0.908619,2,2,0.2,7.056995,2.83542,1.729391,1.0,1.0,1.0,1.0,Solve_11,True
Combo_12,maximin_latin_hypercube,0.873306,-9.518561,1.443178,2,2,0.15,7.00962,2.965709,1.840218,1.0,1.0,1.0,1.0,Solve_12,True
Combo_13,maximin_latin_hypercube,0.696202,-9.160953,0.92931,2,2,0.1,7.068565,2.939511,1.8921,1.0,1.0,1.0,1.0,Solve_13,True
Combo_14,maximin_latin_hypercube,0.909992,3.777444,1.295469,1,2,0.175,7.049757,2.905859,1.726138,1.0,1.0,1.0,1.0,Solve_14,True
Combo_15,maximin_latin_hypercube,0.735996,-16.996749,0.983167,2,1,0.15,7.147311,2.841983,1.807262,1.0,1.0,1.0,1.0,Solve_15,True
Combo_16,hh_low_weight_diagnostic,0.751,0.0,0.6,2,2,0.1,7.1,2.9,1.8,1.0,1.0,1.0,1.0,Solve_00,False
Combo_17,hh_high_weight_diagnostic,0.751,0.0,1.4,2,2,0.1,7.1,2.9,1.8,1.0,1.0,1.0,1.0,Solve_00,False
Combo_18,combined_high_side_bounded,1.0,20.0,0.75,2,2,0.2,7.2,3.0,1.7,1.0,1.0,1.0,1.0,Solve_16,True
Combo_19,convention_cross_check,0.751,0.0,1.0,1,1,0.2,7.1,2.9,1.8,1.0,1.0,1.0,1.0,Solve_00,False
