case_id,design_role,source_18c_combo_id,electrostatic_field_kV_per_cm,tunneling_barrier_nm,well1_nm,well2_nm,hh_relative_weight,spin_degeneracy,wells_per_period_for_Nz,r_e_hh_primary_nm,requires_licensed_solve
Case_00,demo18b_baseline,Combo_00,0.0,1.8,7.1,2.9,1.0,2,2,0.751,True
Case_01,demo18c_solver_anchor,Combo_07,0.582619,1.740274,7.034685,2.88371,1.0,2,2,0.751,True
Case_02,demo18c_solver_anchor,Combo_18,20.0,1.7,7.2,3.0,1.0,2,2,0.751,True
Case_03,demo18c_solver_anchor,Combo_01,4.57899,1.705461,7.167789,2.952,1.0,2,2,0.751,True
Case_04,demo18c_solver_anchor,Combo_02,12.932406,1.774727,7.189786,2.908121,1.0,2,2,0.751,True
Case_05,local_maximin_latin_hypercube,,7.994842,1.816735,7.064874,2.878391,1.0,2,2,0.751,True
Case_06,local_maximin_latin_hypercube,,8.858073,1.714651,7.079821,2.950625,1.0,2,2,0.751,True
Case_07,local_maximin_latin_hypercube,,1.250601,1.793737,7.108329,2.923864,1.0,2,2,0.751,True
Case_08,local_maximin_latin_hypercube,,15.036214,1.777436,7.093437,2.941603,1.0,2,2,0.751,True
Case_09,local_maximin_latin_hypercube,,3.758934,1.753959,7.051295,2.896681,1.0,2,2,0.751,True
Case_10,local_maximin_latin_hypercube,,12.890795,1.844373,7.115415,2.85259,1.0,2,2,0.751,True
Case_11,local_maximin_latin_hypercube,,11.245915,1.739885,7.135252,2.991167,1.0,2,2,0.751,True
Case_12,local_maximin_latin_hypercube,,5.979718,1.76631,7.157069,2.872939,1.0,2,2,0.751,True
Case_13,local_maximin_latin_hypercube,,1.964978,1.832717,7.165125,2.902942,1.0,2,2,0.751,True
Case_14,local_maximin_latin_hypercube,,19.765848,1.728436,7.179648,2.983431,1.0,2,2,0.751,True
Case_15,local_maximin_latin_hypercube,,17.464645,1.80898,7.188237,2.965919,1.0,2,2,0.751,True
Case_16,local_maximin_latin_hypercube,,14.707163,1.701056,7.141013,2.935753,1.0,2,2,0.751,True
Case_17,predefined_local_refinement,,0.5,1.7,7.05,2.88,1.0,2,2,0.751,True
Case_18,predefined_local_refinement,,1.5,1.72,7.07,2.9,1.0,2,2,0.751,True
Case_19,predefined_local_refinement,,3.0,1.75,7.1,2.92,1.0,2,2,0.751,True
