case_id,case_name,profile,I1_width_nm,I2_width_nm,I3_width_nm,I4_width_nm,nominal_grade_width_nm,E1_HH1_eV,E1_HH2_eV,E2_HH1_eV,E2_HH2_eV,z_e12_nm,z_hh12_nm,delta_z_e_nm,delta_z_hh_nm,O11,O12,O21,O22,chi2_1550_pm_per_V,chi2_1550_relative_to_abrupt,peak_chi2_pm_per_V,peak_chi2_relative_to_abrupt,peak_wavelength_nm,grading_validation_pass,solver_pass,physical_valid,E1_eV,E2_eV,HH1_eV,HH2_eV,z_e11_nm,z_e21_nm,z_e22_nm,z_hh11_nm,z_hh21_nm,z_hh22_nm,electron_E1_centroid_nm,electron_E2_centroid_nm,HH1_centroid_nm,HH2_centroid_nm,solver_return_code,failure_stage,failure_reason,spectrum_path
00,Abrupt reference,abrupt,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,,,,,licensed_physics_pending,No solver output: run --physics on the configured licensed work laptop.,
01,Linear 0.2 nm,linear,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,,,,,licensed_physics_pending,No solver output: run --physics on the configured licensed work laptop.,
02,Linear 0.4 nm,linear,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,,,,,licensed_physics_pending,No solver output: run --physics on the configured licensed work laptop.,
03,Linear 0.7 nm,linear,0.7,0.7,0.7,0.7,0.7,,,,,,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,,,,,licensed_physics_pending,No solver output: run --physics on the configured licensed work laptop.,
04,Linear 1.0 nm,linear,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,,,,,licensed_physics_pending,No solver output: run --physics on the configured licensed work laptop.,
05,Linear 1.4 nm,linear,1.4,1.4,1.4,1.4,1.4,,,,,,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,,,,,licensed_physics_pending,No solver output: run --physics on the configured licensed work laptop.,
06,Asymmetric inner grading A,linear,0.0,0.4,0.8,0.0,,,,,,,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,,,,,licensed_physics_pending,No solver output: run --physics on the configured licensed work laptop.,
07,Asymmetric inner grading B,linear,0.0,0.8,0.4,0.0,,,,,,,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,,,,,licensed_physics_pending,No solver output: run --physics on the configured licensed work laptop.,
08,Inner interfaces graded only,linear,0.0,0.7,0.7,0.0,0.7,,,,,,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,,,,,licensed_physics_pending,No solver output: run --physics on the configured licensed work laptop.,
09,Outer interfaces graded only,linear,0.7,0.0,0.0,0.7,0.7,,,,,,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,,,,,licensed_physics_pending,No solver output: run --physics on the configured licensed work laptop.,
10,Fermi-like 0.7 nm,fermi,0.7,0.7,0.7,0.7,0.7,,,,,,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,,,,,licensed_physics_pending,No solver output: run --physics on the configured licensed work laptop.,
11,erf 0.7 nm,erf,0.7,0.7,0.7,0.7,0.7,,,,,,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,,,,,licensed_physics_pending,No solver output: run --physics on the configured licensed work laptop.,
12,Cosine 0.7 nm,cosine,0.7,0.7,0.7,0.7,0.7,,,,,,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,,,,,licensed_physics_pending,No solver output: run --physics on the configured licensed work laptop.,
