Case,Profile,I1,I2,I3,I4,chi2_1550,Relative_to_abrupt,Peak_nm
Abrupt reference,abrupt,0.0,0.0,0.0,0.0,,,
Linear 0.2 nm,linear,0.2,0.2,0.2,0.2,,,
Linear 0.4 nm,linear,0.4,0.4,0.4,0.4,,,
Linear 0.7 nm,linear,0.7,0.7,0.7,0.7,,,
Linear 1.0 nm,linear,1.0,1.0,1.0,1.0,,,
Linear 1.4 nm,linear,1.4,1.4,1.4,1.4,,,
Asymmetric inner grading A,linear,0.0,0.4,0.8,0.0,,,
Asymmetric inner grading B,linear,0.0,0.8,0.4,0.0,,,
Inner interfaces graded only,linear,0.0,0.7,0.7,0.0,,,
Outer interfaces graded only,linear,0.7,0.0,0.0,0.7,,,
Fermi-like 0.7 nm,fermi,0.7,0.7,0.7,0.7,,,
erf 0.7 nm,erf,0.7,0.7,0.7,0.7,,,
Cosine 0.7 nm,cosine,0.7,0.7,0.7,0.7,,,
