Feature,state,paper_wavelength_nm,baseline_model_wavelength_nm,baseline_error_nm,dLambda_dE_nm_per_meV,dNodeDepth_dE_per_meV,span_of_model_wavelength_nm,shift_needed_meV_if_linear,note
P1,e1,540.0,575.0,35.0,-7.190186943645083e-15,3.1872995035465564e-06,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
P1,e2,540.0,575.0,35.0,-7.190186943645083e-15,4.773693617705777e-05,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
P1,hh1,540.0,575.0,35.0,-7.190186943645083e-15,-5.479401287778482e-06,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
P1,hh2,540.0,575.0,35.0,-7.190186943645083e-15,-4.544721302758253e-05,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
Z1,e1,605.0,550.0,-55.0,-7.190186943645083e-15,5.765368395580914e-06,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
Z1,e2,605.0,550.0,-55.0,-7.190186943645083e-15,0.00016802062992738676,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
Z1,hh1,605.0,550.0,-55.0,-7.190186943645083e-15,-1.1702112247091832e-05,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
Z1,hh2,605.0,550.0,-55.0,-7.190186943645083e-15,-0.00016208395212309078,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
P2,e1,760.0,752.0,-8.0,-7.190186943645083e-15,-0.00013079059839503772,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
P2,e2,760.0,752.0,-8.0,-0.4600000000000069,-0.007607353756643962,9.0,-17.391304347825827,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
P2,hh1,760.0,752.0,-8.0,-7.190186943645083e-15,-7.438567070361098e-07,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
P2,hh2,760.0,752.0,-8.0,0.4599999999999925,0.007740149918043895,9.0,17.39130434782637,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
P3,e1,1080.0,1160.0,80.0,-1.4380373887290166e-14,3.418902603145272e-05,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
P3,e2,1080.0,1160.0,80.0,-1.4380373887290166e-14,2.5558305309702607e-05,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
P3,hh1,1080.0,1160.0,80.0,-1.4380373887290166e-14,-3.398360593019075e-05,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
P3,hh2,1080.0,1160.0,80.0,-1.4380373887290166e-14,-2.5782055574426142e-05,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
Z2,e1,1330.0,1250.0,-80.0,-1.4380373887290166e-14,7.792084854838511e-05,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
Z2,e2,1330.0,1250.0,-80.0,-1.4380373887290166e-14,0.002655715549425169,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
Z2,hh1,1330.0,1250.0,-80.0,-1.4380373887290166e-14,-7.509160236396763e-05,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
Z2,hh2,1330.0,1250.0,-80.0,-1.4380373887290166e-14,-0.0026587555148877002,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
P4,e1,1520.0,1503.0,-17.0,-1.4380373887290166e-14,-4.8164995820729034e-05,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
P4,e2,1520.0,1503.0,-17.0,-0.9200000000000138,-0.015682006292829957,18.0,-18.47826086956494,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
P4,hh1,1520.0,1503.0,-17.0,-1.4380373887290166e-14,0.00014499148784879543,0.0,nan,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
P4,hh2,1520.0,1503.0,-17.0,0.919999999999985,0.015582556104421054,18.0,18.478260869565517,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
