Model,Feature,Feature type,Paper wavelength nm,Model wavelength nm,Wavelength error nm,Paper normalized amplitude,Model normalized amplitude,Model amplitude at paper wavelength,Signed full complex zero,Nearest Re crossing nm,Nearest Im crossing nm,Search window nm,Status
23A,P1,peak,540.0,575.0,35.0,0.3189873417721519,0.06313397102598808,0.03986764925143772,n/a,n/a,n/a,490-575,MISMATCH
23A,Z1,minimum,605.0,550.0,-55.0,0.0,0.04508129286892499,0.10426640486198692,False,,,550-650,MISMATCH
23A,P2,peak,760.0,751.0,-9.0,0.620253164556962,0.5541210224851444,0.3769130582945912,n/a,n/a,n/a,680-830,MATCH
23A,P3,peak,1080.0,1160.0,80.0,0.8227848101265823,0.22549826646031673,0.1693189335836787,n/a,n/a,n/a,950-1160,MISMATCH
23A,Z2,minimum,1330.0,1250.0,-80.0,0.0,0.4277626108061773,0.725795969857944,False,1394.5980110107428,,1250-1400,MISMATCH
23A,P4,peak,1520.0,1502.0,-18.0,1.0,1.0,0.6277141235161056,n/a,n/a,n/a,1420-1620,MISMATCH
23B,P1,peak,540.0,575.0,35.0,0.3189873417721519,0.03045158132654053,0.020574591954174035,n/a,n/a,n/a,490-575,MISMATCH
23B,Z1,minimum,605.0,550.0,-55.0,0.0,0.022910028544721097,0.0447435846207425,False,,,550-650,MISMATCH
23B,P2,peak,760.0,751.0,-9.0,0.620253164556962,0.5348843939077984,0.3340804355081482,n/a,n/a,n/a,680-830,MATCH
23B,P3,peak,1080.0,1160.0,80.0,0.8227848101265823,0.12276848362129074,0.0999157548684299,n/a,n/a,n/a,950-1160,MISMATCH
23B,Z2,minimum,1330.0,1250.0,-80.0,0.0,0.17955097527494754,0.33898057608094906,False,,,1250-1400,MISMATCH
23B,P4,peak,1520.0,1502.0,-18.0,1.0,1.0,0.5847172424369903,n/a,n/a,n/a,1420-1620,MISMATCH
23C,P1,peak,540.0,575.0,35.0,0.3189873417721519,0.027135996817299043,0.01833192752662762,n/a,n/a,n/a,490-575,MISMATCH
23C,Z1,minimum,605.0,550.0,-55.0,0.0,0.020413113633735,0.039891360989474677,False,,,550-650,MISMATCH
23C,P2,peak,760.0,752.0,-8.0,0.620253164556962,0.5291294168356009,0.3171316515725439,n/a,n/a,n/a,680-830,MATCH
23C,P3,peak,1080.0,1160.0,80.0,0.8227848101265823,0.10953022319715912,0.08918335050231702,n/a,n/a,n/a,950-1160,MISMATCH
23C,Z2,minimum,1330.0,1250.0,-80.0,0.0,0.16026058814817717,0.3050256629557153,False,,,1250-1400,MISMATCH
23C,P4,peak,1520.0,1503.0,-17.0,1.0,1.0,0.5585661481601496,n/a,n/a,n/a,1420-1620,MISMATCH
23D,P1,peak,540.0,575.0,35.0,0.3189873417721519,0.02765613281768148,0.018684634024776055,n/a,n/a,n/a,490-575,MISMATCH
23D,Z1,minimum,605.0,550.0,-55.0,0.0,0.020805620815258073,0.04064783904527022,False,,,550-650,MISMATCH
23D,P2,peak,760.0,752.0,-8.0,0.620253164556962,0.5298169782402193,0.3198138514659221,n/a,n/a,n/a,680-830,MATCH
23D,P3,peak,1080.0,1160.0,80.0,0.8227848101265823,0.11160854018108785,0.09087130652715195,n/a,n/a,n/a,950-1160,MISMATCH
23D,Z2,minimum,1330.0,1250.0,-80.0,0.0,0.16325487004214348,0.30960299970400745,False,,,1250-1400,MISMATCH
23D,P4,peak,1520.0,1503.0,-17.0,1.0,1.0,0.5625120922447611,n/a,n/a,n/a,1420-1620,MISMATCH
24_state_corrected_hh2_pair1+2,P1,peak,540.0,575.0,35.0,0.3189873417721519,0.031702750388736614,0.021202553793863432,n/a,n/a,n/a,490-575,MISMATCH
24_state_corrected_hh2_pair1+2,Z1,minimum,605.0,550.0,-55.0,0.0,0.02366714942685447,0.047264552304372036,False,,,550-650,MISMATCH
24_state_corrected_hh2_pair1+2,P2,peak,760.0,683.0,-77.0,0.620253164556962,0.4731739661125806,0.28903018756737947,n/a,n/a,n/a,680-830,MISMATCH
24_state_corrected_hh2_pair1+2,P3,peak,1080.0,1160.0,80.0,0.8227848101265823,0.12458811018350953,0.09999103691371217,n/a,n/a,n/a,950-1160,MISMATCH
24_state_corrected_hh2_pair1+2,Z2,minimum,1330.0,1250.0,-80.0,0.0,0.18766040950258106,0.39163099949120683,False,,,1250-1400,MISMATCH
24_state_corrected_hh2_pair1+2,P4,peak,1520.0,1495.0,-25.0,1.0,0.8033639093273364,0.49259477340760166,n/a,n/a,n/a,1420-1620,MISMATCH
