model,window,start_nm,stop_nm,local_normalized_RMSE
23A,visible_node,500.0,700.0,0.1733134861172293
23A,visible_resonance,700.0,900.0,0.14062802709879993
23A,nir_resonance,950.0,1200.0,0.31484683470546276
23A,nir_node,1200.0,1450.0,0.5437254931677514
23A,main_resonance,1400.0,1620.0,0.31731875960504347
23B,visible_node,500.0,700.0,0.13618042368673694
23B,visible_resonance,700.0,900.0,0.18086488925562696
23B,nir_resonance,950.0,1200.0,0.37612981591006256
23B,nir_node,1200.0,1450.0,0.4263557408667718
23B,main_resonance,1400.0,1620.0,0.37047905031502004
23C,visible_node,500.0,700.0,0.13087681146405156
23C,visible_resonance,700.0,900.0,0.1903808027531817
23C,nir_resonance,950.0,1200.0,0.38601535569777434
23C,nir_node,1200.0,1450.0,0.3559739891749692
23C,main_resonance,1400.0,1620.0,0.3038178361597486
23D,visible_node,500.0,700.0,0.13250979068448973
23D,visible_resonance,700.0,900.0,0.18894792516308875
23D,nir_resonance,950.0,1200.0,0.3844556267214425
23D,nir_node,1200.0,1450.0,0.3720326818432186
23D,main_resonance,1400.0,1620.0,0.3135377844610505
24_state_corrected_hh2_pair1+2,visible_node,500.0,700.0,0.140904459754495
24_state_corrected_hh2_pair1+2,visible_resonance,700.0,900.0,0.19154934399505738
24_state_corrected_hh2_pair1+2,nir_resonance,950.0,1200.0,0.37604719934947595
24_state_corrected_hh2_pair1+2,nir_node,1200.0,1450.0,0.43767391053983135
24_state_corrected_hh2_pair1+2,main_resonance,1400.0,1620.0,0.34063376381904237
