pathway,amplitude_scale,Feature,feature_type,paper_wavelength_nm,model_wavelength_nm,peak_shift_nm,model_normalized_amplitude,normalized_amplitude_change,normalized_amplitude_at_paper_nm,node_depth_change_at_paper_nm,local_normalized_RMSE,note
C_m1_n1_l1,0.9,P1,peak,540.0,496.0,-79.0,0.0010860563195712828,-0.026570076498110183,0.0008500542946769004,-0.017834579730099047,0.19837360991339306,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,0.9,Z1,minimum,605.0,573.0,23.0,5.516209875551844e-05,-0.020750458716502534,0.0024553469218517314,-0.038192492123418346,0.06817282252198391,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,0.9,P2,peak,760.0,753.0,1.0,0.49252564446287267,-0.03729133377734256,0.4204723818182397,0.10065853035231781,0.10267285639278678,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,0.9,P3,peak,1080.0,950.0,-210.0,0.04632194618711072,-0.06528659399397632,0.030344471867071825,-0.06052683466007955,0.5948095271732908,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,0.9,Z2,minimum,1330.0,1282.0,32.0,0.001778037488666241,-0.1614768325534772,0.047761066371275536,-0.26184193333273126,0.10805528023845082,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,0.9,P4,peak,1520.0,1506.0,3.0,1.0,0.0,0.8519344317622906,0.2894223395175366,0.21060688918574166,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,0.95,P1,peak,540.0,575.0,0.0,0.012202428987729667,-0.015453703829951797,0.007649315720856814,-0.011035318303919133,0.19212443952537925,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,0.95,Z1,minimum,605.0,550.0,0.0,0.008687178967542083,-0.01211844184771597,0.019447451565289375,-0.021200387479980702,0.056182231732169435,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,0.95,P2,peak,760.0,753.0,1.0,0.5090554058682407,-0.020761572371974513,0.3831053799670006,0.06329152850107872,0.1443913689568793,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,0.95,P3,peak,1080.0,1160.0,0.0,0.032817048007107205,-0.07879149217397984,0.020099408208763575,-0.0707718983183878,0.6049571548975833,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,0.95,Z2,minimum,1330.0,1250.0,0.0,0.06404034833885311,-0.09921452170329031,0.16698367210144263,-0.14261932760256416,0.22090831658811041,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,0.95,P4,peak,1520.0,1505.0,2.0,1.0,0.0,0.745509306269939,0.1829972140251851,0.19677046213930074,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,1.0,P1,peak,540.0,575.0,0.0,0.027656132817681464,0.0,0.018684634024775947,0.0,0.18233322581211692,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,1.0,Z1,minimum,605.0,550.0,0.0,0.020805620815258052,0.0,0.04064783904527008,0.0,0.04803291770578306,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,1.0,P2,peak,760.0,752.0,0.0,0.5298169782402152,0.0,0.3198138514659219,0.0,0.19391486600926822,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,1.0,P3,peak,1080.0,1160.0,0.0,0.11160854018108704,0.0,0.09087130652715138,0.0,0.535268929323567,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,1.0,Z2,minimum,1330.0,1250.0,0.0,0.16325487004214342,0.0,0.3096029997040068,0.0,0.3645474142729788,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,1.0,P4,peak,1520.0,1503.0,0.0,1.0,0.0,0.562512092244754,0.0,0.30120735313987446,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,1.05,P1,peak,540.0,575.0,0.0,0.0350695352787324,0.007413402461050933,0.024266598751623254,0.005581964726847306,0.17747589549172862,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,1.05,Z1,minimum,605.0,550.0,0.0,0.026857737126757854,0.006052116311499801,0.05008512725488498,0.009437288209614904,0.047480390588150054,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,1.05,P2,peak,760.0,750.0,-2.0,0.5201020955129976,-0.009714882727217655,0.3010954047556768,-0.018718446710245085,0.1615883367749184,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,1.05,P3,peak,1080.0,1160.0,0.0,0.1573676413139098,0.04575910113282275,0.13451219514418974,0.04364088861703837,0.49248803343443814,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,1.05,Z2,minimum,1330.0,1250.0,0.0,0.21472672290373773,0.05147185286159431,0.3633372615438779,0.05373426183987112,0.39898373297247136,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
