Feature,Wavelength,Pathway,Real,Imag,Magnitude,Fraction of subtotal,Sign,Rank,Group
P1,540.0,C_m1_n1_l1,16.254806976575875,0.14362771666769095,16.255441512513123,0.7581314928331765,positive,1,electron
P1,540.0,C_m1_n1_l2,-0.13161826275863894,-0.0013350660575386364,0.13162503368652984,0.006138811007143073,negative,7,electron
P1,540.0,V_m1_n1_l1,-16.161381496937345,-0.14280220773741553,16.162012385841173,0.8191286457694873,negative,2,heavy_hole_signed
P1,540.0,V_m1_n1_l2,-0.029852466977908707,-0.0002726155286673848,0.029853711727247594,0.001513056039961712,negative,11,heavy_hole_signed
P1,540.0,C_m1_n2_l1,-0.11551662335257362,-0.0010277952761967085,0.1155211956045735,0.005387750090340586,negative,8,electron
P1,540.0,C_m1_n2_l2,0.21133095219107956,0.0021565599009715428,0.2113419553817813,0.009856698878866768,positive,5,electron
P1,540.0,V_m1_n2_l1,-0.14327225339348404,-0.001462044217313019,0.14327971302923548,0.007261751476115456,negative,6,heavy_hole_signed
P1,540.0,V_m1_n2_l2,0.07798628375060322,0.0008284069978490366,0.0779906834909381,0.0039527505254565425,positive,9,heavy_hole_signed
P1,540.0,C_m2_n1_l1,0.0041964241318453045,3.8387827827672314e-05,0.004196599709247827,0.00019572365351911328,positive,16,electron
P1,540.0,C_m2_n1_l2,0.010013221733112884,0.00010591190863757279,0.010013781843483283,0.0004670290482151313,positive,13,electron
P1,540.0,V_m2_n1_l1,-0.028953716273970975,-0.00025628650866780676,0.028954850523671104,0.0014674996486632268,negative,12,heavy_hole_signed
P1,540.0,V_m2_n1_l2,-0.004198276964483366,-3.840477707256958e-05,0.004198452619407972,0.00021278741324785947,negative,15,heavy_hole_signed
P1,540.0,C_m2_n2_l1,0.008726075376886706,8.036864644923653e-05,0.008726445473527038,0.0004069894458959887,positive,14,electron
P1,540.0,C_m2_n2_l2,4.7043212032977575,0.05005119676126822,4.704587453336806,0.21941550504284313,positive,3,electron
P1,540.0,V_m2_n2_l1,0.07510505491343807,0.0007676852756517528,0.07510897825315559,0.0038066989538713385,positive,10,heavy_hole_signed
P1,540.0,V_m2_n2_l2,-3.209157215083345,-0.03414353575546308,3.209338843462213,0.16265681017319633,negative,4,heavy_hole_signed
Z1,605.0,C_m1_n1_l1,30.15217580047787,0.39772286366982096,30.15479877198999,0.7301585180914107,positive,1,electron
Z1,605.0,C_m1_n1_l2,-0.2715743561658597,-0.0045558816893449235,0.27161256779624265,0.006576738631110411,negative,7,electron
Z1,605.0,V_m1_n1_l1,-29.9788743586112,-0.395436927616867,29.981482254436976,0.7960880551577337,negative,2,heavy_hole_signed
