pathway,phase_deg,Feature,paper_wavelength_nm,model_wavelength_nm,node_wavelength_shift_nm,normalized_amplitude_at_paper_nm,node_depth_change,note
C_m1_n1_l1,-10.0,Z1,605.0,550.0,0.0,0.042542950161357174,0.0018951111160870962,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,-10.0,Z2,1330.0,1400.0,150.0,0.2852362667985912,-0.024366732905415578,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,-5.0,Z1,605.0,550.0,0.0,0.06078666502845085,0.020138825983180772,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,-5.0,Z2,1330.0,1250.0,0.0,0.4325797882374692,0.12297678853346239,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,0.0,Z1,605.0,550.0,0.0,0.04064783904527008,0.0,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,0.0,Z2,1330.0,1250.0,0.0,0.3096029997040068,0.0,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,5.0,Z1,605.0,550.0,0.0,0.0266513239143624,-0.013996515130907678,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,5.0,Z2,1330.0,1250.0,0.0,0.1940350153889133,-0.11556798431509349,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,10.0,Z1,605.0,550.0,0.0,0.025657735564230524,-0.014990103481039553,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m1_n1_l1,10.0,Z2,1330.0,1250.0,0.0,0.17642218786177238,-0.1331808118422344,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,-10.0,Z1,605.0,550.0,0.0,0.027632942819750286,-0.013014896225519792,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,-10.0,Z2,1330.0,1250.0,0.0,0.19063525658244027,-0.11896774312156652,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,-5.0,Z1,605.0,550.0,0.0,0.027791952796039958,-0.01285588624923012,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,-5.0,Z2,1330.0,1250.0,0.0,0.20182603692840592,-0.10777696277560087,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,0.0,Z1,605.0,550.0,0.0,0.04064783904527008,0.0,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,0.0,Z2,1330.0,1250.0,0.0,0.3096029997040068,0.0,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,5.0,Z1,605.0,550.0,0.0,0.06292949645876428,0.0222816574134942,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,5.0,Z2,1330.0,1250.0,0.0,0.4474975293863088,0.13789452968230204,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,10.0,Z1,605.0,550.0,0.0,0.04562756400770041,0.004979724962430335,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,10.0,Z2,1330.0,1400.0,150.0,0.30813391443111215,-0.0014690852728946324,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,-10.0,Z1,605.0,550.0,0.0,0.041511517885748785,0.0008636788404787071,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,-10.0,Z2,1330.0,1250.0,0.0,0.31605995609447335,0.006456956390466562,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,-5.0,Z1,605.0,550.0,0.0,0.041079521770603845,0.00043168272533376795,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,-5.0,Z2,1330.0,1250.0,0.0,0.31282931635742367,0.003226316653416883,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,0.0,Z1,605.0,550.0,0.0,0.04064783904527008,0.0,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,0.0,Z2,1330.0,1250.0,0.0,0.3096029997040068,0.0,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,5.0,Z1,605.0,550.0,0.0,0.04033256756744285,-0.0003152714778272281,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,5.0,Z2,1330.0,1250.0,0.0,0.30724862209035125,-0.002354377613655534,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,10.0,Z1,605.0,550.0,0.0,0.040190309487947315,-0.0004575295573227625,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,10.0,Z2,1330.0,1250.0,0.0,0.3061881328905919,-0.0034148668134149074,COMPLEX PHASE SENSITIVITY DIAGNOSTIC - DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
