wavelength_nm,real,imag,abs_real,magnitude,real_normalized,imag_normalized
4.000000000000000000e+02,3.999019135174030626e-01,1.913012104983528123e-03,3.999019135174030626e-01,3.999064891323899640e-01,5.607889581813397389e-03,2.682647992118992686e-05
4.010000000000000000e+02,4.035772211541092114e-01,1.940602638844061674e-03,4.035772211541092114e-01,4.035818868248111646e-01,5.659429018633187550e-03,2.721338646542786145e-05
4.020000000000000000e+02,4.072857918405163868e-01,1.968594163252362309e-03,4.072857918405163868e-01,4.072905493602030913e-01,5.711434908609546585e-03,2.760591616534277255e-05
4.030000000000000000e+02,4.110279752213938376e-01,1.996992996545948144e-03,4.110279752213938376e-01,4.110328264209892057e-01,5.763912154867946100e-03,2.800415762400942400e-05
4.040000000000000000e+02,4.148041255793445403e-01,2.025805570698349135e-03,4.148041255793445403e-01,4.148090723282880088e-01,5.816865725570955804e-03,2.840820103803885671e-05
4.050000000000000000e+02,4.186146019108428207e-01,2.055038433684428130e-03,4.186146019108428207e-01,4.186196461179734762e-01,5.870300654984530325e-03,2.881813823074768046e-05
4.060000000000000000e+02,4.224597680037704972e-01,2.084698251902312657e-03,4.224597680037704972e-01,4.224649116182325748e-01,5.924222044565309597e-03,2.923406268612120166e-05
4.070000000000000000e+02,4.263399925164832460e-01,2.114791812653469237e-03,4.263399925164832460e-01,4.263452375286557183e-01,5.978635064069383852e-03,2.965606958359191171e-05
4.080000000000000000e+02,4.302556490584452109e-01,2.145326026682494239e-03,4.302556490584452109e-01,4.302609975008944709e-01,6.033544952683038420e-03,3.008425583365539627e-05
4.090000000000000000e+02,4.342071162724681077e-01,2.176307930778288800e-03,4.342071162724681077e-01,4.342125702209255200e-01,6.088957020176013514e-03,3.051872011434703325e-05
4.100000000000000000e+02,4.381947779185898506e-01,2.207744690438257981e-03,4.381947779185898506e-01,4.382003394929543383e-01,6.144876648077743017e-03,3.095956290860248154e-05
4.110000000000000000e+02,4.422190229596354993e-01,2.239643602597319628e-03,4.422190229596354993e-01,4.422246943250018325e-01,6.201309290877193327e-03,3.140688654252702945e-05
4.120000000000000000e+02,4.462802456484952773e-01,2.272012098423469798e-03,4.462802456484952773e-01,4.462860290162091181e-01,6.258260477246772348e-03,3.186079522459823099e-05
4.130000000000000000e+02,4.503788456171626819e-01,2.304857746181800376e-03,4.503788456171626819e-01,4.503847432459032740e-01,6.315735811290929674e-03,3.232139508582855249e-05
4.140000000000000000e+02,4.545152279675752083e-01,2.338188254168816361e-03,4.545152279675752083e-01,4.545212421644655998e-01,6.373740973820030825e-03,3.278879422091371138e-05
4.150000000000000000e+02,4.586898033642977102e-01,2.372011473719075076e-03,4.586898033642977102e-01,4.586959364860447308e-01,6.432281723650065848e-03,3.326310273039532003e-05
4.160000000000000000e+02,4.629029881290925852e-01,2.406335402286135291e-03,4.629029881290925852e-01,4.629092425831559665e-01,6.491363898928828938e-03,3.374443276386550881e-05
4.170000000000000000e+02,4.671552043374267993e-01,2.441168186599920048e-03,4.671552043374267993e-01,4.671615825832195479e-01,6.550993418489249077e-03,3.423289856424314753e-05
4.180000000000000000e+02,4.714468799169537205e-01,2.476518125902632539e-03,4.714468799169537205e-01,4.714533844670737439e-01,6.611176283230417276e-03,3.472861651315160950e-05
4.190000000000000000e+02,4.757784487480242186e-01,2.512393675265505322e-03,4.757784487480242186e-01,4.757850821695188692e-01,6.671918577527067608e-03,3.523170517743010955e-05
4.200000000000000000e+02,4.801503507662748249e-01,2.548803448988587288e-03,4.801503507662748249e-01,4.801571156819384179e-01,6.733226470668192930e-03,3.574228535680944819e-05
4.210000000000000000e+02,4.845630320673385283e-01,2.585756224086028197e-03,4.845630320673385283e-01,4.845699311570446088e-01,6.795106218325417183e-03,3.626048013278671391e-05
4.220000000000000000e+02,4.890169450137366036e-01,2.623260943859239119e-03,4.890169450137366036e-01,4.890239810158061307e-01,6.857564164051957803e-03,3.678641491873233703e-05
4.230000000000000000e+02,4.935125483440005456e-01,2.661326721560500902e-03,4.935125483440005456e-01,4.935197240566058796e-01,6.920606740812859994e-03,3.732021751126542310e-05
4.240000000000000000e+02,4.980503072840776757e-01,2.699962844149575523e-03,4.980503072840776757e-01,4.980576255666847585e-01,6.984240472547259201e-03,3.786201814293334067e-05
