wavelength_nm,re_chi2,im_chi2,abs_re_chi2,abs_chi2
400,-1.0244,0.00599362,1.0244,1.02441
401,-1.03565,0.006101,1.03565,1.03566
402,-1.04703,0.00621052,1.04703,1.04705
403,-1.05856,0.00632225,1.05856,1.05858
404,-1.07024,0.00643624,1.07024,1.07026
405,-1.08206,0.00655254,1.08206,1.08208
406,-1.09402,0.0066712,1.09402,1.09405
407,-1.10614,0.00679229,1.10614,1.10616
408,-1.11841,0.00691587,1.11841,1.11844
409,-1.13084,0.00704199,1.13084,1.13086
410,-1.14343,0.00717073,1.14343,1.14345
411,-1.15617,0.00730214,1.15617,1.15619
412,-1.16908,0.0074363,1.16908,1.1691
413,-1.18216,0.00757328,1.18216,1.18218
414,-1.1954,0.00771314,1.1954,1.19543
415,-1.20882,0.00785596,1.20882,1.20885
416,-1.22241,0.00800182,1.22241,1.22244
417,-1.23619,0.0081508,1.23619,1.23621
418,-1.25014,0.00830298,1.25014,1.25017
419,-1.26428,0.00845844,1.26428,1.2643
420,-1.2786,0.00861728,1.2786,1.27863
421,-1.29312,0.00877957,1.29312,1.29315
422,-1.30783,0.00894543,1.30783,1.30786
423,-1.32274,0.00911493,1.32274,1.32278
424,-1.33786,0.00928819,1.33786,1.33789
425,-1.35318,0.00946529,1.35318,1.35321
426,-1.36871,0.00964636,1.36871,1.36874
427,-1.38445,0.00983151,1.38445,1.38449
428,-1.40041,0.0100208,1.40041,1.40045
429,-1.4166,0.0102145,1.4166,1.41663
430,-1.433,0.0104125,1.433,1.43304
431,-1.44964,0.0106151,1.44964,1.44968
432,-1.46652,0.0108224,1.46652,1.46656
433,-1.48364,0.0110346,1.48364,1.48368
434,-1.50099,0.0112516,1.50099,1.50104
435,-1.5186,0.0114738,1.5186,1.51865
436,-1.53647,0.0117013,1.53647,1.53651
437,-1.55459,0.0119342,1.55459,1.55464
438,-1.57298,0.0121726,1.57298,1.57303
439,-1.59164,0.0124168,1.59164,1.59168
440,-1.61057,0.012667,1.61057,1.61062
441,-1.62979,0.0129232,1.62979,1.62984
442,-1.64929,0.0131858,1.64929,1.64934
443,-1.66909,0.0134548,1.66909,1.66914
444,-1.68918,0.0137306,1.68918,1.68924
445,-1.70959,0.0140133,1.70959,1.70964
446,-1.7303,0.0143031,1.7303,1.73036
447,-1.75134,0.0146004,1.75134,1.7514
448,-1.7727,0.0149052,1.7727,1.77277
449,-1.7944,0.0152179,1.7944,1.79447
450,-1.81644,0.0155388,1.81644,1.81651
451,-1.83883,0.0158681,1.83883,1.8389
452,-1.86158,0.0162061,1.86158,1.86165
453,-1.88469,0.016553,1.88469,1.88477
454,-1.90818,0.0169093,1.90818,1.90826
455,-1.93205,0.0172753,1.93205,1.93213
456,-1.95632,0.0176512,1.95632,1.9564
457,-1.98098,0.0180374,1.98098,1.98107
458,-2.00606,0.0184344,2.00606,2.00615
459,-2.03156,0.0188425,2.03156,2.03165
460,-2.0575,0.019262,2.0575,2.05759
461,-2.08387,0.0196936,2.08387,2.08396
462,-2.1107,0.0201375,2.1107,2.1108
463,-2.138,0.0205942,2.138,2.1381
464,-2.16577,0.0210644,2.16577,2.16588
465,-2.19404,0.0215484,2.19404,2.19415
466,-2.22281,0.0220468,2.22281,2.22292
467,-2.2521,0.0225602,2.2521,2.25221
468,-2.28191,0.0230892,2.28191,2.28203
469,-2.31228,0.0236345,2.31228,2.3124
470,-2.3432,0.0241967,2.3432,2.34333
471,-2.3747,0.0247764,2.3747,2.37483
472,-2.4068,0.0253745,2.4068,2.40693
473,-2.4395,0.0259918,2.4395,2.43964
474,-2.47283,0.026629,2.47283,2.47297
475,-2.50681,0.0272871,2.50681,2.50695
476,-2.54145,0.027967,2.54145,2.5416
477,-2.57677,0.0286696,2.57677,2.57693
478,-2.61281,0.0293959,2.61281,2.61297
479,-2.64957,0.0301472,2.64957,2.64974
480,-2.68708,0.0309246,2.68708,2.68726
481,-2.72537,0.0317292,2.72537,2.72555
482,-2.76445,0.0325624,2.76445,2.76464
483,-2.80436,0.0334257,2.80436,2.80456
484,-2.84513,0.0343205,2.84513,2.84534
485,-2.88678,0.0352484,2.88678,2.88699
486,-2.92934,0.0362111,2.92934,2.92956
487,-2.97284,0.0372104,2.97284,2.97308
488,-3.01732,0.0382483,3.01732,3.01757
489,-3.06282,0.0393269,3.06282,3.06307
490,-3.10936,0.0404482,3.10936,3.10962
491,-3.15699,0.0416149,3.15699,3.15727
492,-3.20575,0.0428294,3.20575,3.20604
493,-3.25569,0.0440944,3.25569,3.25599
494,-3.30684,0.045413,3.30684,3.30715
495,-3.35926,0.0467884,3.35926,3.35958
496,-3.41299,0.0482239,3.41299,3.41334
497,-3.4681,0.0497235,3.4681,3.46846
498,-3.52464,0.051291,3.52464,3.52502
499,-3.58267,0.052931,3.58267,3.58306
500,-3.64226,0.0546482,3.64226,3.64267
501,-3.70347,0.0564478,3.70347,3.7039
502,-3.76639,0.0583356,3.76639,3.76684
503,-3.83108,0.0603176,3.83108,3.83155
504,-3.89763,0.0624008,3.89763,3.89813
505,-3.96615,0.0645926,3.96615,3.96667
506,-4.03671,0.0669012,4.03671,4.03726
507,-4.10943,0.0693357,4.10943,4.11001
508,-4.18442,0.071906,4.18442,4.18504
509,-4.2618,0.0746233,4.2618,4.26246
510,-4.34171,0.0774999,4.34171,4.3424
511,-4.42428,0.0805495,4.42428,4.42501
512,-4.50967,0.0837874,4.50967,4.51045
513,-4.59805,0.0872308,4.59805,4.59888
514,-4.68961,0.0908991,4.68961,4.69049
515,-4.78454,0.0948139,4.78454,4.78548
516,-4.88306,0.0990001,4.88306,4.88406
517,-4.98542,0.103486,4.98542,4.9865
518,-5.09189,0.108303,5.09189,5.09304
519,-5.20276,0.113488,5.20276,5.204
520,-5.31836,0.119084,5.31836,5.31969
521,-5.43906,0.12514,5.43906,5.4405
522,-5.56528,0.131713,5.56528,5.56684
523,-5.69747,0.13887,5.69747,5.69916
524,-5.83616,0.146692,5.83616,5.83801
525,-5.98195,0.155271,5.98195,5.98397
526,-6.13552,0.164721,6.13552,6.13773
527,-6.29765,0.175179,6.29765,6.30009
528,-6.46925,0.186812,6.46925,6.47195
529,-6.65138,0.199824,6.65138,6.65438
530,-6.84529,0.214472,6.84529,6.84865
531,-7.05246,0.23108,7.05246,7.05625
532,-7.27467,0.250063,7.27467,7.27897
533,-7.51407,0.271961,7.51407,7.51899
534,-7.77333,0.297495,7.77333,7.77902
535,-8.05577,0.32764,8.05577,8.06243
536,-8.36561,0.36376,8.36561,8.37351
537,-8.70832,0.407818,8.70832,8.71787
538,-9.09121,0.462759,9.09121,9.10298
539,-9.52421,0.533231,9.52421,9.53913
540,-10.0213,0.627133,10.0213,10.0409
541,-10.6023,0.759327,10.6023,10.6295
542,-11.2907,0.959084,11.2907,11.3313
543,-12.1111,1.26253,12.1111,12.1767
544,-13.1414,1.74906,13.1414,13.2573
545,-14.4538,2.70167,14.4538,14.7041
546,-15.6544,4.77511,15.6544,16.3665
547,-15.1619,7.47709,15.1619,16.9053
