comparison,region,wavelength_min_nm,wavelength_max_nm,n_points,normalized_RMSE,correlation_coefficient,normalized_MAE,matched_peak_count,peak_wavelength_MAE_nm,zero_or_minimum_feature_MAE_nm,zero_crossing_metric_note
paper_vs_signed_Re_chi2,full_overlap,400.0,1850.0,1451,0.3833787753044691,0.36430593295853303,0.30499813302071455,2,11.0,108.25437863659238,nearest signed Re zero crossings
paper_vs_signed_Re_chi2,500_700_nm,500.0,700.0,201,0.12791078919275653,0.14438255834349514,0.08990288705794343,,,,
paper_vs_signed_Re_chi2,700_900_nm,700.0,900.0,201,0.5407481380302412,-0.8641987604663396,0.49966987636872773,,,,
paper_vs_signed_Re_chi2,950_1200_nm,950.0,1200.0,251,0.5729082615625848,0.3221241877719913,0.5537336618058382,,,,
paper_vs_signed_Re_chi2,1200_1450_nm,1200.0,1450.0,251,0.4542673430661624,0.6597530487068671,0.4232280979452664,,,,
paper_vs_signed_Re_chi2,main_resonance_1420_1620_nm,1420.0,1620.0,201,0.21320292071369498,0.8613293672681619,0.19370089383805422,,,,
paper_vs_abs_chi2,full_overlap,400.0,1850.0,1451,0.26239111786936786,0.24755539373508825,0.206586116080913,2,12.5,120.0,|chi2| cannot sign-cross; nearest local minima used as zero-feature proxies
paper_vs_abs_chi2,500_700_nm,500.0,700.0,201,0.1325097906844897,0.21926847594384752,0.09438225547599319,,,,
paper_vs_abs_chi2,700_900_nm,700.0,900.0,201,0.18894792516308875,0.6266830522992607,0.17129537577550427,,,,
paper_vs_abs_chi2,950_1200_nm,950.0,1200.0,251,0.38445562672144257,-0.32215467010032367,0.35115339992307365,,,,
paper_vs_abs_chi2,1200_1450_nm,1200.0,1450.0,251,0.3720326818432186,0.07452242519014987,0.2954052960305244,,,,
paper_vs_abs_chi2,main_resonance_1420_1620_nm,1420.0,1620.0,201,0.2845119744273495,0.22379127371920524,0.2629202392403211,,,,
