observable,normalized_RMSE,correlation,Gamma_meV,status
Re,0.34069898434044216,0.05728757448787339,0,DIAGNOSTIC ONLY
abs_Re,0.33303301147216724,0.0528401906728894,0,DIAGNOSTIC ONLY
magnitude,0.33303301147216724,0.0528401906728894,0,DIAGNOSTIC ONLY
Re,0.3465738836100932,0.3530603957109477,0.25,physical sensitivity
abs_Re,0.26694064188512207,0.2842817787593213,0.25,physical sensitivity
magnitude,0.26640272893503186,0.23853347092480595,0.25,physical sensitivity
Re,0.34702309380487023,0.3600711004834356,0.5,physical sensitivity
abs_Re,0.26447666664439146,0.2944123926915635,0.5,physical sensitivity
magnitude,0.2623566308039067,0.24793567990658325,0.5,physical sensitivity
Re,0.3510958136104766,0.36207188547244246,1,physical sensitivity
abs_Re,0.2585494749795117,0.2983864239515873,1,physical sensitivity
magnitude,0.25864174937871687,0.24871690828384357,1,physical sensitivity
Re,0.36420828596079385,0.36451138753778317,2.5,physical sensitivity
abs_Re,0.24652177865918046,0.3047884918640022,2.5,physical sensitivity
magnitude,0.25701436004928346,0.2486935473866522,2.5,physical sensitivity
Re,0.38337877530443165,0.3643059329585638,5,physical sensitivity
abs_Re,0.23787347931116054,0.3096300795070898,5,physical sensitivity
magnitude,0.26239111786932695,0.24755539373540594,5,physical sensitivity
Re,0.39948226116954255,0.3617506718033266,7.5,physical sensitivity
abs_Re,0.235070545326637,0.3112137823680091,7.5,physical sensitivity
magnitude,0.2693075585629605,0.24605418532249682,7.5,physical sensitivity
Re,0.4143315247694479,0.3579330912176984,10,physical sensitivity
abs_Re,0.2350748069791234,0.3110110113220014,10,physical sensitivity
magnitude,0.275894384206534,0.24448225766991524,10,physical sensitivity
