observable,normalized_RMSE,correlation,phase_deg,status
Re,0.38337877530443165,0.3643059329585638,0,DIAGNOSTIC ONLY
abs_Re,0.23787347931116054,0.3096300795070898,0,DIAGNOSTIC ONLY
Re,0.38507890903132397,0.3639125716493458,1,DIAGNOSTIC ONLY
abs_Re,0.23877173985856895,0.30271944072800094,1,DIAGNOSTIC ONLY
Re,0.386713593142618,0.36340867402868915,2,DIAGNOSTIC ONLY
abs_Re,0.2397259213863431,0.2956845482185399,2,DIAGNOSTIC ONLY
Re,0.3884231284314287,0.36279408124338747,3,DIAGNOSTIC ONLY
abs_Re,0.24073041837782572,0.2885387676756736,3,DIAGNOSTIC ONLY
Re,0.3902109626250466,0.3620686672736102,4,DIAGNOSTIC ONLY
abs_Re,0.24178697065057572,0.28129776548938884,4,DIAGNOSTIC ONLY
Re,0.3920808076176548,0.36123233982359965,5,DIAGNOSTIC ONLY
abs_Re,0.24289771286257417,0.27397710558878413,5,DIAGNOSTIC ONLY
Re,0.39270689630261457,0.36028504120887994,6,DIAGNOSTIC ONLY
abs_Re,0.24395644342640593,0.2665921718110432,6,DIAGNOSTIC ONLY
Re,0.3927167066167438,0.3592267492374052,7,DIAGNOSTIC ONLY
abs_Re,0.24498004446333607,0.2591585804226262,7,DIAGNOSTIC ONLY
Re,0.3927361511346674,0.35805747808199595,8,DIAGNOSTIC ONLY
abs_Re,0.2460096966087909,0.25169415454654437,8,DIAGNOSTIC ONLY
Re,0.3928076342014684,0.35677727914136476,9,DIAGNOSTIC ONLY
abs_Re,0.24704282248224896,0.24422148351711184,9,DIAGNOSTIC ONLY
Re,0.3929293760879881,0.355386241886981,10,DIAGNOSTIC ONLY
abs_Re,0.24807364284272185,0.23676483877687465,10,DIAGNOSTIC ONLY
Re,0.393099760380655,0.35388449469298705,11,DIAGNOSTIC ONLY
abs_Re,0.2490983503918812,0.2293450651981683,11,DIAGNOSTIC ONLY
Re,0.39331732394155966,0.3522722056463474,12,DIAGNOSTIC ONLY
abs_Re,0.2501125544297628,0.2219857391668759,12,DIAGNOSTIC ONLY
Re,0.3935807478452657,0.3505495833343879,13,DIAGNOSTIC ONLY
abs_Re,0.2511159348895952,0.21469985913572714,13,DIAGNOSTIC ONLY
Re,0.3938888492103135,0.34871687760686965,14,DIAGNOSTIC ONLY
abs_Re,0.25210797429466614,0.20750038558476763,14,DIAGNOSTIC ONLY
Re,0.3942405738524769,0.3467743803097412,15,DIAGNOSTIC ONLY
abs_Re,0.2530872674374799,0.20040257045027546,15,DIAGNOSTIC ONLY
Re,0.3946349896949782,0.34472242598771596,16,DIAGNOSTIC ONLY
abs_Re,0.25405329861726145,0.1934188856048271,16,DIAGNOSTIC ONLY
Re,0.3950712808781882,0.3425613925528484,17,DIAGNOSTIC ONLY
abs_Re,0.2550066044219223,0.18655820160347905,17,DIAGNOSTIC ONLY
Re,0.3955487425179397,0.3402917019162968,18,DIAGNOSTIC ONLY
abs_Re,0.2559486363638971,0.17982626239523963,18,DIAGNOSTIC ONLY
Re,0.3960667760675415,0.3379138205805217,19,DIAGNOSTIC ONLY
abs_Re,0.2568808423570572,0.173228450429878,19,DIAGNOSTIC ONLY
Re,0.3966248852440062,0.33542826018919963,20,DIAGNOSTIC ONLY
abs_Re,0.25780001945716613,0.1667866730431827,20,DIAGNOSTIC ONLY
Re,0.39715480711872053,0.3328355780322159,21,DIAGNOSTIC ONLY
abs_Re,0.25870732577794486,0.1604879502240598,21,DIAGNOSTIC ONLY
Re,0.3976533352625152,0.33013637750316194,22,DIAGNOSTIC ONLY
abs_Re,0.25959749809402616,0.15435779404267605,22,DIAGNOSTIC ONLY
Re,0.39819113752968693,0.3273313085068607,23,DIAGNOSTIC ONLY
abs_Re,0.2604740523962006,0.14841476241944146,23,DIAGNOSTIC ONLY
Re,0.3987677704253043,0.3244210678145381,24,DIAGNOSTIC ONLY
abs_Re,0.26134074290958653,0.14265703434481342,24,DIAGNOSTIC ONLY
Re,0.3993828859694539,0.3214063993643772,25,DIAGNOSTIC ONLY
abs_Re,0.262191902984513,0.1371208118258248,25,DIAGNOSTIC ONLY
Re,0.40003622886726564,0.31828809450530837,26,DIAGNOSTIC ONLY
abs_Re,0.26303624263916225,0.13178148633860484,26,DIAGNOSTIC ONLY
Re,0.4007276341381286,0.31506699218203615,27,DIAGNOSTIC ONLY
abs_Re,0.26387526917714843,0.12664216163957667,27,DIAGNOSTIC ONLY
Re,0.401457025183508,0.3117439790594376,28,DIAGNOSTIC ONLY
abs_Re,0.26470637910420847,0.12172312412043522,28,DIAGNOSTIC ONLY
Re,0.40222441227629646,0.30831998958464113,29,DIAGNOSTIC ONLY
abs_Re,0.26553027378853106,0.1170299085962119,29,DIAGNOSTIC ONLY
Re,0.40302989145796536,0.30479600598524376,30,DIAGNOSTIC ONLY
abs_Re,0.26635092401473975,0.11255239884774311,30,DIAGNOSTIC ONLY
Re,0.4038736438329499,0.30117305820232626,31,DIAGNOSTIC ONLY
abs_Re,0.26717380005411023,0.10827536780035497,31,DIAGNOSTIC ONLY
Re,0.4047559352527536,0.29745222375709585,32,DIAGNOSTIC ONLY
abs_Re,0.2679969361088785,0.10421755523744974,32,DIAGNOSTIC ONLY
Re,0.40566723311039066,0.2936346275501894,33,DIAGNOSTIC ONLY
abs_Re,0.2688242252067836,0.10035997542623513,33,DIAGNOSTIC ONLY
Re,0.40649646356649677,0.2897214415928782,34,DIAGNOSTIC ONLY
abs_Re,0.2696449917454841,0.09668566476094125,34,DIAGNOSTIC ONLY
Re,0.4073638107469109,0.2857138846696167,35,DIAGNOSTIC ONLY
abs_Re,0.2704884726616353,0.09313707340902827,35,DIAGNOSTIC ONLY
Re,0.40826959269773977,0.28161322193160554,36,DIAGNOSTIC ONLY
abs_Re,0.27132384272698695,0.08986196013758219,36,DIAGNOSTIC ONLY
Re,0.4092142119912059,0.2774207644212523,37,DIAGNOSTIC ONLY
abs_Re,0.2721884739651822,0.08669354814236079,37,DIAGNOSTIC ONLY
Re,0.4101981564073776,0.2731378685276479,38,DIAGNOSTIC ONLY
