pathway,max_abs_error_pm_per_V
C_m1_n1_l1,3.4576501834057003e-13
C_m1_n1_l2,2.9790409838967277e-15
V_m1_n1_l1,4.687428401686771e-13
V_m1_n1_l2,8.881784197001252e-16
C_m1_n2_l1,3.202372833989377e-15
C_m1_n2_l2,5.402578411571407e-15
V_m1_n2_l1,3.202372833989377e-15
V_m1_n2_l2,1.4043333874306805e-15
C_m2_n1_l1,1.0007415106216804e-16
C_m2_n1_l2,1.7554167342883506e-16
V_m2_n1_l1,7.021666937153402e-16
V_m2_n1_l2,8.777083671441753e-17
C_m2_n2_l1,2.482534153247273e-16
C_m2_n2_l2,1.0247593068766007e-13
V_m2_n2_l1,1.6011864169946886e-15
V_m2_n2_l2,6.355287432313019e-14
