"electron_pair","hole_pair","transition_eV","one_photon_nm","two_photon_nm","distance_from_2_296_eV","classification"
"7+8","1+2","0.9413726779389999","1317.0575406059752","2634.1150812119504","1.354627322061","RAW ENERGY ONLY; unanchored; mixed CB pairs7-10 not certified electron bound states; no new chi pathway"
"7+8","3+4","0.9223190886629999","1344.2657744374383","2688.5315488748765","1.3736809113369999","RAW ENERGY ONLY; unanchored; mixed CB pairs7-10 not certified electron bound states; no new chi pathway"
"7+8","5+6","0.8952948091490001","1384.8421451013444","2769.6842902026888","1.4007051908509998","RAW ENERGY ONLY; unanchored; mixed CB pairs7-10 not certified electron bound states; no new chi pathway"
"9+10","1+2","0.9414046416569999","1317.0128222628155","2634.025644525631","1.354595358343","RAW ENERGY ONLY; unanchored; mixed CB pairs7-10 not certified electron bound states; no new chi pathway"
"9+10","3+4","0.9223510523809999","1344.219189428379","2688.438378856758","1.373648947619","RAW ENERGY ONLY; unanchored; mixed CB pairs7-10 not certified electron bound states; no new chi pathway"
"9+10","5+6","0.895326772867","1384.7927053826384","2769.5854107652767","1.4006732271329998","RAW ENERGY ONLY; unanchored; mixed CB pairs7-10 not certified electron bound states; no new chi pathway"
"11+12","1+2","1.55481742613","797.4196604459303","1594.8393208918606","0.7411825738699998","RAW ENERGY ONLY; unanchored; mixed CB pairs7-10 not certified electron bound states; no new chi pathway"
"11+12","3+4","1.535763836854","807.3129176812798","1614.6258353625597","0.7602361631459997","RAW ENERGY ONLY; unanchored; mixed CB pairs7-10 not certified electron bound states; no new chi pathway"
"11+12","5+6","1.5087395573400002","821.7733656999866","1643.5467313999732","0.7872604426599996","RAW ENERGY ONLY; unanchored; mixed CB pairs7-10 not certified electron bound states; no new chi pathway"
"13+14","1+2","1.693454198935","732.1378899882423","1464.2757799764845","0.6025458010649998","RAW ENERGY ONLY; unanchored; mixed CB pairs7-10 not certified electron bound states; no new chi pathway"
"13+14","3+4","1.674400609659","740.4691427175841","1480.9382854351682","0.6215993903409998","RAW ENERGY ONLY; unanchored; mixed CB pairs7-10 not certified electron bound states; no new chi pathway"
"13+14","5+6","1.6473763301450002","752.6161213515011","1505.2322427030022","0.6486236698549996","RAW ENERGY ONLY; unanchored; mixed CB pairs7-10 not certified electron bound states; no new chi pathway"
