"solver_index","energy_eV","CB_fraction","HH_fraction","LH_fraction","SO_fraction","production_label","source"
"1","1.39769425308","0","1","0","0","not retained","C:\code\nonlinear_photonics\demo_results\demo23\raw\production_y_n301_k0100\production_y_n301_k0100\bias_00000\Quantum\acqw\kp8/spinor_composition_k00000_CbHhLhSo.dat"
"2","1.39769425308","0","1","0","0","not retained","C:\code\nonlinear_photonics\demo_results\demo23\raw\production_y_n301_k0100\production_y_n301_k0100\bias_00000\Quantum\acqw\kp8/spinor_composition_k00000_CbHhLhSo.dat"
"3","1.416747842356","0.019573135999999998","0","0.975756719","0.004670144","hh2 (LH dominated)","C:\code\nonlinear_photonics\demo_results\demo23\raw\production_y_n301_k0100\production_y_n301_k0100\bias_00000\Quantum\acqw\kp8/spinor_composition_k00000_CbHhLhSo.dat"
"4","1.416747842357","0.019573135999999998","0","0.975756719","0.004670144","hh2 (LH dominated)","C:\code\nonlinear_photonics\demo_results\demo23\raw\production_y_n301_k0100\production_y_n301_k0100\bias_00000\Quantum\acqw\kp8/spinor_composition_k00000_CbHhLhSo.dat"
"5","1.44377212187","0","1","0","0","hh1","C:\code\nonlinear_photonics\demo_results\demo23\raw\production_y_n301_k0100\production_y_n301_k0100\bias_00000\Quantum\acqw\kp8/spinor_composition_k00000_CbHhLhSo.dat"
"6","1.44377212187","0","1","0","0","hh1","C:\code\nonlinear_photonics\demo_results\demo23\raw\production_y_n301_k0100\production_y_n301_k0100\bias_00000\Quantum\acqw\kp8/spinor_composition_k00000_CbHhLhSo.dat"
"7","2.339066931019","0.563092473","0","0.318210457","0.11869707","not retained","C:\code\nonlinear_photonics\demo_results\demo23\raw\production_y_n301_k0100\production_y_n301_k0100\bias_00000\Quantum\acqw\kp8/spinor_composition_k00000_CbHhLhSo.dat"
"8","2.339066931019","0.563092473","0","0.318210457","0.11869707","not retained","C:\code\nonlinear_photonics\demo_results\demo23\raw\production_y_n301_k0100\production_y_n301_k0100\bias_00000\Quantum\acqw\kp8/spinor_composition_k00000_CbHhLhSo.dat"
"9","2.339098894737","0.562919366","0","0.318340556","0.118740078","not retained","C:\code\nonlinear_photonics\demo_results\demo23\raw\production_y_n301_k0100\production_y_n301_k0100\bias_00000\Quantum\acqw\kp8/spinor_composition_k00000_CbHhLhSo.dat"
"10","2.339098894737","0.562919366","0","0.318340556","0.118740078","not retained","C:\code\nonlinear_photonics\demo_results\demo23\raw\production_y_n301_k0100\production_y_n301_k0100\bias_00000\Quantum\acqw\kp8/spinor_composition_k00000_CbHhLhSo.dat"
"11","2.95251167921","0.962603697","0","0.027828132","0.009568171","e1","C:\code\nonlinear_photonics\demo_results\demo23\raw\production_y_n301_k0100\production_y_n301_k0100\bias_00000\Quantum\acqw\kp8/spinor_composition_k00000_CbHhLhSo.dat"
"12","2.95251167921","0.962603697","0","0.027828132","0.009568171","e1","C:\code\nonlinear_photonics\demo_results\demo23\raw\production_y_n301_k0100\production_y_n301_k0100\bias_00000\Quantum\acqw\kp8/spinor_composition_k00000_CbHhLhSo.dat"
"13","3.091148452015","0.9309810350000001","0","0.050707773","0.018311191","e2","C:\code\nonlinear_photonics\demo_results\demo23\raw\production_y_n301_k0100\production_y_n301_k0100\bias_00000\Quantum\acqw\kp8/spinor_composition_k00000_CbHhLhSo.dat"
"14","3.091148452015","0.9309810350000001","0","0.050707773","0.018311191","e2","C:\code\nonlinear_photonics\demo_results\demo23\raw\production_y_n301_k0100\production_y_n301_k0100\bias_00000\Quantum\acqw\kp8/spinor_composition_k00000_CbHhLhSo.dat"
