kmax_pi_over_a,requested_kmax_per_nm,actual_kmax_per_nm,number_of_k_points,dominant_abs_Re_wavelength_nm,dominant_abs_Im_wavelength_nm,max_abs_Re_pm_per_V,max_abs_Im_pm_per_V,Re_at_target_pm_per_V,Im_at_target_pm_per_V,Re_zero_count,Re_zero_1_nm,Re_zero_2_nm,no_points_above_cutoff
0.01,0.05557144392322635,0.0555714439232,31,1509.0,1504.0,3.1171158950894915,6.2386302523076225,0.6062285134482088,-0.05599824782577065,2,752.0268997697423,1504.0792776107535,True
0.02,0.1111428878464527,0.1111428878464,61,1498.0,1503.0,12.19927932558777,23.735231979307407,2.3709135665034786,-0.21984913610521295,2,751.3670963825593,1502.762765779839,True
0.03,0.16671433176967904,0.1667143317696,91,1507.0,1500.0,24.773426244301405,43.401736620381115,5.09595301974521,-0.45844992098292914,2,750.1100236282788,1500.2687261545059,True
0.04,0.2222857756929054,0.2222857756928,121,1506.0,1498.0,36.82057380402303,54.14182896805579,8.459967807819321,-0.7132780335746685,2,748.2231636605355,1496.5564364630197,True
0.05,0.27785721961613175,0.277857219616,151,1506.0,1496.0,45.926679935487044,57.59840894430977,12.153684620143803,-0.928541605806815,2,745.6653983537692,1491.5551543704846,True
0.06,0.33342866353935807,0.3334286635392,181,1506.0,1496.0,53.07603269578205,58.887443943173906,16.10110543462631,-0.9954340263232124,2,742.1745167036465,1485.2546092390094,True
0.07,0.38900010746258445,0.3890001074624,211,1506.0,1496.0,59.00333582900173,59.51092837660077,19.694766462449863,-0.2795776712350122,2,737.3847639810012,1477.13038715772,True
0.08,0.4445715513858108,0.4445715513856,241,1506.0,1496.0,64.48819966496633,59.782981145554785,22.15784657951447,0.834187012278484,2,730.8929188560313,1466.410896782786,True
0.09,0.5001429953090372,0.5001429953088,271,1505.0,1496.0,68.8538959131449,59.085149056938874,24.274331593865263,0.8468530375559924,2,722.8585385447515,1452.8800703314528,True
0.1,0.5557144392322635,0.555714439232,301,1505.0,1496.0,71.31058978306794,57.897932324202515,26.470241072024216,0.7973339096454737,2,714.0283285725802,1437.4792785382026,True
